actual,estimate,period,symbol,year,quarter,beat
1.0,1.13,2019-12-31,YUM,2019,4,0
0.8,0.94,2019-09-30,YUM,2019,3,0
0.93,0.87,2019-06-30,YUM,2019,2,1
0.82,0.81,2019-03-31,YUM,2019,1,1
0.4,0.9485,2018-12-31,YUM,2018,4,0
1.04,0.82886,2018-09-30,YUM,2018,3,1
0.82,0.7436699999999999,2018-06-30,YUM,2018,2,1
0.9,0.68395,2018-03-31,YUM,2018,1,1
0.96,0.79548,2017-12-31,YUM,2017,4,1
0.68,0.66757,2017-09-30,YUM,2017,3,1
0.68,0.611,2017-06-30,YUM,2017,2,1
0.65,0.5977100000000001,2017-03-31,YUM,2017,1,1
0.79,0.74048,2016-12-31,YUM,2016,4,1
1.09,1.10005,2016-09-30,YUM,2016,3,0
0.75,0.74036,2016-06-30,YUM,2016,2,1
0.95,0.8301,2016-03-31,YUM,2016,1,1
0.68,0.66242,2015-12-31,YUM,2015,4,1
1.0,1.0651899999999999,2015-09-30,YUM,2015,3,0
0.69,0.62375,2015-06-30,YUM,2015,2,1
0.8,0.71658,2015-03-31,YUM,2015,1,1
0.61,0.66175,2014-12-31,YUM,2014,4,0
0.87,0.8844799999999999,2014-09-30,YUM,2014,3,0
0.73,0.7443,2014-06-30,YUM,2014,2,0
0.87,0.85146,2014-03-31,YUM,2014,1,1
0.86,0.79981,2013-12-31,YUM,2013,4,1
0.85,0.92671,2013-09-30,YUM,2013,3,0
0.56,0.54295,2013-06-30,YUM,2013,2,1
0.7,0.60312,2013-03-31,YUM,2013,1,1
0.83,0.8164600000000001,2012-12-31,YUM,2012,4,1
0.99,0.97,2012-09-30,YUM,2012,3,1
0.67,0.70286,2012-06-30,YUM,2012,2,0
0.76,0.7285699999999999,2012-03-31,YUM,2012,1,1
0.75,0.742,2011-12-31,YUM,2011,4,1
0.83,0.8265,2011-09-30,YUM,2011,3,1
0.66,0.6065,2011-06-30,YUM,2011,2,1
0.63,0.6425,2011-03-31,YUM,2011,1,0
0.63,0.5968399999999999,2010-12-31,YUM,2010,4,1
0.73,0.72444,2010-09-30,YUM,2010,3,1
0.58,0.545,2010-06-30,YUM,2010,2,1
0.59,0.525,2010-03-31,YUM,2010,1,1
0.5,0.47841999999999996,2009-12-31,YUM,2009,4,1
0.7,0.5805600000000001,2009-09-30,YUM,2009,3,1
0.5,0.43,2009-06-30,YUM,2009,2,1
0.48,0.39875,2009-03-31,YUM,2009,1,1
0.46,0.44533,2008-12-31,YUM,2008,4,1
0.58,0.54,2008-09-30,YUM,2008,3,1
0.45,0.41691999999999996,2008-06-30,YUM,2008,2,1
0.42,0.39636,2008-03-31,YUM,2008,1,1
0.44,0.41923,2007-12-31,YUM,2007,4,1
0.5,0.44666999999999996,2007-09-30,YUM,2007,3,1
0.39,0.3625,2007-06-30,YUM,2007,2,1
0.35,0.31844,2007-03-31,YUM,2007,1,1
0.415,0.39382,2006-12-31,YUM,2006,4,1
0.415,0.37733,2006-09-30,YUM,2006,3,1
0.34,0.31063,2006-06-30,YUM,2006,2,1
0.295,0.28563,2006-03-31,YUM,2006,1,1
0.385,0.39,2005-12-31,YUM,2005,4,0
0.355,0.35065999999999997,2005-09-30,YUM,2005,3,1
0.31,0.28278000000000003,2005-06-30,YUM,2005,2,1
0.265,0.25833,2005-03-31,YUM,2005,1,1
0.365,0.36139,2004-12-31,YUM,2004,4,1
0.305,0.30094,2004-09-30,YUM,2004,3,1
0.275,0.26133,2004-06-30,YUM,2004,2,1
0.235,0.22405999999999998,2004-03-31,YUM,2004,1,1
0.325,0.31206,2003-12-31,YUM,2003,4,1
0.27,0.25893,2003-09-30,YUM,2003,3,1
0.24,0.23091,2003-06-30,YUM,2003,2,1
0.195,0.1895,2003-03-31,YUM,2003,1,1
0.28,0.27542,2002-12-31,YUM,2002,4,1
0.245,0.23786,2002-09-30,YUM,2002,3,1
0.225,0.21594000000000002,2002-06-30,YUM,2002,2,1
0.2,0.19353,2002-03-31,YUM,2002,1,1
0.41,0.43,2019-12-31,XOM,2019,4,0
0.67,0.67,2019-09-30,XOM,2019,3,1
0.61,0.66,2019-06-30,XOM,2019,2,0
0.55,0.7,2019-03-31,XOM,2019,1,0
1.41,1.0771700000000002,2018-12-31,XOM,2018,4,1
1.46,1.23361,2018-09-30,XOM,2018,3,1
0.92,1.26981,2018-06-30,XOM,2018,2,0
1.09,1.12194,2018-03-31,XOM,2018,1,0
0.88,1.03662,2017-12-31,XOM,2017,4,0
0.97,0.86059,2017-09-30,XOM,2017,3,1
0.78,0.83629,2017-06-30,XOM,2017,2,0
0.95,0.8490000000000001,2017-03-31,XOM,2017,1,1
0.9,0.70417,2016-12-31,XOM,2016,4,1
0.63,0.58182,2016-09-30,XOM,2016,3,1
0.41,0.64041,2016-06-30,XOM,2016,2,0
0.43,0.30856999999999996,2016-03-31,XOM,2016,1,1
0.67,0.63226,2015-12-31,XOM,2015,4,1
1.01,0.8857700000000001,2015-09-30,XOM,2015,3,1
1.0,1.11133,2015-06-30,XOM,2015,2,0
1.17,0.82891,2015-03-31,XOM,2015,1,1
1.32,1.34075,2014-12-31,XOM,2014,4,0
1.89,1.7131,2014-09-30,XOM,2014,3,1
2.05,1.86063,2014-06-30,XOM,2014,2,1
2.1,1.87953,2014-03-31,XOM,2014,1,1
1.91,1.91639,2013-12-31,XOM,2013,4,0
1.79,1.7743799999999998,2013-09-30,XOM,2013,3,1
1.55,1.8991900000000002,2013-06-30,XOM,2013,2,0
2.12,2.04662,2013-03-31,XOM,2013,1,1
2.2,1.99633,2012-12-31,XOM,2012,4,1
2.09,1.9535,2012-09-30,XOM,2012,3,1
1.8,1.95216,2012-06-30,XOM,2012,2,0
2.0,2.0899400000000004,2012-03-31,XOM,2012,1,0
1.97,1.9576,2011-12-31,XOM,2011,4,1
2.13,2.119,2011-09-30,XOM,2011,3,1
2.18,2.33033,2011-06-30,XOM,2011,2,0
2.14,2.07639,2011-03-31,XOM,2011,1,1
1.85,1.62539,2010-12-31,XOM,2010,4,1
1.44,1.39133,2010-09-30,XOM,2010,3,1
1.6,1.45824,2010-06-30,XOM,2010,2,1
1.37,1.4175,2010-03-31,XOM,2010,1,0
1.27,1.1893799999999999,2009-12-31,XOM,2009,4,1
0.98,1.0325,2009-09-30,XOM,2009,3,0
0.84,1.0293299999999999,2009-06-30,XOM,2009,2,0
0.92,0.9465399999999999,2009-03-31,XOM,2009,1,0
1.55,1.44977,2008-12-31,XOM,2008,4,1
2.59,2.38462,2008-09-30,XOM,2008,3,1
2.27,2.51539,2008-06-30,XOM,2008,2,0
2.03,2.14,2008-03-31,XOM,2008,1,0
2.13,1.95235,2007-12-31,XOM,2007,4,1
1.7,1.75118,2007-09-30,XOM,2007,3,0
1.83,1.9577799999999999,2007-06-30,XOM,2007,2,0
1.62,1.52316,2007-03-31,XOM,2007,1,1
1.69,1.50619,2006-12-31,XOM,2006,4,1
1.77,1.5855,2006-09-30,XOM,2006,3,1
1.72,1.6505,2006-06-30,XOM,2006,2,1
1.37,1.465,2006-03-31,XOM,2006,1,0
1.65,1.4409,2005-12-31,XOM,2005,4,1
1.32,1.38406,2005-09-30,XOM,2005,3,0
1.23,1.23722,2005-06-30,XOM,2005,2,0
1.15,1.19833,2005-03-31,XOM,2005,1,0
1.3,1.0665,2004-12-31,XOM,2004,4,1
0.96,0.8695,2004-09-30,XOM,2004,3,1
0.88,0.8785,2004-06-30,XOM,2004,2,1
0.83,0.74579,2004-03-31,XOM,2004,1,1
0.68,0.58526,2003-12-31,XOM,2003,4,1
0.55,0.6168399999999999,2003-09-30,XOM,2003,3,0
0.62,0.55833,2003-06-30,XOM,2003,2,1
0.71,0.69111,2003-03-31,XOM,2003,1,1
0.56,0.49636,2002-12-31,XOM,2002,4,1
14.08,0.42523999999999995,2002-09-30,XOM,2002,3,1
0.39,0.45908999999999994,2002-06-30,XOM,2002,2,0
0.31,0.39546,2002-03-31,XOM,2002,1,0
1.16,1.09,2019-12-31,WMT,2019,4,1
1.27,1.22,2019-09-30,WMT,2019,3,1
1.13,1.02,2019-06-30,WMT,2019,2,1
1.41,1.33,2019-03-31,WMT,2019,1,1
1.08,1.01226,2018-12-31,WMT,2018,4,1
1.29,1.2174200000000002,2018-09-30,WMT,2018,3,1
1.14,1.1220299999999999,2018-06-30,WMT,2018,2,1
1.33,1.37103,2018-03-31,WMT,2018,1,0
1.0,0.9731,2017-12-31,WMT,2017,4,1
1.08,1.06669,2017-09-30,WMT,2017,3,1
1.0,0.9629700000000001,2017-06-30,WMT,2017,2,1
1.3,1.28765,2017-03-31,WMT,2017,1,1
0.98,0.96181,2016-12-31,WMT,2016,4,1
1.07,1.02188,2016-09-30,WMT,2016,3,1
0.98,0.88221,2016-06-30,WMT,2016,2,1
1.49,1.46271,2016-03-31,WMT,2016,1,1
0.99,0.9761200000000001,2015-12-31,WMT,2015,4,1
1.08,1.12365,2015-09-30,WMT,2015,3,0
1.03,1.04296,2015-06-30,WMT,2015,2,0
1.61,1.53454,2015-03-31,WMT,2015,1,1
1.15,1.1185399999999999,2014-12-31,WMT,2014,4,1
1.21,1.20779,2014-09-30,WMT,2014,3,1
1.1,1.15168,2014-06-30,WMT,2014,2,0
1.6,1.58748,2014-03-31,WMT,2014,1,1
1.14,1.1276899999999999,2013-12-31,WMT,2013,4,1
1.25,1.252,2013-09-30,WMT,2013,3,0
1.14,1.14542,2013-06-30,WMT,2013,2,0
1.67,1.56864,2013-03-31,WMT,2013,1,1
1.08,1.07174,2012-12-31,WMT,2012,4,1
1.18,1.17269,2012-09-30,WMT,2012,3,1
1.09,1.04261,2012-06-30,WMT,2012,2,1
1.44,1.4548,2012-03-31,WMT,2012,1,0
0.97,0.9779200000000001,2011-12-31,WMT,2011,4,0
1.12,1.08,2011-09-30,WMT,2011,3,1
0.97,0.9540000000000001,2011-06-30,WMT,2011,2,1
1.34,1.31179,2011-03-31,WMT,2011,1,1
0.9,0.90044,2010-12-31,WMT,2010,4,0
0.97,0.9633299999999999,2010-09-30,WMT,2010,3,1
0.88,0.84546,2010-06-30,WMT,2010,2,1
1.17,1.1224,2010-03-31,WMT,2010,1,1
0.84,0.80875,2009-12-31,WMT,2009,4,1
0.88,0.85455,2009-09-30,WMT,2009,3,1
0.77,0.7735,2009-06-30,WMT,2009,2,0
1.03,0.9885700000000001,2009-03-31,WMT,2009,1,1
0.77,0.75864,2008-12-31,WMT,2008,4,1
0.86,0.83619,2008-09-30,WMT,2008,3,1
0.76,0.7540899999999999,2008-06-30,WMT,2008,2,1
1.04,1.01619,2008-03-31,WMT,2008,1,1
0.69,0.672,2007-12-31,WMT,2007,4,1
0.72,0.7635,2007-09-30,WMT,2007,3,0
0.68,0.67591,2007-06-30,WMT,2007,2,1
0.92,0.8961899999999999,2007-03-31,WMT,2007,1,1
0.62,0.5945,2006-12-31,WMT,2006,4,1
0.72,0.72263,2006-09-30,WMT,2006,3,0
0.63,0.6077,2006-06-30,WMT,2006,2,1
0.84,0.8276,2006-03-31,WMT,2006,1,1
0.57,0.57144,2005-12-31,WMT,2005,4,0
0.67,0.6534800000000001,2005-09-30,WMT,2005,3,1
0.55,0.5608,2005-06-30,WMT,2005,2,0
0.75,0.7380800000000001,2005-03-31,WMT,2005,1,1
0.54,0.53852,2004-12-31,WMT,2004,4,1
0.62,0.605,2004-09-30,WMT,2004,3,1
0.5,0.49103,2004-06-30,WMT,2004,2,1
0.63,0.63276,2004-03-31,WMT,2004,1,0
0.46,0.46667,2003-12-31,WMT,2003,4,0
0.52,0.5179199999999999,2003-09-30,WMT,2003,3,1
0.41,0.41739,2003-06-30,WMT,2003,2,0
0.57,0.55842,2003-03-31,WMT,2003,1,1
