actual,estimate,period,symbol,year,quarter,beat,f1_pup,f2_vup,f3_bothup,f4_average_price
1.0,1.13,2019-12-31,YUM,2019,4,0,0.390625,0.4375,0.1875,103.58156250000003
0.8,0.94,2019-09-30,YUM,2019,3,0,0.46875,0.46875,0.171875,114.27953125
0.93,0.87,2019-06-30,YUM,2019,2,1,0.6190476190476191,0.4603174603174603,0.25396825396825395,103.85380952380952
0.82,0.81,2019-03-31,YUM,2019,1,1,0.5737704918032787,0.5573770491803278,0.32786885245901637,94.7011475409836
0.4,0.9485,2018-12-31,YUM,2018,4,0,0.5238095238095238,0.4444444444444444,0.2857142857142857,89.39555555555555
1.04,0.82886,2018-09-30,YUM,2018,3,1,0.6666666666666666,0.4444444444444444,0.3333333333333333,83.44380952380952
0.82,0.7436699999999999,2018-06-30,YUM,2018,2,1,0.453125,0.5625,0.25,83.43187499999999
0.9,0.68395,2018-03-31,YUM,2018,1,1,0.5737704918032787,0.47540983606557374,0.29508196721311475,81.97311475409838
0.96,0.79548,2017-12-31,YUM,2017,4,1,0.47619047619047616,0.3492063492063492,0.20634920634920634,79.10634920634922
0.68,0.66757,2017-09-30,YUM,2017,3,1,0.5396825396825397,0.5238095238095238,0.2857142857142857,75.23619047619049
0.68,0.611,2017-06-30,YUM,2017,2,1,0.5238095238095238,0.42857142857142855,0.23809523809523808,69.58111111111114
0.65,0.5977100000000001,2017-03-31,YUM,2017,1,1,0.5,0.5,0.24193548387096775,65.11806451612902
0.79,0.74048,2016-12-31,YUM,2016,4,1,0.5079365079365079,0.3968253968253968,0.19047619047619047,71.01142857142855
1.09,1.10005,2016-09-30,YUM,2016,3,0,0.625,0.453125,0.265625,88.78250000000004
0.75,0.74036,2016-06-30,YUM,2016,2,1,0.59375,0.5,0.328125,81.97500000000001
0.95,0.8301,2016-03-31,YUM,2016,1,1,0.5245901639344263,0.45901639344262296,0.22950819672131148,72.98360655737706
0.68,0.66242,2015-12-31,YUM,2015,4,1,0.515625,0.40625,0.1875,72.66125
1.0,1.06519,2015-09-30,YUM,2015,3,0,0.453125,0.546875,0.265625,84.1921875
0.69,0.62375,2015-06-30,YUM,2015,2,1,0.4444444444444444,0.4603174603174603,0.25396825396825395,88.12793650793652
0.8,0.71658,2015-03-31,YUM,2015,1,1,0.5901639344262295,0.5409836065573771,0.2786885245901639,75.93540983606557
0.61,0.66175,2014-12-31,YUM,2014,4,0,0.53125,0.421875,0.265625,72.43890625
0.87,0.8844799999999999,2014-09-30,YUM,2014,3,0,0.4375,0.5625,0.15625,74.01828125
0.73,0.7443,2014-06-30,YUM,2014,2,0,0.5396825396825397,0.4603174603174603,0.2698412698412698,77.35634920634921
0.87,0.85146,2014-03-31,YUM,2014,1,1,0.4262295081967213,0.4918032786885246,0.19672131147540983,73.2647540983607
0.86,0.79981,2013-12-31,YUM,2013,4,1,0.65625,0.515625,0.375,71.56765625
0.85,0.92671,2013-09-30,YUM,2013,3,0,0.4375,0.46875,0.25,72.14218749999998
0.56,0.54295,2013-06-30,YUM,2013,2,1,0.46875,0.4375,0.21875,68.87593749999999
0.7,0.60312,2013-03-31,YUM,2013,1,1,0.6833333333333333,0.43333333333333335,0.2833333333333333,66.4305
0.83,0.8164600000000001,2012-12-31,YUM,2012,4,1,0.43548387096774194,0.5,0.24193548387096775,69.42225806451613
0.99,0.97,2012-09-30,YUM,2012,3,1,0.4603174603174603,0.5396825396825397,0.2857142857142857,65.40428571428572
0.67,0.70286,2012-06-30,YUM,2012,2,0,0.5555555555555556,0.49206349206349204,0.25396825396825395,69.15158730158731
0.76,0.7285699999999999,2012-03-31,YUM,2012,1,1,0.5161290322580645,0.4838709677419355,0.27419354838709675,65.0982258064516
0.75,0.742,2011-12-31,YUM,2011,4,1,0.47619047619047616,0.4126984126984127,0.23809523809523808,54.69841269841269
0.83,0.8265,2011-09-30,YUM,2011,3,1,0.421875,0.46875,0.1875,52.833593750000006
0.66,0.6065,2011-06-30,YUM,2011,2,1,0.49206349206349204,0.4444444444444444,0.23809523809523808,53.51238095238094
0.63,0.6425,2011-03-31,YUM,2011,1,0,0.4838709677419355,0.5161290322580645,0.22580645161290322,49.920967741935506
0.63,0.5968399999999999,2010-12-31,YUM,2010,4,1,0.5625,0.484375,0.28125,49.578593750000024
0.73,0.72444,2010-09-30,YUM,2010,3,1,0.609375,0.4375,0.21875,42.623593750000005
0.58,0.545,2010-06-30,YUM,2010,2,1,0.47619047619047616,0.5555555555555556,0.2698412698412698,41.411111111111104
0.59,0.525,2010-03-31,YUM,2010,1,1,0.5081967213114754,0.5245901639344263,0.26229508196721313,35.36065573770492
0.5,0.47842,2009-12-31,YUM,2009,4,1,0.453125,0.453125,0.1875,34.824374999999996
0.7,0.5805600000000001,2009-09-30,YUM,2009,3,1,0.53125,0.484375,0.234375,34.470625
