date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,aapl,2019,4,289.93,293.68,289.52,293.65,25247625.0,1,0,0
2019-12-30,aapl,2019,4,289.46,292.69,285.22,291.52,36059614.0,1,0,0
2019-12-27,aapl,2019,4,291.12,293.97,288.12,289.8,36592936.0,0,1,0
2019-12-26,aapl,2019,4,284.82,289.98,284.7,289.91,23334004.0,1,1,1
2019-12-24,aapl,2019,4,284.69,284.89,282.9197,284.27,12119714.0,0,0,0
2019-12-23,aapl,2019,4,280.53,284.25,280.3735,284.0,24677883.0,1,0,0
2019-12-20,aapl,2019,4,282.23,282.65,278.56,279.44,69032743.0,0,1,0
2019-12-19,aapl,2019,4,279.5,281.18,278.95,280.02,24626947.0,1,0,0
2019-12-18,aapl,2019,4,279.8,281.9,279.12,279.74,29024687.0,0,1,0
2019-12-17,aapl,2019,4,279.57,281.77,278.8,280.41,28575798.0,1,0,0
2019-12-16,aapl,2019,4,277.0,280.79,276.98,279.86,32081105.0,1,0,0
2019-12-13,aapl,2019,4,271.46,275.3,270.93,275.15,33432806.0,1,0,0
2019-12-12,aapl,2019,4,267.78,272.5599,267.321,271.46,34437042.0,1,1,1
2019-12-11,aapl,2019,4,268.81,271.1,268.5,270.77,19723391.0,1,0,0
2019-12-10,aapl,2019,4,268.6,270.07,265.86,268.48,22632383.0,0,0,0
2019-12-09,aapl,2019,4,270.0,270.8,264.91,266.92,32182645.0,0,1,0
2019-12-06,aapl,2019,4,267.48,271.0,267.3,270.71,26547493.0,1,1,1
2019-12-05,aapl,2019,4,263.79,265.89,262.73,265.58,18661343.0,1,1,1
2019-12-04,aapl,2019,4,261.07,263.31,260.68,261.74,16810388.0,1,0,0
2019-12-03,aapl,2019,4,258.31,259.53,256.29,259.45,29377268.0,1,1,1
2019-12-02,aapl,2019,4,267.27,268.25,263.45,264.16,23693550.0,0,1,0
2019-11-29,aapl,2019,4,266.6,268.0,265.9,267.25,11654363.0,1,0,0
2019-11-27,aapl,2019,4,265.58,267.98,265.31,267.84,16386122.0,1,0,0
2019-11-26,aapl,2019,4,266.94,267.16,262.5,264.29,26334882.0,0,1,0
2019-11-25,aapl,2019,4,262.71,266.44,262.52,266.37,21029517.0,1,1,1
2019-11-22,aapl,2019,4,262.59,263.18,260.84,261.78,16331263.0,0,0,0
2019-11-21,aapl,2019,4,263.69,264.005,261.18,262.01,30348778.0,0,1,0
2019-11-20,aapl,2019,4,265.54,266.083,260.4,263.19,26609919.0,0,1,0
2019-11-19,aapl,2019,4,267.9,268.0,265.3926,266.29,19069597.0,0,0,0
2019-11-18,aapl,2019,4,265.8,267.43,264.23,267.1,21700897.0,1,0,0
2019-11-15,aapl,2019,4,263.68,265.78,263.01,265.76,25093666.0,1,1,1
2019-11-14,aapl,2019,4,263.75,264.88,262.1,262.64,22395556.0,0,0,0
2019-11-13,aapl,2019,4,261.13,264.78,261.07,264.47,25817593.0,1,1,1
2019-11-12,aapl,2019,4,261.55,262.79,260.92,261.96,21847226.0,1,1,1
2019-11-11,aapl,2019,4,258.3,262.47,258.28,262.2,20507459.0,1,1,1
2019-11-08,aapl,2019,4,258.69,260.44,256.85,260.14,17520495.0,1,0,0
2019-11-07,aapl,2019,4,258.74,260.35,258.11,259.43,23735083.0,1,1,1
2019-11-06,aapl,2019,4,256.77,257.49,255.365,257.24,18966124.0,1,0,0
2019-11-05,aapl,2019,4,257.05,258.19,256.32,257.13,19974427.0,1,0,0
2019-11-04,aapl,2019,4,257.33,257.845,255.38,257.5,25817952.0,1,0,0
2019-11-01,aapl,2019,4,249.54,255.93,249.16,255.82,37781334.0,1,1,1
2019-10-31,aapl,2019,4,247.24,249.17,237.26,248.76,34790520.0,1,1,1
