date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,adbe,2019,4,326.25,329.94,326.25,329.81,1592512.0,1,0,0
2019-12-30,adbe,2019,4,330.35,330.465,325.165,328.34,1896731.0,0,1,0
2019-12-27,adbe,2019,4,332.88,332.88,329.7701,330.79,1229983.0,0,1,0
2019-12-26,adbe,2019,4,329.63,331.28,329.63,331.2,1056199.0,1,0,0
2019-12-24,adbe,2019,4,329.0,331.54,328.68,329.64,1066406.0,1,0,0
2019-12-23,adbe,2019,4,328.83,329.88,327.26,328.95,2210706.0,1,0,0
2019-12-20,adbe,2019,4,328.37,330.0,325.62,327.61,4233263.0,0,1,0
2019-12-19,adbe,2019,4,324.38,327.96,324.26,327.63,2561397.0,1,1,1
2019-12-18,adbe,2019,4,322.1,326.82,322.0066,324.38,2332734.0,1,1,1
2019-12-17,adbe,2019,4,325.04,325.08,321.75,322.85,2332492.0,0,0,0
2019-12-16,adbe,2019,4,319.27,325.25,319.27,323.8,3438739.0,1,0,0
2019-12-13,adbe,2019,4,314.11,321.7299,313.74,317.94,6608031.0,1,1,1
2019-12-12,adbe,2019,4,303.0,306.5838,300.72,305.96,3127412.0,1,1,1
2019-12-11,adbe,2019,4,305.15,305.38,301.48,303.74,2929453.0,0,1,0
2019-12-10,adbe,2019,4,306.62,309.03,304.1,304.17,2156696.0,0,0,0
2019-12-09,adbe,2019,4,308.91,310.91,306.7,307.05,2895186.0,0,1,0
2019-12-06,adbe,2019,4,306.2,306.745,303.16,306.23,1733188.0,1,1,1
2019-12-05,adbe,2019,4,303.13,304.24,301.0,303.03,1698102.0,0,1,0
2019-12-04,adbe,2019,4,305.0,305.325,301.28,302.51,1522832.0,0,0,0
2019-12-03,adbe,2019,4,298.24,304.46,297.32,303.91,1661171.0,1,0,0
2019-12-02,adbe,2019,4,309.22,309.9,299.51,302.75,2894691.0,0,1,0
2019-11-29,adbe,2019,4,308.52,310.0,308.0,309.53,1175056.0,1,0,0
2019-11-27,adbe,2019,4,308.5,309.17,305.74,309.06,1470036.0,1,0,0
2019-11-26,adbe,2019,4,305.0,309.06,304.89,307.9,2619497.0,1,1,1
2019-11-25,adbe,2019,4,300.48,305.45,300.48,305.28,2205626.0,1,1,1
2019-11-22,adbe,2019,4,299.59,299.92,295.8,299.3,1508874.0,0,0,0
2019-11-21,adbe,2019,4,298.99,300.35,296.62,298.8,1609828.0,0,0,0
2019-11-20,adbe,2019,4,299.39,302.05,297.05,300.1,1841524.0,1,0,0
2019-11-19,adbe,2019,4,298.75,300.74,296.39,300.6,2143343.0,1,1,1
2019-11-18,adbe,2019,4,297.55,298.56,296.0,297.16,1632801.0,0,0,0
2019-11-15,adbe,2019,4,296.54,297.5,293.56,297.5,2011741.0,1,1,1
2019-11-14,adbe,2019,4,293.54,295.08,292.15,294.53,1461895.0,1,0,0
2019-11-13,adbe,2019,4,291.86,293.7,290.26,293.54,1806939.0,1,0,0
2019-11-12,adbe,2019,4,290.79,294.16,290.27,291.72,2085313.0,1,1,1
2019-11-11,adbe,2019,4,291.95,292.339,289.7,290.27,1778006.0,0,1,0
2019-11-08,adbe,2019,4,290.02,292.46,288.48,292.46,1628523.0,1,0,0
2019-11-07,adbe,2019,4,288.3,293.48,286.995,290.77,3201667.0,1,1,1
2019-11-06,adbe,2019,4,289.11,289.26,285.61,287.4,2762414.0,0,0,0
2019-11-05,adbe,2019,4,292.11,292.88,283.6,289.29,6170607.0,0,1,0
2019-11-04,adbe,2019,4,280.56,281.21,276.05,277.5,2790240.0,0,0,0
2019-11-01,adbe,2019,4,279.14,281.83,277.2675,277.82,2827222.0,0,0,0
2019-10-31,adbe,2019,4,278.27,279.32,275.31,277.93,2845383.0,0,1,0
2019-10-30,adbe,2019,4,273.25,278.65,272.61,278.41,2320773.0,1,1,1
2019-10-29,adbe,2019,4,271.68,273.72,271.06,271.45,1723508.0,0,0,0
2019-10-28,adbe,2019,4,271.58,272.29,268.3751,271.35,2225827.0,0,1,0
2019-10-25,adbe,2019,4,267.8,271.61,267.02,270.98,1822271.0,1,0,0
2019-10-24,adbe,2019,4,264.04,271.46,263.25,269.7,3597687.0,1,1,1
2019-10-23,adbe,2019,4,261.0,265.52,259.57,261.32,3079754.0,1,0,0
2019-10-22,adbe,2019,4,268.49,269.28,260.6401,261.09,3412660.0,0,1,0
