date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,adi,2019,4,118.82,119.1407,118.135,118.84,963456.0,1,0,0
2019-12-30,adi,2019,4,119.28,119.45,117.94,118.86,1107348.0,0,0,0
2019-12-27,adi,2019,4,119.72,120.0,118.99,119.45,1360930.0,0,1,0
2019-12-26,adi,2019,4,119.67,120.13,119.26,119.73,912635.0,1,1,1
2019-12-24,adi,2019,4,119.26,119.88,119.11,119.72,487824.0,1,0,0
2019-12-23,adi,2019,4,120.0,120.545,119.03,119.17,1565751.0,0,0,0
2019-12-20,adi,2019,4,120.18,120.22,117.9,119.82,4449011.0,0,1,0
2019-12-19,adi,2019,4,117.38,118.82,117.13,118.7,1713995.0,1,0,0
2019-12-18,adi,2019,4,118.89,119.53,116.86,117.0,2708958.0,0,1,0
2019-12-17,adi,2019,4,118.91,119.41,118.07,118.82,1467449.0,0,0,0
2019-12-16,adi,2019,4,119.52,120.5,118.49,118.86,2062535.0,0,1,0
2019-12-13,adi,2019,4,117.58,119.47,116.9,118.77,1644295.0,1,0,0
2019-12-12,adi,2019,4,115.87,118.66,115.6124,117.81,2424054.0,1,1,1
2019-12-11,adi,2019,4,114.95,116.49,114.79,115.85,2203209.0,1,0,0
2019-12-10,adi,2019,4,114.58,115.44,114.03,114.41,2815854.0,0,1,0
2019-12-09,adi,2019,4,115.78,115.78,114.5101,114.62,1553263.0,0,0,0
2019-12-06,adi,2019,4,114.74,116.1,114.4,115.89,2150292.0,1,0,0
2019-12-05,adi,2019,4,113.95,115.23,113.16,113.43,2443405.0,0,0,0
2019-12-04,adi,2019,4,111.8,114.51,111.8,114.39,2890447.0,1,1,1
2019-12-03,adi,2019,4,109.54,110.43,108.67,110.25,2157134.0,1,1,1
2019-12-02,adi,2019,4,113.06,113.36,110.93,111.26,1715849.0,0,1,0
2019-11-29,adi,2019,4,113.03,114.39,112.44,112.95,1036675.0,0,0,0
2019-11-27,adi,2019,4,116.11,116.31,113.03,113.7,3948863.0,0,0,0
2019-11-26,adi,2019,4,108.62,115.45,107.51,114.89,7432903.0,1,1,1
2019-11-25,adi,2019,4,111.62,113.47,111.32,112.93,3031509.0,1,1,1
2019-11-22,adi,2019,4,111.08,111.08,109.14,110.65,1783561.0,0,0,0
2019-11-21,adi,2019,4,109.06,109.235,107.85,108.78,2903049.0,0,0,0
2019-11-20,adi,2019,4,110.8,110.83,108.22,108.58,2988293.0,0,1,0
2019-11-19,adi,2019,4,112.73,113.03,111.57,111.71,1876162.0,0,1,0
2019-11-18,adi,2019,4,113.03,113.4,111.7,111.97,1845257.0,0,1,0
2019-11-15,adi,2019,4,114.7,114.95,112.59,113.4,1767396.0,0,1,0
2019-11-14,adi,2019,4,113.7,113.7,112.54,113.32,1102241.0,0,0,0
2019-11-13,adi,2019,4,112.26,114.385,111.91,114.17,1729378.0,1,0,0
2019-11-12,adi,2019,4,113.03,114.01,112.74,113.26,2277128.0,1,1,1
2019-11-11,adi,2019,4,112.55,112.74,111.42,112.55,1263530.0,0,1,0
2019-11-08,adi,2019,4,111.98,113.04,111.1663,113.02,1123931.0,1,0,0
2019-11-07,adi,2019,4,113.77,113.82,111.53,112.29,1139209.0,0,0,0
2019-11-06,adi,2019,4,113.0,113.22,110.65,112.03,1676838.0,0,0,0
2019-11-05,adi,2019,4,111.47,114.43,111.335,113.45,3043690.0,1,1,1
2019-11-04,adi,2019,4,111.07,112.26,110.35,111.39,1696867.0,1,0,0
2019-11-01,adi,2019,4,107.62,109.92,107.56,109.37,1991769.0,1,0,0
2019-10-31,adi,2019,4,107.7,107.7,104.95,106.63,3847445.0,0,1,0
2019-10-30,adi,2019,4,110.51,110.99,107.77,108.25,2543748.0,0,0,0
2019-10-29,adi,2019,4,109.24,110.12,107.84,108.06,2766559.0,0,1,0
2019-10-28,adi,2019,4,107.7,109.078,107.42,108.83,2072964.0,1,1,1
2019-10-25,adi,2019,4,105.55,107.03,105.12,106.83,1867697.0,1,0,0
2019-10-24,adi,2019,4,106.37,106.675,104.92,105.32,3053496.0,0,0,0
2019-10-23,adi,2019,4,107.5,107.75,104.58,105.57,4596793.0,0,1,0
2019-10-22,adi,2019,4,111.25,112.24,110.73,110.88,1664161.0,0,1,0
2019-10-21,adi,2019,4,110.19,111.48,109.985,111.11,1327271.0,1,0,0
2019-10-18,adi,2019,4,110.17,110.43,108.42,109.48,1428915.0,0,0,0
2019-10-17,adi,2019,4,111.77,112.26,109.63,110.0,1494105.0,0,0,0
2019-10-16,adi,2019,4,112.71,113.25,110.39,110.59,1963966.0,0,0,0
2019-10-15,adi,2019,4,110.75,113.41,110.5,113.29,2629701.0,1,1,1
2019-10-14,adi,2019,4,110.57,111.0,109.99,110.34,1761884.0,0,0,0
2019-10-11,adi,2019,4,109.73,112.72,109.73,111.22,2626741.0,1,1,1
2019-10-10,adi,2019,4,107.8,109.77,107.52,108.44,1902677.0,1,0,0
2019-10-09,adi,2019,4,107.77,108.87,106.78,108.07,1907631.0,1,0,0
2019-10-08,adi,2019,4,109.99,110.36,106.09,106.13,3240867.0,0,1,0
2019-10-07,adi,2019,4,112.92,113.29,110.78,110.84,1764150.0,0,1,0
2019-10-04,adi,2019,4,111.85,113.22,111.19,113.03,1437647.0,1,0,0
2019-10-03,adi,2019,4,108.87,111.3,108.0,110.87,1880658.0,1,1,1
2019-10-02,adi,2019,4,109.13,109.81,108.11,108.97,1658503.0,0,0,0
2019-10-01,adi,2019,4,114.81,116.1937,109.56,109.78,2902230.0,0,1,0
