date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,axp,2019,4,124.29,124.574,123.78,124.49,2340392.0,1,1,1
2019-12-30,axp,2019,4,125.2,125.46,124.18,124.3,2306453.0,0,1,0
2019-12-27,axp,2019,4,125.84,125.97,125.11,125.19,1788623.0,0,1,0
2019-12-26,axp,2019,4,124.98,125.437,124.53,125.41,1486575.0,1,1,1
2019-12-24,axp,2019,4,124.95,125.33,124.38,124.74,953540.0,0,0,0
2019-12-23,axp,2019,4,125.74,125.74,123.7,124.49,3031399.0,0,0,0
2019-12-20,axp,2019,4,125.86,126.275,124.83,125.77,5825418.0,0,1,0
2019-12-19,axp,2019,4,124.18,124.895,123.88,124.83,2543557.0,1,0,0
2019-12-18,axp,2019,4,125.03,125.07,124.08,124.26,3154150.0,0,0,0
2019-12-17,axp,2019,4,123.99,125.4,123.2505,124.95,4325243.0,1,1,1
2019-12-16,axp,2019,4,125.65,126.33,123.342,123.68,3416062.0,0,0,0
2019-12-13,axp,2019,4,122.47,124.99,122.08,124.72,3918982.0,1,1,1
2019-12-12,axp,2019,4,120.6,123.07,120.05,122.64,2933319.0,1,1,1
2019-12-11,axp,2019,4,120.88,121.38,120.1,120.64,2009764.0,0,0,0
2019-12-10,axp,2019,4,120.45,121.47,120.03,120.9,2518152.0,1,0,0
2019-12-09,axp,2019,4,120.44,121.53,120.11,120.46,2885234.0,1,0,0
2019-12-06,axp,2019,4,120.21,121.44,119.91,120.61,3287597.0,1,1,1
2019-12-05,axp,2019,4,117.91,118.43,117.59,118.28,3128325.0,1,1,1
2019-12-04,axp,2019,4,117.31,118.54,117.0,117.94,2444140.0,1,0,0
2019-12-03,axp,2019,4,116.04,116.75,114.645,116.57,3845195.0,1,0,0
2019-12-02,axp,2019,4,120.31,120.355,117.07,117.26,5538216.0,0,1,0
2019-11-29,axp,2019,4,120.07,120.89,119.78,120.12,1961463.0,1,0,0
2019-11-27,axp,2019,4,120.0,120.36,119.35,120.33,2629692.0,1,0,0
2019-11-26,axp,2019,4,120.91,121.04,119.6,119.79,4600167.0,0,1,0
2019-11-25,axp,2019,4,119.14,120.6,119.14,120.6,2285404.0,1,1,1
2019-11-22,axp,2019,4,119.21,119.29,118.41,119.06,1629686.0,0,0,0
2019-11-21,axp,2019,4,119.29,119.47,118.4909,118.8,2707351.0,0,1,0
2019-11-20,axp,2019,4,119.83,120.23,118.93,119.3,2544144.0,0,1,0
2019-11-19,axp,2019,4,120.01,120.45,119.86,120.0,1891039.0,0,0,0
2019-11-18,axp,2019,4,120.56,120.85,119.4,119.66,2617876.0,0,1,0
2019-11-15,axp,2019,4,120.98,121.33,120.39,120.76,2341454.0,0,1,0
2019-11-14,axp,2019,4,120.0,120.98,119.8,120.93,1990576.0,1,1,1
2019-11-13,axp,2019,4,120.27,120.965,120.13,120.26,1838883.0,0,0,0
2019-11-12,axp,2019,4,120.87,121.225,120.41,120.89,2012434.0,1,1,1
2019-11-11,axp,2019,4,120.76,121.81,120.51,120.9,1704102.0,1,0,0
2019-11-08,axp,2019,4,121.01,121.81,120.89,121.47,1984615.0,1,0,0
2019-11-07,axp,2019,4,120.27,122.43,120.1,121.28,2845041.0,1,1,1
2019-11-06,axp,2019,4,118.89,119.72,118.89,119.69,2420671.0,1,0,0
2019-11-05,axp,2019,4,119.84,119.96,117.7567,118.77,2628878.0,0,1,0
2019-11-04,axp,2019,4,119.62,120.5,119.01,119.62,1954702.0,0,0,0
2019-11-01,axp,2019,4,118.41,119.45,118.17,119.14,2036492.0,1,0,0
2019-10-31,axp,2019,4,117.79,118.21,116.89,117.28,2507443.0,0,1,0
2019-10-30,axp,2019,4,117.44,118.17,116.86,118.07,2264204.0,1,0,0
2019-10-29,axp,2019,4,118.09,118.8342,117.075,117.42,2753014.0,0,1,0
2019-10-28,axp,2019,4,118.64,119.3,118.07,118.58,2551054.0,0,1,0
2019-10-25,axp,2019,4,116.36,118.51,116.27,118.26,2324665.0,1,0,0
2019-10-24,axp,2019,4,116.44,116.9,116.14,116.41,2621342.0,0,0,0
2019-10-23,axp,2019,4,118.42,119.23,115.51,116.49,3937591.0,0,1,0
2019-10-22,axp,2019,4,118.67,119.3498,118.29,118.61,3917049.0,0,0,0
2019-10-21,axp,2019,4,117.55,119.38,117.49,119.05,4320295.0,1,0,0
2019-10-18,axp,2019,4,119.73,119.98,116.67,116.76,6188096.0,0,1,0
2019-10-17,axp,2019,4,118.01,119.33,117.9581,119.1,3023690.0,1,1,1
2019-10-16,axp,2019,4,117.63,117.99,117.07,117.41,2147177.0,0,0,0
2019-10-15,axp,2019,4,117.03,118.1867,116.73,117.59,3071522.0,1,1,1
2019-10-14,axp,2019,4,116.14,117.0,115.94,116.39,1882325.0,1,0,0
2019-10-11,axp,2019,4,116.74,117.57,116.185,116.4,2875905.0,0,1,0
2019-10-10,axp,2019,4,114.81,115.785,113.93,115.02,2396506.0,1,1,1
2019-10-09,axp,2019,4,113.25,114.77,113.23,113.92,2385471.0,1,0,0
2019-10-08,axp,2019,4,112.83,113.65,112.05,112.54,3803434.0,0,1,0
2019-10-07,axp,2019,4,113.91,114.65,113.6,113.65,2583036.0,0,0,0
2019-10-04,axp,2019,4,112.66,114.53,112.6,114.41,2753180.0,1,0,0
2019-10-03,axp,2019,4,112.2,112.955,111.06,112.55,3530987.0,1,0,0
2019-10-02,axp,2019,4,115.76,115.81,112.75,112.86,4931450.0,0,1,0
2019-10-01,axp,2019,4,118.7,119.5,116.61,116.7,2856628.0,0,1,0
2019-09-30,axp,2019,3,119.05,119.24,118.14,118.28,2353631.0,0,0,0
2019-09-27,axp,2019,3,119.13,119.62,117.98,118.59,2909180.0,0,0,0
2019-09-26,axp,2019,3,119.31,120.025,118.84,118.91,3460103.0,0,1,0
