date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,el,2019,4,205.7,207.11,205.59,206.54,541536.0,1,0,0
2019-12-30,el,2019,4,207.93,208.33,205.96,206.4,680616.0,0,1,0
2019-12-27,el,2019,4,207.62,208.26,206.82,207.95,494995.0,1,0,0
2019-12-26,el,2019,4,206.0,207.5619,205.635,207.24,1092590.0,1,1,1
2019-12-24,el,2019,4,205.88,206.26,205.25,205.45,327832.0,0,0,0
2019-12-23,el,2019,4,207.47,207.47,205.36,205.97,1240220.0,0,0,0
2019-12-20,el,2019,4,204.58,207.98,204.58,206.86,3176839.0,1,1,1
2019-12-19,el,2019,4,204.71,205.92,203.59,204.29,1213564.0,0,0,0
2019-12-18,el,2019,4,203.17,204.83,202.93,203.94,1223054.0,1,0,0
2019-12-17,el,2019,4,202.75,202.82,198.4741,202.43,1900983.0,0,1,0
2019-12-16,el,2019,4,204.77,205.73,202.8,204.03,1272966.0,0,1,0
2019-12-13,el,2019,4,201.0,203.76,199.68,203.21,1017761.0,1,0,0
2019-12-12,el,2019,4,198.55,200.92,198.27,200.62,1114187.0,1,0,0
2019-12-11,el,2019,4,198.5,200.65,197.99,198.56,1139181.0,1,0,0
2019-12-10,el,2019,4,198.09,198.27,196.195,197.92,1755419.0,0,1,0
2019-12-09,el,2019,4,198.72,199.705,196.85,198.7,1140715.0,0,1,0
2019-12-06,el,2019,4,198.56,198.88,196.88,197.92,784101.0,0,0,0
2019-12-05,el,2019,4,197.93,198.5,195.15,196.3,2172864.0,0,1,0
2019-12-04,el,2019,4,194.85,198.265,193.83,197.87,1688107.0,1,1,1
2019-12-03,el,2019,4,194.29,194.66,192.17,193.83,1495214.0,0,1,0
2019-12-02,el,2019,4,195.06,195.82,193.835,195.59,1178366.0,1,1,1
2019-11-29,el,2019,4,194.82,196.36,194.12,195.47,631398.0,1,0,0
2019-11-27,el,2019,4,195.37,196.43,194.49,195.96,1500185.0,1,0,0
2019-11-26,el,2019,4,195.43,196.45,193.9,195.42,1762779.0,0,1,0
2019-11-25,el,2019,4,193.9,195.0,192.39,194.7,1115152.0,1,1,1
2019-11-22,el,2019,4,192.75,193.74,192.05,193.18,863969.0,1,0,0
2019-11-21,el,2019,4,194.47,195.83,191.77,192.74,1610901.0,0,0,0
2019-11-20,el,2019,4,195.35,196.51,192.22,195.27,1725239.0,0,1,0
2019-11-19,el,2019,4,193.35,196.14,192.84,196.1,1270586.0,1,0,0
2019-11-18,el,2019,4,191.17,193.4359,191.01,192.89,1678938.0,1,1,1
2019-11-15,el,2019,4,191.71,192.3,190.19,190.99,1365744.0,0,0,0
