date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,k,2019,4,68.77,69.23,68.57,69.16,1053310.0,1,1,1
2019-12-30,k,2019,4,68.91,69.11,68.55,68.78,737946.0,0,0,0
2019-12-27,k,2019,4,68.66,69.32,68.66,69.16,769597.0,1,0,0
2019-12-26,k,2019,4,68.96,69.07,68.5,68.66,1093383.0,0,1,0
2019-12-24,k,2019,4,68.82,69.12,68.56,68.93,902475.0,1,0,0
2019-12-23,k,2019,4,68.83,68.949,68.14,68.78,1773489.0,0,0,0
2019-12-20,k,2019,4,67.9,68.77,67.59,68.64,5272800.0,1,1,1
2019-12-19,k,2019,4,66.94,67.1309,66.55,66.78,1336434.0,0,1,0
2019-12-18,k,2019,4,66.42,66.54,66.17,66.48,1300536.0,1,0,0
2019-12-17,k,2019,4,66.03,66.41,65.79,66.1,1414291.0,1,0,0
2019-12-16,k,2019,4,66.47,66.59,65.92,66.28,2043195.0,0,1,0
2019-12-13,k,2019,4,66.06,66.56,66.02,66.25,895030.0,1,0,0
2019-12-12,k,2019,4,66.6,66.79,66.05,66.19,1001424.0,0,0,0
2019-12-11,k,2019,4,66.6,66.67,66.03,66.15,1434570.0,0,1,0
2019-12-10,k,2019,4,66.69,66.87,66.255,66.64,1184380.0,0,0,0
2019-12-09,k,2019,4,66.14,66.85,66.05,66.54,1255483.0,1,1,1
2019-12-06,k,2019,4,65.91,66.46,65.83,66.22,995230.0,1,0,0
2019-12-05,k,2019,4,65.68,65.78,65.28,65.75,1128959.0,1,0,0
2019-12-04,k,2019,4,65.0,66.3,65.0,65.73,1821351.0,1,1,1
2019-12-03,k,2019,4,65.41,65.66,65.09,65.65,1543734.0,1,1,1
2019-12-02,k,2019,4,64.92,65.45,64.57,65.42,1383203.0,1,1,1
2019-11-29,k,2019,4,65.03,65.49,64.68,65.12,1043622.0,1,0,0
2019-11-27,k,2019,4,65.61,65.94,65.32,65.61,1553327.0,0,0,0
2019-11-26,k,2019,4,64.43,65.53,64.13,65.49,1781722.0,1,1,1
2019-11-25,k,2019,4,64.64,64.77,64.12,64.34,1262353.0,0,1,0
2019-11-22,k,2019,4,64.97,65.2609,64.32,64.51,974229.0,0,0,0
2019-11-21,k,2019,4,65.2,65.45,64.71,64.72,1609023.0,0,1,0
2019-11-20,k,2019,4,65.32,65.42,64.84,65.38,1511327.0,1,1,1
2019-11-19,k,2019,4,65.36,65.46,65.12,65.32,1070477.0,0,0,0
2019-11-18,k,2019,4,64.96,65.5,64.44,65.43,1637257.0,1,0,0
2019-11-15,k,2019,4,63.97,64.88,63.77,64.66,1772889.0,1,1,1
2019-11-14,k,2019,4,64.54,64.67,63.78,64.05,1600251.0,0,0,0
2019-11-13,k,2019,4,64.09,64.63,63.8,64.41,2046019.0,1,1,1
2019-11-12,k,2019,4,63.5,64.16,63.27,63.97,1550098.0,1,1,1
2019-11-11,k,2019,4,63.83,63.875,63.04,63.47,1026964.0,0,0,0
2019-11-08,k,2019,4,64.03,64.4,63.64,63.99,1351995.0,0,0,0
2019-11-07,k,2019,4,64.31,64.41,63.2001,63.73,1512452.0,0,0,0
2019-11-06,k,2019,4,64.05,65.115,63.97,64.41,3031791.0,1,1,1
2019-11-05,k,2019,4,63.74,63.99,63.36,63.52,1501051.0,0,0,0
2019-11-04,k,2019,4,63.71,63.87,63.06,63.56,1523899.0,0,0,0
2019-11-01,k,2019,4,63.47,64.02,63.29,63.68,1863287.0,1,1,1
2019-10-31,k,2019,4,63.88,64.07,62.97,63.53,1820741.0,0,0,0
2019-10-30,k,2019,4,63.32,63.98,62.87,63.88,2585288.0,1,0,0
2019-10-29,k,2019,4,63.0,64.36,61.55,62.87,4785872.0,0,1,0
2019-10-28,k,2019,4,61.09,61.26,60.65,61.06,2651240.0,0,1,0
2019-10-25,k,2019,4,61.76,61.92,60.65,60.89,1493701.0,0,1,0
2019-10-24,k,2019,4,61.96,61.9615,61.06,61.66,1033457.0,0,1,0
2019-10-23,k,2019,4,62.11,62.32,61.88,62.21,960601.0,1,0,0
2019-10-22,k,2019,4,62.51,62.78,62.02,62.08,1254658.0,0,0,0
