date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,low,2019,4,119.57,119.83,118.4437,119.76,2651251.0,1,1,1
2019-12-30,low,2019,4,120.55,120.75,118.94,120.05,2327858.0,0,0,0
2019-12-27,low,2019,4,119.86,120.68,119.62,120.23,2419739.0,1,1,1
2019-12-26,low,2019,4,119.93,120.3,119.48,119.73,1714218.0,0,1,0
2019-12-24,low,2019,4,119.59,120.13,119.385,119.77,1126013.0,1,0,0
2019-12-23,low,2019,4,120.03,120.5775,119.31,119.59,3190348.0,0,0,0
2019-12-20,low,2019,4,119.73,120.2772,119.3,119.73,5996119.0,0,1,0
2019-12-19,low,2019,4,119.33,120.57,118.9,120.21,4500748.0,1,1,1
2019-12-18,low,2019,4,119.66,120.19,119.27,119.31,3309526.0,0,0,0
2019-12-17,low,2019,4,120.69,121.46,119.23,119.32,3533877.0,0,0,0
2019-12-16,low,2019,4,119.47,121.17,119.275,120.08,3749064.0,1,1,1
2019-12-13,low,2019,4,117.67,118.61,116.82,118.5,3118866.0,1,1,1
2019-12-12,low,2019,4,117.67,118.785,117.2,118.2,2533128.0,1,0,0
2019-12-11,low,2019,4,115.7,117.67,115.23,117.66,3246436.0,1,1,1
2019-12-10,low,2019,4,117.78,117.86,116.3815,116.48,2561612.0,0,0,0
2019-12-09,low,2019,4,116.33,118.33,116.14,117.87,2589469.0,1,1,1
2019-12-06,low,2019,4,116.18,117.32,116.03,116.28,2463069.0,1,0,0
2019-12-05,low,2019,4,115.97,116.28,114.96,115.58,2650218.0,0,0,0
2019-12-04,low,2019,4,115.0,117.46,114.87,115.46,4147397.0,1,0,0
2019-12-03,low,2019,4,114.8,115.26,113.61,114.55,5148807.0,0,1,0
2019-12-02,low,2019,4,117.6,117.89,115.96,116.0,3324094.0,0,1,0
2019-11-29,low,2019,4,118.45,118.75,117.0901,117.31,1596032.0,0,0,0
2019-11-27,low,2019,4,118.06,118.9573,117.7,118.46,2946006.0,1,0,0
2019-11-26,low,2019,4,117.56,118.34,116.95,117.78,4758202.0,1,1,1
2019-11-25,low,2019,4,118.82,119.15,116.6884,117.0,4468911.0,0,0,0
2019-11-22,low,2019,4,117.09,118.2,116.75,118.2,4473298.0,1,0,0
2019-11-21,low,2019,4,118.99,119.0,116.68,117.02,5747292.0,0,0,0
2019-11-20,low,2019,4,118.28,121.22,116.96,117.83,16113817.0,0,1,0
2019-11-19,low,2019,4,115.12,115.12,112.8751,113.4,7150414.0,0,1,0
2019-11-18,low,2019,4,115.74,116.8,115.02,115.02,5505131.0,0,1,0
2019-11-15,low,2019,4,115.12,115.7,113.5,115.52,3644369.0,1,1,1
2019-11-14,low,2019,4,113.52,114.84,112.7,114.54,2852377.0,1,0,0
2019-11-13,low,2019,4,112.97,114.41,111.94,112.85,4331451.0,0,1,0
2019-11-12,low,2019,4,114.38,115.54,114.1911,114.32,4174619.0,0,1,0
2019-11-11,low,2019,4,113.22,114.49,112.72,114.45,2936626.0,1,1,1
2019-11-08,low,2019,4,112.74,114.07,112.2626,114.0,2792399.0,1,1,1
2019-11-07,low,2019,4,113.45,114.16,112.12,112.6,2656212.0,0,0,0
2019-11-06,low,2019,4,113.0,113.81,111.42,112.67,3227013.0,0,1,0
2019-11-05,low,2019,4,112.66,112.745,111.03,112.2,2359097.0,0,0,0
2019-11-04,low,2019,4,113.06,113.64,111.71,112.62,2517956.0,0,0,0
2019-11-01,low,2019,4,111.92,112.97,110.145,112.95,2801305.0,1,0,0
2019-10-31,low,2019,4,112.34,112.99,110.8,111.61,3413101.0,0,1,0
2019-10-30,low,2019,4,109.88,111.46,109.19,111.28,3064933.0,1,1,1
2019-10-29,low,2019,4,111.27,111.52,109.21,109.53,3034798.0,0,1,0
2019-10-28,low,2019,4,111.97,112.49,111.025,111.64,2489332.0,0,1,0
2019-10-25,low,2019,4,110.59,112.55,110.35,111.58,2260020.0,1,1,1
2019-10-24,low,2019,4,111.67,112.9173,110.46,110.87,2167156.0,0,0,0
2019-10-23,low,2019,4,111.96,112.265,110.76,111.51,2261049.0,0,0,0
2019-10-22,low,2019,4,111.71,113.53,111.61,112.47,3655194.0,1,1,1
2019-10-21,low,2019,4,113.32,113.81,111.4,111.95,2907836.0,0,0,0
2019-10-18,low,2019,4,112.16,113.12,112.05,112.84,3712311.0,1,1,1
2019-10-17,low,2019,4,112.86,113.42,111.96,112.6,2711491.0,0,0,0
2019-10-16,low,2019,4,112.21,112.78,111.72,112.33,2915472.0,1,0,0
2019-10-15,low,2019,4,111.61,113.0,111.2,112.42,3346052.0,1,1,1
2019-10-14,low,2019,4,110.45,111.241,110.26,110.67,2142367.0,1,0,0
2019-10-11,low,2019,4,109.89,111.65,109.4,110.81,4511747.0,1,1,1
2019-10-10,low,2019,4,106.46,108.5,106.45,108.19,3300510.0,1,1,1
2019-10-09,low,2019,4,107.19,107.66,105.64,106.3,3227751.0,0,0,0
2019-10-08,low,2019,4,106.89,108.23,106.48,106.5,3384942.0,0,0,0
2019-10-07,low,2019,4,107.63,108.96,107.2,108.23,3690282.0,1,0,0
2019-10-04,low,2019,4,106.92,107.79,106.29,107.42,4323319.0,1,0,0
2019-10-03,low,2019,4,106.28,106.7,104.59,106.37,5009225.0,1,0,0
2019-10-02,low,2019,4,109.31,109.31,105.92,106.35,5054882.0,0,1,0
2019-10-01,low,2019,4,110.09,111.925,108.85,109.52,3968548.0,0,0,0
2019-09-30,low,2019,3,109.83,110.3,108.96,109.96,4025865.0,1,1,1
2019-09-27,low,2019,3,111.48,111.84,108.81,109.54,3939578.0,0,0,0
2019-09-26,low,2019,3,111.08,111.42,109.39,110.72,3993037.0,0,1,0
2019-09-25,low,2019,3,110.21,111.25,109.96,110.75,2915147.0,1,0,0
2019-09-24,low,2019,3,111.26,112.22,109.75,110.02,3947555.0,0,0,0
2019-09-23,low,2019,3,110.19,112.02,109.59,110.44,5643872.0,1,0,0
2019-09-20,low,2019,3,112.93,113.19,110.95,110.96,6261447.0,0,1,0
