date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,mdt,2019,4,113.0,113.46,112.2,113.45,2806438.0,1,1,1
2019-12-30,mdt,2019,4,113.77,113.89,112.5363,112.93,2112837.0,0,0,0
2019-12-27,mdt,2019,4,112.9,113.59,112.48,113.35,2458895.0,1,0,0
2019-12-26,mdt,2019,4,113.21,113.34,112.15,112.58,2942512.0,0,1,0
2019-12-24,mdt,2019,4,114.07,114.3,113.4773,113.77,1281430.0,0,0,0
2019-12-23,mdt,2019,4,113.78,114.135,113.39,113.89,3726472.0,1,0,0
2019-12-20,mdt,2019,4,115.25,115.94,113.36,113.74,10323887.0,0,1,0
2019-12-19,mdt,2019,4,113.9,114.3,112.77,113.49,5116571.0,0,1,0
2019-12-18,mdt,2019,4,114.11,114.55,113.7,113.8,4895076.0,0,1,0
2019-12-17,mdt,2019,4,114.97,115.65,114.1416,114.35,3864253.0,0,0,0
2019-12-16,mdt,2019,4,114.07,114.97,114.01,114.54,4304010.0,1,1,1
2019-12-13,mdt,2019,4,112.06,113.89,111.84,113.52,4180341.0,1,1,1
2019-12-12,mdt,2019,4,111.43,113.08,111.22,112.38,3741359.0,1,1,1
2019-12-11,mdt,2019,4,111.54,111.84,111.17,111.72,2807827.0,1,0,0
2019-12-10,mdt,2019,4,111.36,111.89,110.9,111.04,3850747.0,0,1,0
2019-12-09,mdt,2019,4,112.83,112.98,111.01,111.13,3403381.0,0,0,0
2019-12-06,mdt,2019,4,112.5,113.62,112.075,113.09,3622895.0,1,1,1
2019-12-05,mdt,2019,4,111.94,112.31,111.22,112.2,3205737.0,1,1,1
2019-12-04,mdt,2019,4,111.15,112.14,110.985,111.94,3003397.0,1,0,0
2019-12-03,mdt,2019,4,110.05,111.53,110.01,110.99,3648630.0,1,1,1
2019-12-02,mdt,2019,4,111.2,111.62,109.69,110.91,3429836.0,0,1,0
2019-11-29,mdt,2019,4,112.24,112.38,110.9,111.39,2786573.0,0,0,0
2019-11-27,mdt,2019,4,111.38,112.71,111.23,112.47,3367231.0,1,0,0
2019-11-26,mdt,2019,4,112.0,112.15,110.83,111.33,9391468.0,0,1,0
2019-11-25,mdt,2019,4,111.23,111.86,110.67,111.78,5652628.0,1,1,1
2019-11-22,mdt,2019,4,110.85,111.46,110.65,110.82,5567627.0,0,0,0
2019-11-21,mdt,2019,4,111.57,112.27,109.67,110.49,7026189.0,0,1,0
2019-11-20,mdt,2019,4,111.41,112.99,111.24,111.79,6029540.0,1,0,0
2019-11-19,mdt,2019,4,112.49,112.56,109.49,111.07,7542134.0,0,0,0
2019-11-18,mdt,2019,4,113.28,114.46,111.13,111.25,7547159.0,0,1,0
2019-11-15,mdt,2019,4,109.94,112.15,109.9,112.06,6223408.0,1,1,1
2019-11-14,mdt,2019,4,109.95,109.99,108.241,109.21,3400551.0,0,1,0
2019-11-13,mdt,2019,4,108.7,109.245,108.34,109.01,2255372.0,1,0,0
2019-11-12,mdt,2019,4,108.52,108.99,108.13,108.63,2413464.0,1,0,0
2019-11-11,mdt,2019,4,107.72,108.74,107.06,107.96,3090434.0,1,1,1
2019-11-08,mdt,2019,4,107.12,107.59,106.655,107.03,2312775.0,0,0,0
2019-11-07,mdt,2019,4,107.35,107.48,106.02,106.8,2630172.0,0,0,0
2019-11-06,mdt,2019,4,105.76,107.28,105.53,106.87,3653991.0,1,0,0
2019-11-05,mdt,2019,4,106.94,106.96,104.86,105.53,4133092.0,0,1,0
