date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,orcl,2019,4,52.57,53.0,52.55,52.98,7094518.0,1,1,1
2019-12-30,orcl,2019,4,53.4,53.49,52.62,52.7,5936134.0,0,0,0
2019-12-27,orcl,2019,4,53.66,53.8,53.34,53.46,7261963.0,0,1,0
2019-12-26,orcl,2019,4,53.45,53.66,53.28,53.57,6702009.0,1,1,1
2019-12-24,orcl,2019,4,53.78,53.96,53.355,53.44,3331654.0,0,0,0
2019-12-23,orcl,2019,4,53.65,54.065,53.61,53.71,10591499.0,1,0,0
2019-12-20,orcl,2019,4,53.91,53.95,53.35,53.6,27423569.0,0,1,0
2019-12-19,orcl,2019,4,53.3,53.6,53.04,53.24,11910106.0,0,0,0
2019-12-18,orcl,2019,4,53.06,53.61,52.95,53.39,14122979.0,1,0,0
2019-12-17,orcl,2019,4,53.89,54.06,52.83,52.84,19778245.0,0,0,0
2019-12-16,orcl,2019,4,54.6,54.98,53.7,53.99,19950161.0,0,0,0
2019-12-13,orcl,2019,4,55.0,55.4,54.42,54.51,21426748.0,0,1,0
2019-12-12,orcl,2019,4,56.3,56.66,55.76,56.47,15405644.0,1,1,1
2019-12-11,orcl,2019,4,55.8,56.5,55.65,56.31,12092246.0,1,1,1
2019-12-10,orcl,2019,4,55.4,55.905,55.23,55.82,10719699.0,1,0,0
2019-12-09,orcl,2019,4,54.84,55.48,54.76,55.31,11996705.0,1,1,1
2019-12-06,orcl,2019,4,55.03,55.13,54.61,54.83,9088555.0,0,0,0
2019-12-05,orcl,2019,4,54.5,54.83,54.3,54.68,10557403.0,1,0,0
2019-12-04,orcl,2019,4,54.9,54.9,54.1843,54.41,11436774.0,0,0,0
2019-12-03,orcl,2019,4,54.62,54.99,54.46,54.59,14320507.0,0,1,0
2019-12-02,orcl,2019,4,56.23,56.46,55.38,55.43,14313982.0,0,1,0
2019-11-29,orcl,2019,4,56.33,56.49,56.09,56.14,6479396.0,0,1,0
2019-11-27,orcl,2019,4,56.9,56.91,56.38,56.61,5789996.0,0,0,0
2019-11-26,orcl,2019,4,56.75,56.86,56.415,56.51,12084138.0,0,1,0
2019-11-25,orcl,2019,4,56.46,56.68,56.28,56.56,7977692.0,1,1,1
2019-11-22,orcl,2019,4,56.42,57.058,56.245,56.39,6346919.0,0,0,0
2019-11-21,orcl,2019,4,56.22,56.59,56.12,56.23,8067136.0,1,0,0
2019-11-20,orcl,2019,4,56.22,56.62,55.81,56.24,9117046.0,1,1,1
2019-11-19,orcl,2019,4,56.47,56.95,56.26,56.27,7199492.0,0,1,0
2019-11-18,orcl,2019,4,56.56,56.56,55.96,56.19,6923327.0,0,0,0
2019-11-15,orcl,2019,4,56.4,56.555,56.265,56.42,7216860.0,1,0,0
2019-11-14,orcl,2019,4,55.81,56.325,55.64,56.09,9056093.0,1,1,1
2019-11-13,orcl,2019,4,56.21,56.56,56.17,56.21,6817951.0,0,1,0
2019-11-12,orcl,2019,4,56.53,56.845,56.415,56.59,6184949.0,1,1,1
2019-11-11,orcl,2019,4,56.2,56.61,56.18,56.43,5018039.0,1,0,0
2019-11-08,orcl,2019,4,55.98,56.49,55.767,56.49,5869589.0,1,0,0
2019-11-07,orcl,2019,4,55.96,56.625,55.86,55.98,9677704.0,1,0,0
2019-11-06,orcl,2019,4,55.71,55.885,55.6,55.7,10572139.0,0,0,0
2019-11-05,orcl,2019,4,55.76,55.84,55.51,55.67,10759319.0,0,1,0
2019-11-04,orcl,2019,4,55.26,55.75,55.26,55.45,8757046.0,1,1,1
2019-11-01,orcl,2019,4,54.81,55.15,54.5503,55.0,7313565.0,1,0,0
2019-10-31,orcl,2019,4,54.72,54.85,54.24,54.49,8260599.0,0,1,0
2019-10-30,orcl,2019,4,55.18,55.18,54.45,54.85,6284896.0,0,0,0
2019-10-29,orcl,2019,4,54.72,55.305,54.56,54.8,8331090.0,1,1,1
2019-10-28,orcl,2019,4,54.35,54.68,54.27,54.64,7269420.0,1,1,1
2019-10-25,orcl,2019,4,54.04,54.42,54.01,54.17,6306964.0,1,0,0
2019-10-24,orcl,2019,4,54.47,54.65,53.94,54.26,6478707.0,0,0,0
2019-10-23,orcl,2019,4,54.0,54.63,53.87,54.13,10533647.0,1,1,1
2019-10-22,orcl,2019,4,55.22,55.43,54.02,54.11,7875719.0,0,0,0
2019-10-21,orcl,2019,4,55.06,55.3,54.82,55.13,8351524.0,1,0,0
2019-10-18,orcl,2019,4,54.95,55.26,54.18,54.55,12562854.0,0,1,0
2019-10-17,orcl,2019,4,56.01,56.238,54.985,55.06,9966612.0,0,1,0
2019-10-16,orcl,2019,4,55.79,56.01,55.55,55.88,9032457.0,1,0,0
2019-10-15,orcl,2019,4,56.63,56.815,56.35,56.35,9236782.0,0,0,0
2019-10-14,orcl,2019,4,56.83,57.21,56.41,56.46,11091843.0,0,0,0
2019-10-11,orcl,2019,4,55.92,57.33,55.71,56.89,18727729.0,1,1,1
2019-10-10,orcl,2019,4,54.45,55.6,54.35,55.49,13870604.0,1,1,1
2019-10-09,orcl,2019,4,54.15,54.99,54.06,54.53,12888711.0,1,0,0
2019-10-08,orcl,2019,4,54.29,54.7055,53.77,54.05,15055697.0,0,1,0
2019-10-07,orcl,2019,4,55.07,55.36,54.75,54.8,12443438.0,0,0,0
2019-10-04,orcl,2019,4,54.0,55.18,53.84,55.14,13835792.0,1,1,1
2019-10-03,orcl,2019,4,53.06,53.88,52.94,53.86,11703234.0,1,0,0
2019-10-02,orcl,2019,4,53.5,53.56,52.675,53.15,16057795.0,0,0,0
2019-10-01,orcl,2019,4,55.04,55.64,53.75,53.8,16523934.0,0,0,0
2019-09-30,orcl,2019,3,54.25,55.28,54.05,55.03,17507766.0,1,1,1
2019-09-27,orcl,2019,3,54.19,54.6,53.62,54.09,12391079.0,0,0,0
2019-09-26,orcl,2019,3,54.11,54.33,53.465,53.96,13375725.0,0,1,0
2019-09-25,orcl,2019,3,53.31,53.945,52.89,53.84,11635557.0,1,0,0
2019-09-24,orcl,2019,3,54.14,54.49,53.115,53.35,15657442.0,0,1,0
2019-09-23,orcl,2019,3,53.17,54.17,53.06,54.02,14260366.0,1,0,0
2019-09-20,orcl,2019,3,53.71,54.25,53.42,53.47,59791148.0,0,1,0
2019-09-19,orcl,2019,3,52.39,53.67,52.39,53.37,14924362.0,1,1,1
2019-09-18,orcl,2019,3,52.82,52.84,51.855,52.56,9091764.0,0,0,0
2019-09-17,orcl,2019,3,53.18,53.2,52.35,52.87,11476366.0,0,0,0
2019-09-16,orcl,2019,3,53.4,53.57,52.79,53.14,15202394.0,0,1,0
2019-09-13,orcl,2019,3,54.0,54.72,53.33,53.75,14736474.0,0,0,0
2019-09-12,orcl,2019,3,54.34,54.88,52.9,53.89,28180553.0,0,1,0
2019-09-11,orcl,2019,3,55.27,56.29,55.16,56.29,16550599.0,1,0,0
2019-09-10,orcl,2019,3,54.54,55.47,54.14,55.47,19976445.0,1,1,1
2019-09-09,orcl,2019,3,53.62,54.68,53.45,54.54,17674508.0,1,1,1
2019-09-06,orcl,2019,3,54.1,54.14,53.14,53.16,11635438.0,0,1,0
2019-09-05,orcl,2019,3,53.73,54.33,53.63,53.84,10414523.0,1,0,0
2019-09-04,orcl,2019,3,52.35,53.125,52.22,52.97,10558285.0,1,1,1
2019-09-03,orcl,2019,3,51.94,52.0,51.55,51.89,10127992.0,0,1,0
2019-08-30,orcl,2019,3,52.5,52.55,51.75,52.06,7919973.0,0,1,0
2019-08-29,orcl,2019,3,52.65,52.81,52.09,52.16,6857966.0,0,0,0
2019-08-28,orcl,2019,3,52.2,52.2,51.62,51.95,7498561.0,0,0,0
2019-08-27,orcl,2019,3,52.44,52.62,52.22,52.39,13853329.0,0,1,0
2019-08-26,orcl,2019,3,52.14,52.32,51.83,52.13,8582319.0,0,0,0
2019-08-23,orcl,2019,3,53.06,53.32,51.25,51.58,11374639.0,0,1,0
2019-08-22,orcl,2019,3,53.58,53.72,52.885,53.19,6744890.0,0,1,0
2019-08-21,orcl,2019,3,53.53,53.93,53.17,53.24,6113303.0,0,0,0
2019-08-20,orcl,2019,3,53.52,53.84,52.9,52.98,7577816.0,0,0,0
2019-08-19,orcl,2019,3,54.22,54.37,53.76,53.87,8273335.0,0,0,0
2019-08-16,orcl,2019,3,53.18,53.695,53.01,53.59,9913097.0,1,0,0
2019-08-15,orcl,2019,3,52.65,52.72,51.96,52.59,11257013.0,0,0,0
2019-08-14,orcl,2019,3,53.35,53.37,52.24,52.32,12489202.0,0,1,0
2019-08-13,orcl,2019,3,53.14,54.24,53.0,53.97,11447038.0,1,1,1
2019-08-12,orcl,2019,3,53.68,53.79,53.0,53.25,6171000.0,0,0,0
