date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,qcom,2019,4,87.99,88.77,87.88,88.23,5173531.0,1,0,0
2019-12-30,qcom,2019,4,88.71,88.78,87.31,88.43,6545516.0,0,1,0
2019-12-27,qcom,2019,4,88.9,88.95,88.09,88.8,5809692.0,0,1,0
2019-12-26,qcom,2019,4,88.92,88.96,87.9965,88.4,5072875.0,0,1,0
2019-12-24,qcom,2019,4,88.62,88.81,87.98,88.77,2435244.0,1,0,0
2019-12-23,qcom,2019,4,89.01,89.33,88.245,88.45,7277068.0,0,0,0
2019-12-20,qcom,2019,4,89.15,89.85,88.18,88.85,17593140.0,0,1,0
2019-12-19,qcom,2019,4,88.36,88.701,87.62,88.49,7802786.0,1,1,1
2019-12-18,qcom,2019,4,88.54,88.65,87.59,87.98,5869644.0,0,0,0
2019-12-17,qcom,2019,4,89.0,89.04,87.68,88.32,7487131.0,0,0,0
2019-12-16,qcom,2019,4,89.28,90.46,88.35,88.43,8719995.0,0,0,0
2019-12-13,qcom,2019,4,88.91,89.7,87.564,87.83,12270500.0,0,1,0
2019-12-12,qcom,2019,4,86.84,89.229,86.37,89.05,12174233.0,1,1,1
2019-12-11,qcom,2019,4,84.84,87.1,84.76,86.99,9577072.0,1,1,1
2019-12-10,qcom,2019,4,85.04,85.33,83.69,84.115,8085329.0,0,0,0
2019-12-09,qcom,2019,4,84.0,85.3,83.8401,84.92,8464304.0,1,1,1
2019-12-06,qcom,2019,4,83.45,84.25,83.42,83.82,6861714.0,1,1,1
2019-12-05,qcom,2019,4,82.65,83.4409,81.78,82.585,6362029.0,0,0,0
2019-12-04,qcom,2019,4,80.92,82.44,80.45,82.08,8478868.0,1,0,0
2019-12-03,qcom,2019,4,81.38,81.39,79.81,80.58,11241842.0,0,1,0
2019-12-02,qcom,2019,4,83.98,84.29,82.31,82.45,7677407.0,0,1,0
2019-11-29,qcom,2019,4,84.51,85.1,83.42,83.55,3882382.0,0,0,0
2019-11-27,qcom,2019,4,85.16,85.31,84.4713,84.8,5217649.0,0,0,0
2019-11-26,qcom,2019,4,85.25,85.545,84.14,84.63,11587629.0,0,1,0
2019-11-25,qcom,2019,4,85.76,86.29,85.08,85.29,8967364.0,0,1,0
2019-11-22,qcom,2019,4,85.29,85.82,84.53,84.89,6166677.0,0,0,0
2019-11-21,qcom,2019,4,84.79,86.3,84.55,85.11,10180379.0,1,0,0
2019-11-20,qcom,2019,4,87.82,88.36,85.31,85.62,13050440.0,0,0,0
2019-11-19,qcom,2019,4,91.25,91.39,86.68,87.96,18096637.0,0,1,0
2019-11-18,qcom,2019,4,90.81,91.975,89.28,90.48,10367010.0,0,0,0
2019-11-15,qcom,2019,4,92.6,93.94,90.5801,90.81,25491086.0,0,1,0
2019-11-14,qcom,2019,4,90.31,90.58,89.43,90.48,8794397.0,1,0,0
2019-11-13,qcom,2019,4,90.7,91.9,89.62,90.47,9519644.0,0,1,0
2019-11-12,qcom,2019,4,92.18,92.25,90.17,90.97,9335820.0,0,0,0
2019-11-11,qcom,2019,4,91.71,92.5244,90.89,91.84,11301319.0,1,0,0
2019-11-08,qcom,2019,4,89.98,94.11,89.6,94.03,16375239.0,1,0,0
2019-11-07,qcom,2019,4,89.83,92.5,88.32,89.98,30254016.0,1,1,1
2019-11-06,qcom,2019,4,85.34,85.605,84.2242,84.63,9755311.0,0,1,0
2019-11-05,qcom,2019,4,85.2,85.74,84.73,85.46,7280027.0,1,0,0
2019-11-04,qcom,2019,4,84.54,85.87,84.3082,85.09,8389196.0,1,0,0
2019-11-01,qcom,2019,4,81.59,83.65,81.25,83.58,8620326.0,1,1,1
2019-10-31,qcom,2019,4,81.44,81.47,79.84,80.44,5693660.0,0,1,0
2019-10-30,qcom,2019,4,82.1,82.2482,80.85,81.44,3970995.0,0,0,0
2019-10-29,qcom,2019,4,82.75,82.85,81.44,81.66,4993553.0,0,0,0
2019-10-28,qcom,2019,4,80.55,83.13,80.54,83.05,9750884.0,1,1,1
2019-10-25,qcom,2019,4,79.0,80.23,78.91,80.17,6712346.0,1,1,1
2019-10-24,qcom,2019,4,78.06,79.02,77.59,78.99,5422321.0,1,0,0
2019-10-23,qcom,2019,4,77.21,78.13,76.87,77.24,5937606.0,1,1,1
2019-10-22,qcom,2019,4,78.93,79.07,78.2405,78.47,5107829.0,0,0,0
2019-10-21,qcom,2019,4,78.38,79.09,78.01,78.98,5119811.0,1,0,0
2019-10-18,qcom,2019,4,78.62,79.22,77.6725,77.68,5866187.0,0,0,0
2019-10-17,qcom,2019,4,78.7,79.96,78.4,78.97,5923920.0,1,0,0
2019-10-16,qcom,2019,4,77.49,78.32,77.28,78.23,6366587.0,1,1,1
2019-10-15,qcom,2019,4,76.88,77.98,76.28,77.82,5241661.0,1,1,1
2019-10-14,qcom,2019,4,76.65,77.37,76.28,76.3,4660287.0,0,0,0
2019-10-11,qcom,2019,4,76.19,77.82,76.01,76.7,7398164.0,1,1,1
2019-10-10,qcom,2019,4,74.35,75.9656,74.17,74.97,6199401.0,1,1,1
2019-10-09,qcom,2019,4,73.91,74.8,73.56,74.35,5271440.0,1,0,0
2019-10-08,qcom,2019,4,75.52,75.82,72.81,72.85,9194400.0,0,1,0
2019-10-07,qcom,2019,4,77.01,77.55,76.27,76.34,4400559.0,0,0,0
2019-10-04,qcom,2019,4,76.32,77.56,75.84,77.49,4920357.0,1,0,0
2019-10-03,qcom,2019,4,73.93,75.83,73.16,75.73,5633505.0,1,0,0
2019-10-02,qcom,2019,4,75.26,75.71,73.77,73.99,6288051.0,0,0,0
2019-10-01,qcom,2019,4,77.06,78.06,74.97,75.47,7049574.0,0,1,0
2019-09-30,qcom,2019,3,76.89,76.95,76.02,76.28,5286277.0,0,1,0
2019-09-27,qcom,2019,3,77.01,78.2,76.21,76.63,5013911.0,0,1,0
2019-09-26,qcom,2019,3,77.16,77.69,75.94,77.35,3803609.0,1,0,0
2019-09-25,qcom,2019,3,75.03,77.49,74.88,77.26,5700037.0,1,0,0
2019-09-24,qcom,2019,3,78.08,78.3,74.63,75.23,10446113.0,0,1,0
2019-09-23,qcom,2019,3,76.67,77.91,76.0564,77.24,6264899.0,1,0,0
2019-09-20,qcom,2019,3,78.2,78.7,76.17,76.44,9502747.0,0,1,0
2019-09-19,qcom,2019,3,79.24,80.0,78.21,78.23,5451003.0,0,1,0
2019-09-18,qcom,2019,3,78.69,79.07,77.64,78.9,5197751.0,1,1,1
2019-09-17,qcom,2019,3,77.61,78.79,77.51,78.69,4436415.0,1,1,1
2019-09-16,qcom,2019,3,77.5,78.485,76.91,78.04,3756484.0,1,0,0
2019-09-13,qcom,2019,3,79.18,79.535,78.37,78.41,5343695.0,0,0,0
2019-09-12,qcom,2019,3,80.05,80.05,78.58,79.08,5847092.0,0,0,0
2019-09-11,qcom,2019,3,78.17,79.905,78.12,79.9,6575726.0,1,0,0
2019-09-10,qcom,2019,3,78.03,78.875,77.34,78.71,9373881.0,1,1,1
2019-09-09,qcom,2019,3,79.04,79.45,77.968,78.21,6885162.0,0,1,0
2019-09-06,qcom,2019,3,78.96,79.079,78.44,78.84,5127957.0,0,0,0
2019-09-05,qcom,2019,3,77.89,80.44,77.89,78.99,13480665.0,1,1,1
2019-09-04,qcom,2019,3,75.99,77.12,75.63,77.09,4923888.0,1,0,0
2019-09-03,qcom,2019,3,76.77,76.99,74.7,75.12,7580872.0,0,0,0
2019-08-30,qcom,2019,3,77.18,78.05,77.0,77.77,8465646.0,1,1,1
