date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,tgt,2019,4,128.4,128.97,127.3655,128.21,4059788.0,0,1,0
2019-12-30,tgt,2019,4,129.0,129.95,128.41,128.89,2546510.0,0,1,0
2019-12-27,tgt,2019,4,129.0,129.23,128.23,129.21,2233596.0,1,1,1
2019-12-26,tgt,2019,4,129.13,129.4025,127.93,128.89,2197943.0,0,1,0
2019-12-24,tgt,2019,4,128.9,128.9,127.95,128.55,1643404.0,0,0,0
2019-12-23,tgt,2019,4,129.47,129.54,128.01,128.34,4051789.0,0,0,0
2019-12-20,tgt,2019,4,129.45,130.24,128.5,129.15,6224894.0,0,1,0
2019-12-19,tgt,2019,4,127.72,128.98,127.37,128.7,3292683.0,1,0,0
2019-12-18,tgt,2019,4,128.51,129.08,127.75,128.08,3940228.0,0,0,0
2019-12-17,tgt,2019,4,126.47,128.91,126.0,128.38,5617312.0,1,1,1
2019-12-16,tgt,2019,4,127.79,128.0,125.96,125.96,4487992.0,0,1,0
2019-12-13,tgt,2019,4,126.72,127.43,126.1667,127.22,2970010.0,1,0,0
2019-12-12,tgt,2019,4,125.66,127.86,125.13,127.52,3675937.0,1,1,1
2019-12-11,tgt,2019,4,125.4,125.89,124.73,125.8,2724476.0,1,0,0
2019-12-10,tgt,2019,4,126.09,126.57,125.32,125.77,3573768.0,0,1,0
2019-12-09,tgt,2019,4,124.98,127.18,124.9026,126.45,3508735.0,1,0,0
2019-12-06,tgt,2019,4,125.17,126.4,124.86,125.03,4305326.0,0,1,0
2019-12-05,tgt,2019,4,125.06,125.33,123.65,124.68,2614114.0,0,0,0
2019-12-04,tgt,2019,4,125.01,125.53,124.3,124.52,3935205.0,0,0,0
2019-12-03,tgt,2019,4,122.6,124.58,122.33,124.04,4268924.0,1,1,1
2019-12-02,tgt,2019,4,125.7,126.2,123.91,123.98,4194212.0,0,1,0
2019-11-29,tgt,2019,4,126.0,126.78,124.95,125.01,2659996.0,0,0,0
2019-11-27,tgt,2019,4,127.15,127.15,125.76,125.9,3430445.0,0,0,0
2019-11-26,tgt,2019,4,125.26,127.84,125.0,126.89,7585170.0,1,0,0
2019-11-25,tgt,2019,4,127.26,127.49,125.08,125.19,8365259.0,0,1,0
2019-11-22,tgt,2019,4,127.88,127.95,126.28,127.02,7535333.0,0,0,0
2019-11-21,tgt,2019,4,126.58,127.97,125.71,127.65,10795685.0,1,0,0
2019-11-20,tgt,2019,4,122.295,127.2,118.36,126.43,32363557.0,1,1,1
2019-11-19,tgt,2019,4,110.41,111.1,109.35,110.85,7369079.0,1,1,1
2019-11-18,tgt,2019,4,113.83,114.2562,111.86,111.96,6897649.0,0,1,0
2019-11-15,tgt,2019,4,112.05,113.68,111.33,113.21,5335862.0,1,0,0
2019-11-14,tgt,2019,4,110.71,111.25,109.5643,111.11,5968302.0,1,1,1
2019-11-13,tgt,2019,4,108.63,109.23,107.02,108.58,3903256.0,0,0,0
2019-11-12,tgt,2019,4,110.22,110.28,107.91,108.35,5429525.0,0,1,0
2019-11-11,tgt,2019,4,110.63,110.86,109.76,110.45,3082746.0,0,1,0
2019-11-08,tgt,2019,4,110.56,110.98,109.4161,110.15,2805408.0,0,0,0
2019-11-07,tgt,2019,4,111.62,111.86,110.34,110.59,3493426.0,0,1,0
2019-11-06,tgt,2019,4,109.89,110.6,109.34,110.51,3233716.0,1,0,0
2019-11-05,tgt,2019,4,108.97,110.4174,108.83,110.06,3290216.0,1,1,1
2019-11-04,tgt,2019,4,108.5,109.16,108.21,108.77,3192971.0,1,1,1
2019-11-01,tgt,2019,4,108.06,108.365,107.43,107.82,3103572.0,0,0,0
2019-10-31,tgt,2019,4,107.65,107.93,105.91,106.91,6464935.0,0,1,0
2019-10-30,tgt,2019,4,108.02,108.77,107.22,107.93,3567593.0,0,1,0
2019-10-29,tgt,2019,4,109.26,109.58,107.93,108.15,3004486.0,0,0,0
2019-10-28,tgt,2019,4,109.17,110.48,109.02,109.72,4447790.0,1,0,0
2019-10-25,tgt,2019,4,109.92,109.99,108.53,109.02,5659200.0,0,1,0
2019-10-24,tgt,2019,4,111.83,112.0,110.015,110.25,4122214.0,0,0,0
2019-10-23,tgt,2019,4,113.19,113.19,110.72,111.36,5193570.0,0,1,0
2019-10-22,tgt,2019,4,113.95,114.83,113.06,113.19,3514603.0,0,1,0
2019-10-21,tgt,2019,4,113.32,113.81,112.74,113.68,3037732.0,1,0,0
2019-10-18,tgt,2019,4,112.86,113.74,112.3989,112.81,3887695.0,0,0,0
2019-10-17,tgt,2019,4,112.41,113.71,112.34,113.23,4115616.0,1,1,1
2019-10-16,tgt,2019,4,111.79,112.21,111.18,112.19,2340192.0,1,0,0
2019-10-15,tgt,2019,4,111.56,112.3,111.34,111.89,2717961.0,1,1,1
2019-10-14,tgt,2019,4,111.85,112.23,110.95,111.15,2422448.0,0,0,0
2019-10-11,tgt,2019,4,111.85,112.94,111.21,111.83,4581116.0,0,1,0
2019-10-10,tgt,2019,4,109.56,110.59,109.09,110.57,3704765.0,1,0,0
2019-10-09,tgt,2019,4,109.92,111.245,109.5317,110.36,5863958.0,1,1,1
2019-10-08,tgt,2019,4,107.93,110.03,107.04,108.52,4809339.0,1,1,1
2019-10-07,tgt,2019,4,108.66,108.85,107.14,107.95,3869889.0,0,0,0
2019-10-04,tgt,2019,4,106.77,109.265,106.54,109.1,4128350.0,1,0,0
2019-10-03,tgt,2019,4,105.23,106.7,104.39,106.62,4279291.0,1,0,0
2019-10-02,tgt,2019,4,104.9,105.96,104.01,105.16,5825614.0,1,1,1
2019-10-01,tgt,2019,4,107.33,108.14,105.856,105.94,3570212.0,0,0,0
2019-09-30,tgt,2019,3,106.67,107.39,106.42,106.91,3652898.0,1,1,1
2019-09-27,tgt,2019,3,105.95,106.81,105.53,106.12,3188599.0,1,0,0
2019-09-26,tgt,2019,3,106.9,107.4,104.68,106.29,5361580.0,0,1,0
2019-09-25,tgt,2019,3,107.07,108.13,106.62,106.8,3956818.0,0,0,0
2019-09-24,tgt,2019,3,110.2,110.2,107.08,107.45,5414500.0,0,0,0
2019-09-23,tgt,2019,3,107.42,110.41,107.21,108.78,5624477.0,1,1,1
2019-09-20,tgt,2019,3,108.31,108.55,106.6,106.67,4233547.0,0,1,0
2019-09-19,tgt,2019,3,108.55,108.74,106.88,107.87,2948766.0,0,0,0
2019-09-18,tgt,2019,3,107.12,107.69,106.01,106.97,2967441.0,0,0,0
2019-09-17,tgt,2019,3,106.63,107.46,106.18,107.28,4334181.0,1,0,0
2019-09-16,tgt,2019,3,107.25,107.94,106.3,106.96,4642498.0,0,1,0
2019-09-13,tgt,2019,3,109.07,109.17,107.83,107.99,2508150.0,0,0,0
2019-09-12,tgt,2019,3,109.43,109.72,108.55,108.94,3185334.0,0,0,0
2019-09-11,tgt,2019,3,108.7,109.51,107.8939,108.97,3700754.0,1,0,0
2019-09-10,tgt,2019,3,107.41,108.83,106.84,108.83,3947371.0,1,0,0
2019-09-09,tgt,2019,3,109.6,110.27,107.52,107.95,5003585.0,0,0,0
2019-09-06,tgt,2019,3,108.95,110.94,108.8,109.85,5270400.0,1,1,1
2019-09-05,tgt,2019,3,109.24,109.4,108.22,108.54,4144274.0,0,1,0
2019-09-04,tgt,2019,3,107.0,107.915,106.81,107.36,3962690.0,1,0,0
2019-09-03,tgt,2019,3,106.77,107.48,106.01,106.71,3992065.0,0,0,0
2019-08-30,tgt,2019,3,108.5,109.33,106.83,107.04,5308902.0,0,1,0
2019-08-29,tgt,2019,3,107.99,108.55,106.93,107.93,5197763.0,0,0,0
2019-08-28,tgt,2019,3,104.67,106.72,104.5,106.4,6636675.0,1,1,1
2019-08-27,tgt,2019,3,105.01,105.1,104.2636,104.7,5320181.0,0,0,0
2019-08-26,tgt,2019,3,104.91,105.735,103.77,104.77,5584212.0,0,0,0
2019-08-23,tgt,2019,3,104.77,105.94,103.25,103.49,8998636.0,0,0,0
2019-08-22,tgt,2019,3,105.39,106.52,103.38,106.32,17113267.0,1,0,0
2019-08-21,tgt,2019,3,99.87,103.38,98.13,103.0,41478385.0,1,1,1
2019-08-20,tgt,2019,3,86.23,87.12,85.53,85.53,8826659.0,0,1,0
2019-08-19,tgt,2019,3,86.5,86.88,85.71,86.58,7353752.0,1,1,1
2019-08-16,tgt,2019,3,83.3,84.46,83.17,84.21,4861051.0,1,0,0
2019-08-15,tgt,2019,3,83.36,84.05,82.01,82.56,5388999.0,0,0,0
2019-08-14,tgt,2019,3,81.86,83.22,81.15,81.89,7011543.0,1,0,0
2019-08-13,tgt,2019,3,81.6,86.64,81.21,84.24,8434160.0,1,1,1
2019-08-12,tgt,2019,3,81.32,82.15,81.05,82.03,6151683.0,1,1,1
2019-08-09,tgt,2019,3,83.5,84.3661,82.05,82.41,4966336.0,0,1,0
