date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,unh,2019,4,293.66,294.09,291.15,293.98,2224187.0,1,1,1
2019-12-30,unh,2019,4,296.05,296.54,293.45,293.85,1511688.0,0,0,0
2019-12-27,unh,2019,4,296.01,296.54,295.0142,295.97,1547073.0,0,1,0
2019-12-26,unh,2019,4,295.3,296.26,294.54,295.65,1050578.0,1,1,1
2019-12-24,unh,2019,4,295.26,295.83,293.56,294.54,714032.0,0,0,0
2019-12-23,unh,2019,4,293.43,295.845,292.81,295.09,2098935.0,1,0,0
2019-12-20,unh,2019,4,298.9,300.0,292.51,292.59,6606636.0,0,1,0
2019-12-19,unh,2019,4,295.0,297.2,293.62,294.62,2905870.0,0,0,0
2019-12-18,unh,2019,4,291.0,294.86,290.99,292.9,3535608.0,1,0,0
2019-12-17,unh,2019,4,291.24,292.7775,289.17,290.47,4409072.0,0,0,0
2019-12-16,unh,2019,4,287.97,295.4393,287.06,292.03,4663327.0,1,1,1
2019-12-13,unh,2019,4,284.97,287.81,284.12,285.48,3599254.0,1,1,1
2019-12-12,unh,2019,4,281.03,283.99,280.04,283.61,2995769.0,1,1,1
2019-12-11,unh,2019,4,278.3,280.66,278.03,280.5,2546407.0,1,1,1
2019-12-10,unh,2019,4,277.6,279.6,274.01,279.52,2515210.0,1,0,0
2019-12-09,unh,2019,4,280.77,280.87,277.42,277.54,2697049.0,0,0,0
2019-12-06,unh,2019,4,282.84,283.04,279.1139,280.19,2828890.0,0,0,0
2019-12-05,unh,2019,4,279.24,282.82,277.44,282.0,3357292.0,1,1,1
2019-12-04,unh,2019,4,281.62,281.84,278.6401,279.32,2694083.0,0,0,0
2019-12-03,unh,2019,4,276.97,278.42,273.85,276.9,3256979.0,0,1,0
2019-12-02,unh,2019,4,281.78,282.0,278.5671,279.66,2517060.0,0,1,0
2019-11-29,unh,2019,4,278.1,280.92,277.33,279.87,1520936.0,1,0,0
2019-11-27,unh,2019,4,281.01,281.93,278.69,280.67,2323945.0,0,0,0
2019-11-26,unh,2019,4,280.71,282.25,280.16,281.4,3000164.0,1,0,0
2019-11-25,unh,2019,4,277.78,283.0,277.01,282.67,4082902.0,1,1,1
2019-11-22,unh,2019,4,276.53,277.77,275.0,276.84,2802656.0,1,0,0
2019-11-21,unh,2019,4,275.22,277.679,273.91,276.55,3309835.0,1,0,0
2019-11-20,unh,2019,4,272.25,276.03,271.24,275.56,4141566.0,1,1,1
2019-11-19,unh,2019,4,275.24,275.36,271.55,274.23,3996075.0,0,0,0
2019-11-18,unh,2019,4,269.0,278.45,269.0,272.93,6985184.0,1,0,0
2019-11-15,unh,2019,4,256.11,275.57,255.36,269.4,10135764.0,1,1,1
2019-11-14,unh,2019,4,253.8,256.08,253.47,255.83,2101895.0,1,0,0
2019-11-13,unh,2019,4,254.87,256.88,253.19,253.57,3423640.0,0,1,0
2019-11-12,unh,2019,4,253.59,255.76,253.41,255.25,1892490.0,1,1,1
2019-11-11,unh,2019,4,255.05,256.46,253.33,254.09,1753781.0,0,0,0
2019-11-08,unh,2019,4,256.77,258.34,255.0,256.97,2200245.0,1,0,0
2019-11-07,unh,2019,4,251.95,256.75,251.26,256.46,3643880.0,1,0,0
2019-11-06,unh,2019,4,249.71,251.99,249.09,250.52,3667273.0,1,0,0
2019-11-05,unh,2019,4,253.74,254.2718,250.09,250.3,5391566.0,0,1,0
2019-11-04,unh,2019,4,253.63,253.83,249.91,251.25,3185927.0,0,1,0
