date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,ups,2019,4,116.04,117.09,115.5707,117.06,2875138.0,1,1,1
2019-12-30,ups,2019,4,119.22,119.22,116.25,116.44,2430406.0,0,1,0
2019-12-27,ups,2019,4,119.45,119.49,118.57,118.94,1419499.0,0,1,0
2019-12-26,ups,2019,4,119.09,119.23,118.6,119.04,1274586.0,0,1,0
2019-12-24,ups,2019,4,117.43,118.36,117.34,118.33,872025.0,1,0,0
2019-12-23,ups,2019,4,118.23,119.4195,117.56,118.94,2047463.0,1,0,0
2019-12-20,ups,2019,4,119.89,119.89,117.33,117.4,6945032.0,0,1,0
2019-12-19,ups,2019,4,118.36,119.56,118.27,118.56,3200950.0,1,0,0
2019-12-18,ups,2019,4,118.54,118.75,117.05,117.95,4957461.0,0,1,0
2019-12-17,ups,2019,4,120.03,121.32,119.545,120.29,2804704.0,1,0,0
2019-12-16,ups,2019,4,119.12,119.93,118.74,119.12,2978134.0,0,1,0
2019-12-13,ups,2019,4,118.03,119.63,117.8,118.62,2968129.0,1,0,0
2019-12-12,ups,2019,4,115.18,117.55,114.78,116.95,4320625.0,1,1,1
2019-12-11,ups,2019,4,118.54,118.54,116.76,116.79,3300158.0,0,1,0
2019-12-10,ups,2019,4,118.13,119.37,117.815,118.54,2438808.0,1,1,1
2019-12-09,ups,2019,4,117.0,118.355,116.56,118.14,1974127.0,1,0,0
2019-12-06,ups,2019,4,116.0,117.85,116.0,117.53,2762684.0,1,0,0
2019-12-05,ups,2019,4,116.08,116.4,114.25,115.01,4889428.0,0,1,0
2019-12-04,ups,2019,4,117.22,118.23,116.38,116.47,2202172.0,0,1,0
2019-12-03,ups,2019,4,116.83,117.395,115.72,116.93,2139761.0,1,0,0
2019-12-02,ups,2019,4,120.09,120.66,118.15,118.22,2438321.0,0,1,0
2019-11-29,ups,2019,4,120.02,120.25,119.62,119.73,1372003.0,0,0,0
2019-11-27,ups,2019,4,121.44,121.7,119.75,119.87,1862665.0,0,0,0
2019-11-26,ups,2019,4,120.37,121.68,119.9101,121.2,2888356.0,1,1,1
2019-11-25,ups,2019,4,119.84,120.4,119.25,120.3,2460349.0,1,0,0
2019-11-22,ups,2019,4,119.96,121.11,119.06,119.32,2597820.0,0,1,0
2019-11-21,ups,2019,4,118.79,119.71,118.7,119.52,1923922.0,1,0,0
2019-11-20,ups,2019,4,120.2,120.32,118.83,119.01,2904554.0,0,0,0
2019-11-19,ups,2019,4,123.46,123.54,120.23,120.54,3642567.0,0,1,0
2019-11-18,ups,2019,4,123.53,123.75,122.555,122.77,1772728.0,0,0,0
2019-11-15,ups,2019,4,123.54,124.02,123.05,123.73,1891022.0,1,1,1
2019-11-14,ups,2019,4,122.74,124.23,122.74,124.08,1580437.0,1,0,0
2019-11-13,ups,2019,4,122.62,123.46,122.03,123.02,1614625.0,1,1,1
2019-11-12,ups,2019,4,123.0,123.675,122.62,123.01,1555577.0,1,1,1
2019-11-11,ups,2019,4,123.41,123.76,122.74,123.14,1318719.0,0,0,0
2019-11-08,ups,2019,4,123.52,125.31,123.51,124.3,2310715.0,1,0,0
2019-11-07,ups,2019,4,122.35,124.66,122.02,123.49,3156082.0,1,1,1
2019-11-06,ups,2019,4,121.38,121.95,120.74,121.95,2820159.0,1,0,0
2019-11-05,ups,2019,4,123.32,123.78,121.275,121.39,3116404.0,0,0,0
2019-11-04,ups,2019,4,120.0,123.1,120.0,123.02,4229780.0,1,1,1
2019-11-01,ups,2019,4,116.46,119.58,116.11,119.51,4170123.0,1,1,1
2019-10-31,ups,2019,4,116.04,116.88,114.51,115.17,2954249.0,0,1,0
2019-10-30,ups,2019,4,116.87,117.0,115.08,116.88,2417329.0,1,0,0
2019-10-29,ups,2019,4,116.64,117.64,116.295,116.91,2867255.0,1,1,1
2019-10-28,ups,2019,4,116.08,117.28,115.98,116.25,1730368.0,1,0,0
2019-10-25,ups,2019,4,114.0,115.97,113.87,115.72,2704037.0,1,0,0
2019-10-24,ups,2019,4,114.8,115.5,113.42,114.01,2978927.0,0,0,0
2019-10-23,ups,2019,4,115.4,116.07,114.66,115.15,3672323.0,0,0,0
2019-10-22,ups,2019,4,115.83,116.56,111.78,116.1,8328528.0,1,1,1
2019-10-21,ups,2019,4,117.7,119.25,117.6,118.52,3295217.0,1,1,1
2019-10-18,ups,2019,4,118.44,118.64,117.03,117.35,2720563.0,0,1,0
2019-10-17,ups,2019,4,117.81,118.9195,117.67,118.39,2223672.0,1,0,0
2019-10-16,ups,2019,4,116.15,117.54,116.15,117.5,2260764.0,1,0,0
2019-10-15,ups,2019,4,116.09,118.155,115.83,116.48,2642893.0,1,1,1
2019-10-14,ups,2019,4,115.94,116.67,115.51,115.87,1963531.0,0,0,0
2019-10-11,ups,2019,4,116.88,117.98,115.89,116.02,3092232.0,0,1,0
2019-10-10,ups,2019,4,114.04,115.43,113.82,115.28,2220947.0,1,0,0
2019-10-09,ups,2019,4,114.0,114.5,113.1545,113.86,2555513.0,0,0,0
2019-10-08,ups,2019,4,114.41,114.41,112.4401,112.74,3475150.0,0,1,0
2019-10-07,ups,2019,4,116.7,117.03,115.43,115.57,2878107.0,0,1,0
2019-10-04,ups,2019,4,116.14,117.6,115.93,117.49,2333951.0,1,0,0
2019-10-03,ups,2019,4,115.4,116.47,114.01,115.9,3055356.0,1,0,0
2019-10-02,ups,2019,4,114.89,115.98,114.341,115.24,3933819.0,1,0,0
2019-10-01,ups,2019,4,120.25,120.7,114.845,115.81,4320012.0,0,1,0
2019-09-30,ups,2019,3,119.31,120.0,118.9947,119.82,2775274.0,1,1,1
2019-09-27,ups,2019,3,119.0,119.5,118.33,118.95,2455967.0,0,1,0
2019-09-26,ups,2019,3,119.0,119.0,117.66,118.45,2011239.0,0,0,0
2019-09-25,ups,2019,3,118.23,119.9,117.95,119.05,3203717.0,1,0,0
2019-09-24,ups,2019,3,119.22,119.97,117.43,117.99,3220214.0,0,1,0
2019-09-23,ups,2019,3,119.8,120.89,118.91,119.05,3073021.0,0,0,0
2019-09-20,ups,2019,3,119.83,120.92,119.27,120.7,5324031.0,1,1,1
2019-09-19,ups,2019,3,120.61,120.76,118.9,119.12,3748797.0,0,0,0
2019-09-18,ups,2019,3,119.12,121.3,118.72,121.04,4118343.0,1,1,1
2019-09-17,ups,2019,3,121.72,122.52,121.06,122.39,2037050.0,1,0,0
2019-09-16,ups,2019,3,122.06,122.96,121.4,122.57,2249892.0,1,0,0
2019-09-13,ups,2019,3,123.19,123.45,122.33,122.67,3107251.0,0,1,0
2019-09-12,ups,2019,3,122.82,123.63,121.8196,122.56,2224434.0,0,0,0
2019-09-11,ups,2019,3,122.43,122.9,121.21,122.85,2435451.0,1,0,0
2019-09-10,ups,2019,3,121.2,122.47,120.77,122.4,3070244.0,1,1,1
2019-09-09,ups,2019,3,121.0,122.19,120.276,121.66,2879680.0,1,1,1
2019-09-06,ups,2019,3,121.52,121.89,119.76,120.08,2116258.0,0,0,0
2019-09-05,ups,2019,3,120.12,122.54,120.0,121.2,2854551.0,1,1,1
2019-09-04,ups,2019,3,118.57,119.94,118.44,119.47,2732909.0,1,1,1
2019-09-03,ups,2019,3,117.66,118.38,116.19,117.33,1981834.0,0,0,0
2019-08-30,ups,2019,3,119.59,119.85,118.54,118.66,2209665.0,0,0,0
2019-08-29,ups,2019,3,117.81,119.51,117.34,118.37,2709158.0,1,1,1
2019-08-28,ups,2019,3,113.87,116.79,113.34,116.33,2607193.0,1,0,0
2019-08-27,ups,2019,3,114.67,115.0,113.46,114.13,2884007.0,0,0,0
2019-08-26,ups,2019,3,113.04,114.75,112.54,114.36,3215766.0,1,0,0
2019-08-23,ups,2019,3,114.33,114.65,110.51,111.28,4375816.0,0,1,0
2019-08-22,ups,2019,3,116.34,116.94,114.11,115.22,3004990.0,0,1,0
2019-08-21,ups,2019,3,116.32,116.6,115.31,115.93,1906901.0,0,0,0
2019-08-20,ups,2019,3,116.25,116.48,114.96,115.04,2600100.0,0,1,0
2019-08-19,ups,2019,3,116.68,117.5,116.26,116.79,2382803.0,1,0,0
2019-08-16,ups,2019,3,113.9,115.43,113.9,115.3,2723321.0,1,0,0
2019-08-15,ups,2019,3,114.7,114.83,112.71,113.9,3697978.0,0,0,0
2019-08-14,ups,2019,3,114.76,115.35,113.9,114.04,3775794.0,0,1,0
2019-08-13,ups,2019,3,114.4,117.93,114.25,115.83,2817409.0,1,1,1
2019-08-12,ups,2019,3,115.13,115.94,114.46,114.89,1620518.0,0,0,0
2019-08-09,ups,2019,3,117.25,117.44,115.44,115.75,2113845.0,0,0,0
2019-08-08,ups,2019,3,116.54,117.7983,116.25,117.55,2349065.0,1,0,0
2019-08-07,ups,2019,3,113.64,115.56,112.22,115.41,3529419.0,1,0,0
2019-08-06,ups,2019,3,115.61,115.93,113.59,115.0,4875246.0,0,1,0
2019-08-05,ups,2019,3,115.48,115.7186,113.63,114.85,4332869.0,0,1,0
2019-08-02,ups,2019,3,116.65,118.09,116.3,117.2,3669333.0,1,0,0
2019-08-01,ups,2019,3,118.87,120.77,116.57,116.98,5106866.0,0,1,0
2019-07-31,ups,2019,3,119.65,121.2,118.185,119.47,4859498.0,0,1,0
2019-07-30,ups,2019,3,117.68,120.578,117.16,119.81,3265877.0,1,0,0
2019-07-29,ups,2019,3,119.38,119.8,118.1,118.75,4171063.0,0,0,0
2019-07-26,ups,2019,3,117.4801,121.3,117.44,120.58,8526543.0,1,0,0
2019-07-25,ups,2019,3,115.3,118.29,114.88,118.25,8941646.0,1,0,0
2019-07-24,ups,2019,3,110.07,115.05,109.61,114.39,12086009.0,1,1,1
2019-07-23,ups,2019,3,104.48,105.31,104.01,105.27,3362331.0,1,1,1
2019-07-22,ups,2019,3,103.91,104.46,103.64,104.01,2495483.0,1,0,0
2019-07-19,ups,2019,3,103.21,104.8292,103.16,103.31,3011846.0,1,1,1
2019-07-18,ups,2019,3,101.91,102.96,101.819,102.8,2359035.0,1,0,0
2019-07-17,ups,2019,3,105.08,105.08,102.0853,102.23,3672351.0,0,1,0
2019-07-16,ups,2019,3,106.25,107.53,105.56,105.61,2958355.0,0,1,0
