date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,utx,2019,4,149.79,150.21,149.1,149.76,2030865.0,0,1,0
2019-12-30,utx,2019,4,150.44,150.8,149.58,149.88,1683194.0,0,0,0
2019-12-27,utx,2019,4,151.0,151.07,150.05,150.28,1842706.0,0,1,0
2019-12-26,utx,2019,4,149.95,150.76,149.75,150.71,1404247.0,1,1,1
2019-12-24,utx,2019,4,150.07,150.32,149.44,149.57,1004890.0,0,0,0
2019-12-23,utx,2019,4,149.96,150.5511,149.56,149.82,2744695.0,0,0,0
2019-12-20,utx,2019,4,150.9,150.9,149.1998,149.49,4564310.0,0,1,0
2019-12-19,utx,2019,4,148.31,149.16,147.2,148.71,2992633.0,1,0,0
2019-12-18,utx,2019,4,148.1,148.61,147.19,147.71,3799223.0,0,1,0
2019-12-17,utx,2019,4,149.2,149.38,147.95,148.62,3624413.0,0,1,0
2019-12-16,utx,2019,4,149.73,150.67,149.11,149.46,3248883.0,0,1,0
2019-12-13,utx,2019,4,148.27,150.15,148.27,149.07,2368120.0,1,0,0
2019-12-12,utx,2019,4,147.9,149.64,147.18,149.41,2723312.0,1,1,1
2019-12-11,utx,2019,4,146.58,147.37,145.99,147.27,2122258.0,1,0,0
2019-12-10,utx,2019,4,145.77,146.0,145.35,145.37,2672578.0,0,1,0
2019-12-09,utx,2019,4,146.9,147.35,146.145,146.22,1512337.0,0,0,0
2019-12-06,utx,2019,4,147.14,147.39,146.21,146.99,2607874.0,0,1,0
2019-12-05,utx,2019,4,145.49,145.57,144.41,145.26,2341529.0,0,0,0
2019-12-04,utx,2019,4,144.94,145.87,144.3,144.52,3039121.0,0,0,0
2019-12-03,utx,2019,4,143.93,144.2,142.78,143.73,3872753.0,0,1,0
2019-12-02,utx,2019,4,148.39,148.6114,144.88,144.99,3852731.0,0,1,0
2019-11-29,utx,2019,4,148.53,148.606,147.5,148.34,991512.0,0,0,0
2019-11-27,utx,2019,4,148.38,149.05,147.6884,148.82,1511312.0,1,0,0
2019-11-26,utx,2019,4,147.7,148.62,147.4,148.12,3601406.0,1,1,1
2019-11-25,utx,2019,4,148.56,148.74,147.2,147.52,2402974.0,0,1,0
2019-11-22,utx,2019,4,148.25,148.53,147.18,147.7,2381050.0,0,1,0
2019-11-21,utx,2019,4,146.64,147.95,146.3,147.3,2348058.0,1,0,0
2019-11-20,utx,2019,4,148.01,148.58,146.09,146.65,2645945.0,0,0,0
2019-11-19,utx,2019,4,149.62,149.65,148.35,148.37,2829343.0,0,1,0
2019-11-18,utx,2019,4,149.11,149.276,148.44,149.11,1855838.0,0,0,0
2019-11-15,utx,2019,4,148.28,149.81,148.25,149.36,1989116.0,1,1,1
2019-11-14,utx,2019,4,147.45,148.44,147.45,148.11,1735412.0,1,0,0
2019-11-13,utx,2019,4,147.88,148.51,147.43,148.31,1848402.0,1,1,1
2019-11-12,utx,2019,4,148.4,149.04,148.0,148.39,1612552.0,0,1,0
2019-11-11,utx,2019,4,148.0,148.615,147.5273,148.22,1473376.0,1,0,0
2019-11-08,utx,2019,4,147.47,149.02,147.3301,148.88,1700212.0,1,0,0
2019-11-07,utx,2019,4,148.82,149.35,148.45,148.73,2773495.0,0,0,0
2019-11-06,utx,2019,4,147.82,148.38,147.13,148.31,3156521.0,1,0,0
2019-11-05,utx,2019,4,147.66,148.565,146.7,147.85,4059933.0,1,0,0
2019-11-04,utx,2019,4,147.49,147.99,146.4,147.51,4332520.0,1,1,1
2019-11-01,utx,2019,4,144.39,146.79,144.3366,146.68,4055565.0,1,1,1
2019-10-31,utx,2019,4,143.44,143.84,142.67,143.58,3053893.0,1,1,1
2019-10-30,utx,2019,4,142.25,144.27,142.0,143.84,2542560.0,1,0,0
2019-10-29,utx,2019,4,142.45,143.51,141.73,142.0,3553976.0,0,1,0
2019-10-28,utx,2019,4,143.27,144.625,142.3101,143.04,2374460.0,0,0,0
2019-10-25,utx,2019,4,143.35,144.2,142.81,142.96,3193275.0,0,0,0
2019-10-24,utx,2019,4,140.5,143.84,140.03,143.44,4567124.0,1,1,1
2019-10-23,utx,2019,4,140.83,141.44,139.21,139.91,3355583.0,0,0,0
2019-10-22,utx,2019,4,140.82,142.24,138.93,141.41,6664196.0,1,1,1
2019-10-21,utx,2019,4,138.17,139.0,137.74,138.35,3762576.0,1,1,1
2019-10-18,utx,2019,4,138.23,138.44,136.51,136.8,3406746.0,0,1,0
2019-10-17,utx,2019,4,137.3,138.74,137.17,138.17,2668179.0,1,1,1
2019-10-16,utx,2019,4,135.94,137.22,135.67,136.71,2104438.0,1,0,0
2019-10-15,utx,2019,4,136.27,137.72,136.14,136.15,2495696.0,0,1,0
2019-10-14,utx,2019,4,136.0,136.45,135.33,135.92,1691281.0,0,0,0
2019-10-11,utx,2019,4,135.07,137.19,135.0,136.15,3052427.0,1,1,1
2019-10-10,utx,2019,4,131.9,134.06,131.3,133.92,2408867.0,1,0,0
2019-10-09,utx,2019,4,131.7,132.64,131.12,131.96,2440528.0,1,0,0
2019-10-08,utx,2019,4,131.33,132.39,130.34,130.79,2649046.0,0,1,0
2019-10-07,utx,2019,4,132.79,133.96,132.13,132.69,1705003.0,0,0,0
2019-10-04,utx,2019,4,131.29,133.31,130.95,133.21,1909160.0,1,0,0
2019-10-03,utx,2019,4,130.76,131.33,128.63,131.21,2963099.0,1,0,0
2019-10-02,utx,2019,4,132.83,133.0,129.82,130.47,3279786.0,0,0,0
2019-10-01,utx,2019,4,136.94,137.69,133.2067,133.79,3505301.0,0,1,0
2019-09-30,utx,2019,3,137.15,137.19,136.17,136.52,2650544.0,0,1,0
2019-09-27,utx,2019,3,138.03,138.24,136.19,136.39,2136785.0,0,0,0
2019-09-26,utx,2019,3,136.76,138.29,136.51,137.53,2709931.0,1,1,1
2019-09-25,utx,2019,3,135.94,137.15,135.14,136.83,2127098.0,1,0,0
2019-09-24,utx,2019,3,136.04,136.2,134.66,135.48,2853913.0,0,1,0
2019-09-23,utx,2019,3,134.41,136.13,134.1012,135.67,2647106.0,1,0,0
2019-09-20,utx,2019,3,137.6,138.46,135.56,135.57,5336857.0,0,1,0
2019-09-19,utx,2019,3,137.94,138.02,136.81,137.53,2194748.0,0,1,0
2019-09-18,utx,2019,3,136.92,137.79,135.9547,137.66,1761475.0,1,0,0
2019-09-17,utx,2019,3,137.39,137.74,136.63,137.21,2129301.0,0,1,0
2019-09-16,utx,2019,3,139.02,139.02,137.324,138.08,2107681.0,0,0,0
2019-09-13,utx,2019,3,138.0,139.4,137.455,138.06,3025493.0,1,1,1
2019-09-12,utx,2019,3,136.46,137.99,136.2,137.46,3024326.0,1,1,1
2019-09-11,utx,2019,3,133.5,136.0,133.08,135.95,2866459.0,1,1,1
2019-09-10,utx,2019,3,134.1,134.72,132.83,133.91,2864921.0,0,1,0
2019-09-09,utx,2019,3,134.65,135.4,133.85,134.11,2301570.0,0,1,0
2019-09-06,utx,2019,3,133.81,134.25,133.1485,133.69,2124292.0,0,0,0
2019-09-05,utx,2019,3,133.08,133.7,132.5,133.03,2662909.0,0,1,0
2019-09-04,utx,2019,3,130.69,131.73,130.28,131.05,2256210.0,1,0,0
2019-09-03,utx,2019,3,128.67,129.18,127.64,128.97,2535216.0,1,1,1
2019-08-30,utx,2019,3,130.24,131.2,130.18,130.24,2330105.0,0,0,0
2019-08-29,utx,2019,3,128.01,130.27,128.01,129.51,4575894.0,1,1,1
2019-08-28,utx,2019,3,124.35,126.96,123.81,126.87,2046259.0,1,0,0
2019-08-27,utx,2019,3,125.44,126.0,123.98,124.57,2177318.0,0,1,0
2019-08-26,utx,2019,3,124.98,125.67,123.64,125.49,2093159.0,1,0,0
2019-08-23,utx,2019,3,126.68,127.795,122.82,123.42,3482050.0,0,1,0
2019-08-22,utx,2019,3,128.0,128.4,126.32,127.96,1631960.0,0,0,0
2019-08-21,utx,2019,3,127.9,128.22,126.79,127.33,1719559.0,0,0,0
2019-08-20,utx,2019,3,125.98,127.27,125.41,126.68,1989574.0,1,1,1
2019-08-19,utx,2019,3,126.73,127.31,125.99,126.64,1823076.0,0,0,0
2019-08-16,utx,2019,3,124.99,125.68,124.02,125.05,2532025.0,1,0,0
2019-08-15,utx,2019,3,124.0,124.42,122.44,123.74,3961983.0,0,1,0
2019-08-14,utx,2019,3,127.1,127.26,123.77,124.3,3359304.0,0,1,0
2019-08-13,utx,2019,3,127.86,130.71,127.7001,128.95,2403343.0,1,0,0
2019-08-12,utx,2019,3,129.85,130.23,127.53,128.02,3062505.0,0,1,0
2019-08-09,utx,2019,3,131.4,132.021,129.53,131.24,2370928.0,0,0,0
2019-08-08,utx,2019,3,129.58,131.69,129.58,131.48,2676560.0,1,0,0
2019-08-07,utx,2019,3,127.12,130.12,125.1427,129.01,4301652.0,1,1,1
2019-08-06,utx,2019,3,125.5,129.06,125.5,128.8,3802862.0,1,0,0
2019-08-05,utx,2019,3,128.84,128.93,124.73,125.75,3979074.0,0,1,0
2019-08-02,utx,2019,3,131.43,131.87,129.41,130.81,2167188.0,0,0,0
2019-08-01,utx,2019,3,133.31,135.51,131.66,131.84,2916027.0,0,0,0
2019-07-31,utx,2019,3,135.25,136.03,133.0,133.6,3366092.0,0,1,0
2019-07-30,utx,2019,3,135.38,135.715,134.44,135.3,2257790.0,0,1,0
2019-07-29,utx,2019,3,135.56,136.37,135.38,135.72,2051351.0,1,0,0
2019-07-26,utx,2019,3,135.81,136.68,135.29,135.63,2216070.0,0,0,0
2019-07-25,utx,2019,3,134.92,138.31,134.895,136.36,3989735.0,1,1,1
2019-07-24,utx,2019,3,134.38,136.865,133.97,134.25,3577201.0,0,0,0
2019-07-23,utx,2019,3,136.32,136.5,132.01,134.94,8090056.0,0,1,0
2019-07-22,utx,2019,3,132.29,133.19,131.55,132.95,3398925.0,1,1,1
2019-07-19,utx,2019,3,131.64,132.88,130.93,132.39,3234070.0,1,1,1
2019-07-18,utx,2019,3,129.88,131.35,129.7616,131.3,2918912.0,1,1,1
2019-07-17,utx,2019,3,133.06,133.25,130.07,130.1,2736132.0,0,0,0
2019-07-16,utx,2019,3,133.35,133.68,132.71,133.19,3200202.0,0,1,0
2019-07-15,utx,2019,3,133.26,133.83,132.88,133.23,2378726.0,0,0,0
2019-07-12,utx,2019,3,131.91,133.81,131.71,133.72,3202359.0,1,1,1
2019-07-11,utx,2019,3,130.44,131.79,130.07,131.34,2438438.0,1,1,1
2019-07-10,utx,2019,3,131.0,132.26,130.19,130.45,2339444.0,0,0,0
2019-07-09,utx,2019,3,130.1,130.53,128.94,130.39,3023200.0,1,0,0
2019-07-08,utx,2019,3,131.88,132.07,130.2801,130.87,3202367.0,0,0,0
2019-07-05,utx,2019,3,132.75,132.75,130.845,132.54,3546915.0,0,1,0
2019-07-03,utx,2019,3,132.45,133.07,131.71,133.0,2037573.0,1,0,0
2019-07-02,utx,2019,3,131.64,132.3,131.24,131.96,3395076.0,1,0,0
2019-07-01,utx,2019,3,131.18,132.08,130.8363,131.34,3926596.0,1,0,0
2019-06-28,utx,2019,2,129.06,130.5924,128.15,130.2,5435813.0,1,1,1
2019-06-27,utx,2019,2,128.21,129.19,127.76,128.97,2013536.0,1,0,0
2019-06-26,utx,2019,2,129.04,129.645,127.72,127.76,2922546.0,0,1,0
2019-06-25,utx,2019,2,130.19,130.86,128.7,129.02,2794260.0,0,0,0
2019-06-24,utx,2019,2,130.12,130.99,129.5,130.18,3677209.0,1,0,0
2019-06-21,utx,2019,2,129.81,130.86,128.58,128.75,5719112.0,0,1,0
2019-06-20,utx,2019,2,128.3,130.22,127.87,130.03,4346711.0,1,1,1
2019-06-19,utx,2019,2,127.1,127.39,126.32,126.76,3255060.0,0,0,0
2019-06-18,utx,2019,2,125.06,126.98,125.06,126.62,4536270.0,1,1,1
2019-06-17,utx,2019,2,125.72,125.965,123.105,124.23,3346620.0,0,1,0
2019-06-14,utx,2019,2,126.11,126.5,124.92,125.3,3066816.0,0,0,0
2019-06-13,utx,2019,2,124.74,124.965,122.92,124.81,4604796.0,1,0,0
2019-06-12,utx,2019,2,124.05,125.41,123.61,124.07,9975433.0,1,0,0
2019-06-11,utx,2019,2,128.22,128.29,122.1791,122.94,10972307.0,0,0,0
2019-06-10,utx,2019,2,135.5,135.73,127.98,128.01,13783319.0,0,1,0
2019-06-07,utx,2019,2,132.11,132.97,131.84,132.15,1844404.0,1,0,0
2019-06-06,utx,2019,2,131.46,132.17,130.48,131.67,2012014.0,1,0,0
2019-06-05,utx,2019,2,130.49,131.4,129.55,131.36,2372997.0,1,0,0
2019-06-04,utx,2019,2,128.31,129.69,127.52,129.37,2395174.0,1,0,0
2019-06-03,utx,2019,2,126.45,128.21,125.9401,126.86,2710993.0,1,0,0
2019-05-31,utx,2019,2,127.27,127.41,125.53,126.3,3553857.0,0,1,0
2019-05-30,utx,2019,2,129.54,130.33,128.025,128.4,2748603.0,0,0,0
2019-05-29,utx,2019,2,129.19,129.79,128.31,129.47,2797120.0,1,0,0
2019-05-28,utx,2019,2,131.63,133.08,129.88,129.92,4040204.0,0,1,0
2019-05-24,utx,2019,2,130.64,131.88,130.01,131.4,3116979.0,1,0,0
2019-05-23,utx,2019,2,132.52,133.82,129.39,130.45,5653665.0,0,1,0
2019-05-22,utx,2019,2,135.36,136.32,134.94,135.41,1942732.0,1,0,0
2019-05-21,utx,2019,2,134.9,136.17,134.265,136.03,2190806.0,1,1,1
2019-05-20,utx,2019,2,133.17,133.76,132.63,133.48,1945580.0,1,1,1
2019-05-17,utx,2019,2,134.13,135.4617,133.55,133.75,1605559.0,0,0,0
2019-05-16,utx,2019,2,134.04,136.0714,133.44,135.25,2809322.0,1,1,1
2019-05-15,utx,2019,2,132.8,134.82,131.66,133.98,2430157.0,1,0,0
2019-05-14,utx,2019,2,132.01,135.01,132.01,133.98,2709294.0,1,0,0
2019-05-13,utx,2019,2,134.03,134.67,130.39,131.96,4119212.0,0,1,0
2019-05-10,utx,2019,2,135.23,137.34,133.57,137.17,2652508.0,1,1,1
2019-05-09,utx,2019,2,135.46,137.1275,134.02,136.86,2559253.0,1,1,1
2019-05-08,utx,2019,2,135.5,138.15,135.34,137.07,2396297.0,1,0,0
2019-05-07,utx,2019,2,138.34,138.67,134.68,135.44,4905295.0,0,1,0
2019-05-06,utx,2019,2,138.79,140.67,137.9,140.2,2376408.0,1,0,0
2019-05-03,utx,2019,2,141.0534,141.69,139.96,141.63,2840359.0,1,1,1
2019-05-02,utx,2019,2,140.77,141.46,138.79,139.8,2756425.0,0,1,0
2019-05-01,utx,2019,2,143.0,144.4,141.52,141.58,2194964.0,0,0,0
2019-04-30,utx,2019,2,142.44,142.92,141.63,142.61,3293076.0,1,0,0
2019-04-29,utx,2019,2,141.0,142.51,140.8629,142.12,3409300.0,1,1,1
2019-04-26,utx,2019,2,140.0,140.83,139.58,140.78,2059891.0,1,0,0
2019-04-25,utx,2019,2,138.74,140.25,138.03,139.73,2336426.0,1,0,0
2019-04-24,utx,2019,2,139.67,140.17,137.93,139.59,2734311.0,0,0,0
2019-04-23,utx,2019,2,139.89,142.36,138.88,140.02,5683245.0,1,1,1
2019-04-22,utx,2019,2,136.35,137.4668,135.69,136.91,2954234.0,1,1,1
2019-04-18,utx,2019,2,136.01,137.75,136.01,137.0,2498772.0,1,0,0
2019-04-17,utx,2019,2,135.59,136.3,134.73,135.79,2784978.0,1,1,1
2019-04-16,utx,2019,2,134.86,135.36,134.41,135.34,1999126.0,1,1,1
