date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,vrsn,2019,4,191.66,192.86,191.49,192.68,460424.0,1,1,1
2019-12-30,vrsn,2019,4,194.05,194.05,190.743,192.33,310459.0,0,1,0
2019-12-27,vrsn,2019,4,194.23,194.5,192.8097,194.05,248545.0,0,0,0
2019-12-26,vrsn,2019,4,193.29,194.52,193.12,193.71,256134.0,1,1,1
2019-12-24,vrsn,2019,4,192.64,193.48,191.53,192.75,145073.0,1,0,0
2019-12-23,vrsn,2019,4,192.97,193.74,191.695,192.43,435905.0,0,0,0
2019-12-20,vrsn,2019,4,191.86,192.63,189.78,192.45,1396134.0,1,1,1
2019-12-19,vrsn,2019,4,190.34,191.15,189.55,190.2,698864.0,0,0,0
2019-12-18,vrsn,2019,4,191.56,192.47,190.15,190.15,917509.0,0,1,0
2019-12-17,vrsn,2019,4,192.78,193.31,190.58,190.93,732014.0,0,1,0
2019-12-16,vrsn,2019,4,192.38,194.4,192.13,192.66,703292.0,1,1,1
2019-12-13,vrsn,2019,4,189.01,191.955,188.33,191.49,509998.0,1,0,0
2019-12-12,vrsn,2019,4,189.68,191.5,188.6,189.97,547790.0,1,1,1
2019-12-11,vrsn,2019,4,188.99,190.33,188.07,189.92,463576.0,1,1,1
2019-12-10,vrsn,2019,4,188.68,189.14,187.69,188.14,393967.0,0,0,0
2019-12-09,vrsn,2019,4,188.5,190.67,188.27,188.56,591425.0,1,1,1
2019-12-06,vrsn,2019,4,187.07,188.54,184.99,188.26,484347.0,1,0,0
2019-12-05,vrsn,2019,4,186.88,186.88,184.11,185.57,604846.0,0,0,0
2019-12-04,vrsn,2019,4,187.69,188.61,186.5,186.8,639204.0,0,0,0
2019-12-03,vrsn,2019,4,182.24,187.33,182.24,186.53,1045098.0,1,1,1
2019-12-02,vrsn,2019,4,190.4,190.88,182.83,184.95,934922.0,0,1,0
2019-11-29,vrsn,2019,4,191.74,191.74,190.12,190.74,422735.0,0,0,0
2019-11-27,vrsn,2019,4,191.72,192.51,190.14,191.84,562950.0,1,0,0
2019-11-26,vrsn,2019,4,189.01,193.39,188.68,191.67,1167522.0,1,1,1
2019-11-25,vrsn,2019,4,188.98,193.505,187.905,188.13,781417.0,0,1,0
2019-11-22,vrsn,2019,4,189.44,189.44,186.72,188.44,381485.0,0,0,0
2019-11-21,vrsn,2019,4,192.34,193.21,188.85,189.15,606044.0,0,0,0
2019-11-20,vrsn,2019,4,192.61,194.9,191.1858,192.5,754930.0,0,0,0
2019-11-19,vrsn,2019,4,190.36,194.88,190.09,193.46,1030276.0,1,1,1
2019-11-18,vrsn,2019,4,186.0,189.56,186.0,189.56,609109.0,1,1,1
2019-11-15,vrsn,2019,4,188.65,188.65,186.08,186.81,566149.0,0,1,0
