date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,xom,2019,4,69.02,69.8,69.01,69.78,13151791.0,1,1,1
2019-12-30,xom,2019,4,70.09,70.435,69.4,69.48,12689357.0,0,1,0
2019-12-27,xom,2019,4,70.2,70.3123,69.88,69.89,10515882.0,0,1,0
2019-12-26,xom,2019,4,70.19,70.5,70.01,70.13,8839983.0,0,1,0
2019-12-24,xom,2019,4,70.35,70.5,69.9101,70.02,3979442.0,0,0,0
2019-12-23,xom,2019,4,69.86,70.3,69.53,70.29,14172451.0,1,0,0
2019-12-20,xom,2019,4,69.86,70.2267,69.39,69.94,35091987.0,1,1,1
2019-12-19,xom,2019,4,69.99,70.05,69.24,69.39,13273228.0,0,0,0
2019-12-18,xom,2019,4,69.63,70.29,69.28,69.87,13652100.0,1,0,0
2019-12-17,xom,2019,4,69.98,70.38,69.31,69.68,14450050.0,0,0,0
2019-12-16,xom,2019,4,69.7,70.25,69.7,70.0,15208665.0,1,1,1
2019-12-13,xom,2019,4,70.48,70.54,69.12,69.23,12274462.0,0,0,0
2019-12-12,xom,2019,4,68.96,70.38,68.9,70.34,17063704.0,1,1,1
2019-12-11,xom,2019,4,68.74,69.76,68.67,68.96,12494891.0,1,0,0
2019-12-10,xom,2019,4,69.66,70.15,68.7,69.06,14281286.0,0,1,0
2019-12-09,xom,2019,4,69.08,69.97,69.02,69.66,12397713.0,1,0,0
2019-12-06,xom,2019,4,68.76,69.87,68.76,69.51,13710654.0,1,1,1
2019-12-05,xom,2019,4,68.89,68.97,68.205,68.41,13106499.0,0,1,0
2019-12-04,xom,2019,4,68.25,68.76,68.14,68.65,11049499.0,1,0,0
2019-12-03,xom,2019,4,68.0,68.25,67.52,67.88,12854805.0,0,1,0
2019-12-02,xom,2019,4,68.5,68.88,68.37,68.42,11116930.0,0,1,0
2019-11-29,xom,2019,4,68.33,68.53,68.0,68.13,7980847.0,0,0,0
2019-11-27,xom,2019,4,68.76,69.09,68.41,68.7,8393653.0,0,0,0
2019-11-26,xom,2019,4,68.92,69.035,68.435,68.74,15456880.0,0,1,0
2019-11-25,xom,2019,4,69.3106,69.44,68.7083,68.91,10669986.0,0,0,0
2019-11-22,xom,2019,4,69.71,70.18,69.33,69.37,12142779.0,0,0,0
2019-11-21,xom,2019,4,68.02,69.75,67.92,69.67,14079334.0,1,0,0
2019-11-20,xom,2019,4,67.67,68.54,67.32,68.03,16930430.0,1,1,1
2019-11-19,xom,2019,4,68.4,68.56,67.78,67.82,12598215.0,0,1,0
2019-11-18,xom,2019,4,68.7,68.82,68.3,68.52,10095548.0,0,0,0
2019-11-15,xom,2019,4,68.71,69.3,68.67,69.19,11252832.0,1,0,0
2019-11-14,xom,2019,4,68.86,68.97,68.18,68.5,11279811.0,0,0,0
2019-11-13,xom,2019,4,69.02,69.15,68.6,68.8,12041380.0,0,0,0
2019-11-12,xom,2019,4,70.27,70.41,68.98,69.37,13916557.0,0,1,0
2019-11-11,xom,2019,4,70.21,70.61,69.97,70.34,8674048.0,1,0,0
2019-11-08,xom,2019,4,71.61,71.8,70.66,70.77,12105990.0,0,0,0
2019-11-07,xom,2019,4,72.03,73.03,72.0,73.01,13070783.0,1,0,0
2019-11-06,xom,2019,4,72.73,72.87,71.2,71.49,13989884.0,0,0,0
2019-11-05,xom,2019,4,72.04,73.12,71.85,73.09,14919813.0,1,0,0
2019-11-04,xom,2019,4,70.07,71.87,69.94,71.67,15851994.0,1,1,1
2019-11-01,xom,2019,4,68.39,69.605,68.31,69.6,14106381.0,1,0,0
2019-10-31,xom,2019,4,67.46,67.72,67.14,67.57,16161748.0,1,1,1
2019-10-30,xom,2019,4,68.37,68.37,67.27,67.72,12823843.0,0,0,0
2019-10-29,xom,2019,4,68.48,69.03,68.24,68.44,13893458.0,0,1,0
2019-10-28,xom,2019,4,69.46,69.67,68.585,68.64,11209068.0,0,1,0
2019-10-25,xom,2019,4,68.9,69.48,68.9,69.25,7606127.0,1,0,0
2019-10-24,xom,2019,4,69.96,70.05,69.02,69.09,9068419.0,0,1,0
2019-10-23,xom,2019,4,68.96,69.76,68.78,69.75,8716016.0,1,0,0
2019-10-22,xom,2019,4,68.78,69.76,68.65,69.09,9500873.0,1,0,0
2019-10-21,xom,2019,4,67.82,68.77,67.82,68.74,10470131.0,1,0,0
2019-10-18,xom,2019,4,67.87,68.15,67.61,67.61,13471979.0,0,1,0
2019-10-17,xom,2019,4,68.48,68.8847,68.08,68.14,9928210.0,0,1,0
2019-10-16,xom,2019,4,69.21,69.53,68.21,68.23,9810633.0,0,1,0
2019-10-15,xom,2019,4,69.06,70.0,69.01,69.42,6653731.0,1,0,0
2019-10-14,xom,2019,4,68.6,69.37,68.59,69.18,6862767.0,1,0,0
2019-10-11,xom,2019,4,68.98,69.49,68.885,68.98,10171168.0,0,1,0
2019-10-10,xom,2019,4,67.43,68.36,67.38,68.25,8443172.0,1,0,0
2019-10-09,xom,2019,4,67.3,67.7,67.2,67.44,8616833.0,1,0,0
2019-10-08,xom,2019,4,67.54,67.92,66.64,66.7,10348155.0,0,0,0
2019-10-07,xom,2019,4,68.7,69.03,68.02,68.02,11574426.0,0,1,0
2019-10-04,xom,2019,4,68.11,69.07,67.82,68.97,10585544.0,1,0,0
2019-10-03,xom,2019,4,67.0,68.0,66.305,67.98,12679281.0,1,0,0
2019-10-02,xom,2019,4,68.27,68.59,67.005,67.15,14629335.0,0,1,0
2019-10-01,xom,2019,4,70.83,70.91,68.91,68.95,11429239.0,0,1,0
2019-09-30,xom,2019,3,71.24,71.45,70.58,70.61,10158063.0,0,1,0
2019-09-27,xom,2019,3,70.7,71.67,70.63,71.48,8223997.0,1,0,0
2019-09-26,xom,2019,3,71.22,71.35,70.6826,70.97,8442417.0,0,1,0
2019-09-25,xom,2019,3,70.98,71.47,70.82,71.35,8049647.0,1,0,0
2019-09-24,xom,2019,3,71.81,71.87,70.815,71.14,14306740.0,0,1,0
2019-09-23,xom,2019,3,71.52,72.36,71.46,72.13,7805562.0,1,0,0
2019-09-20,xom,2019,3,72.49,72.5,71.855,72.08,19855483.0,0,1,0
2019-09-19,xom,2019,3,72.97,73.19,72.19,72.33,8312666.0,0,1,0
2019-09-18,xom,2019,3,72.65,72.97,72.33,72.82,7374579.0,1,0,0
2019-09-17,xom,2019,3,73.82,74.08,72.63,73.17,14644016.0,0,0,0
2019-09-16,xom,2019,3,75.04,75.18,73.6,73.73,19821217.0,0,1,0
2019-09-13,xom,2019,3,72.26,72.72,72.06,72.64,7335935.0,1,0,0
2019-09-12,xom,2019,3,70.98,72.155,70.7,71.98,9094986.0,1,0,0
2019-09-11,xom,2019,3,72.78,72.84,71.55,71.93,10524149.0,0,0,0
2019-09-10,xom,2019,3,72.14,72.85,71.62,72.07,13808634.0,0,1,0
2019-09-09,xom,2019,3,71.16,72.07,70.98,71.49,12418154.0,1,1,1
2019-09-06,xom,2019,3,70.35,70.95,70.12,70.93,10417759.0,1,1,1
2019-09-05,xom,2019,3,69.84,70.55,69.7,70.27,9901502.0,1,1,1
2019-09-04,xom,2019,3,69.5,69.61,69.09,69.29,6959151.0,0,0,0
2019-09-03,xom,2019,3,67.89,68.6799,67.63,68.56,9849667.0,1,1,1
2019-08-30,xom,2019,3,68.61,69.08,68.0644,68.48,9180830.0,0,1,0
2019-08-29,xom,2019,3,68.3,68.67,68.09,68.43,9004455.0,1,0,0
2019-08-28,xom,2019,3,67.53,67.98,67.16,67.68,9646530.0,1,1,1
2019-08-27,xom,2019,3,68.13,68.44,66.97,67.19,9494621.0,0,1,0
2019-08-26,xom,2019,3,68.12,68.26,67.53,67.85,7344634.0,0,0,0
2019-08-23,xom,2019,3,68.82,69.525,67.03,67.49,15373737.0,0,1,0
2019-08-22,xom,2019,3,69.91,69.96,69.25,69.57,8973175.0,0,0,0
2019-08-21,xom,2019,3,69.96,69.98,69.37,69.72,10134525.0,0,1,0
2019-08-20,xom,2019,3,69.3,69.3,68.71,69.03,9744252.0,0,0,0
2019-08-19,xom,2019,3,68.97,69.65,68.86,69.45,10032824.0,1,0,0
2019-08-16,xom,2019,3,67.78,68.46,67.2691,68.3,12649037.0,1,0,0
2019-08-15,xom,2019,3,67.46,67.555,66.525,67.25,12874373.0,0,0,0
2019-08-14,xom,2019,3,69.07,69.09,67.65,67.65,18114362.0,0,1,0
2019-08-13,xom,2019,3,69.27,70.62,68.92,70.49,12438513.0,1,1,1
2019-08-12,xom,2019,3,70.06,70.16,69.33,69.63,10009922.0,0,0,0
2019-08-09,xom,2019,3,72.13,72.25,70.47,70.84,13686606.0,0,0,0
2019-08-08,xom,2019,3,70.85,72.41,70.62,72.38,14304052.0,1,0,0
2019-08-07,xom,2019,3,69.86,70.875,69.4,70.5,15231052.0,1,1,1
2019-08-06,xom,2019,3,70.29,71.01,70.28,70.96,12282362.0,1,0,0
2019-08-05,xom,2019,3,70.78,70.92,69.61,70.28,19080930.0,0,0,0
2019-08-02,xom,2019,3,72.61,73.26,71.18,71.75,21376742.0,0,1,0
2019-08-01,xom,2019,3,73.74,74.2684,72.265,72.46,17132815.0,0,1,0
2019-07-31,xom,2019,3,75.04,75.66,74.26,74.36,13104592.0,0,1,0
2019-07-30,xom,2019,3,75.06,75.555,74.89,75.35,6961197.0,1,0,0
2019-07-29,xom,2019,3,74.88,75.38,74.7,75.34,7091889.0,1,0,0
2019-07-26,xom,2019,3,74.87,75.08,74.6,74.81,7677427.0,0,0,0
2019-07-25,xom,2019,3,75.78,75.78,74.8,74.93,9083914.0,0,1,0
2019-07-24,xom,2019,3,75.39,76.05,74.85,75.36,8260245.0,0,0,0
2019-07-23,xom,2019,3,75.15,75.77,74.75,75.37,8551205.0,1,1,1
2019-07-22,xom,2019,3,75.24,75.3,74.5,75.07,8370141.0,0,0,0
2019-07-19,xom,2019,3,74.9,75.25,74.535,74.99,11243310.0,1,0,0
2019-07-18,xom,2019,3,75.03,75.27,74.18,74.84,11425663.0,0,1,0
2019-07-17,xom,2019,3,75.74,75.96,75.35,75.48,7419314.0,0,0,0
