date,symbol,year,quarter,open,high,low,close,volume,pup,vup,bothup
2019-12-31,yum,2019,4,100.67,101.1652,100.23,100.73,1271044.0,1,1,1
2019-12-30,yum,2019,4,101.64,101.64,100.45,100.64,1185804.0,0,1,0
2019-12-27,yum,2019,4,101.84,102.2,101.605,101.9,1130456.0,1,0,0
2019-12-26,yum,2019,4,100.61,101.82,100.3547,101.79,1176882.0,1,1,1
2019-12-24,yum,2019,4,99.74,100.46,99.53,100.33,656381.0,1,0,0
2019-12-23,yum,2019,4,100.87,100.89,99.775,99.81,1205555.0,0,0,0
2019-12-20,yum,2019,4,100.4,101.04,99.89,100.59,2420163.0,1,1,1
2019-12-19,yum,2019,4,98.59,100.105,98.465,99.82,1808067.0,1,0,0
2019-12-18,yum,2019,4,99.48,99.72,98.031,98.74,2657405.0,0,1,0
2019-12-17,yum,2019,4,99.325,100.62,98.67,99.62,2298712.0,1,1,1
2019-12-16,yum,2019,4,100.43,101.26,100.06,100.89,1486010.0,1,1,1
2019-12-13,yum,2019,4,99.53,100.165,98.9,100.11,1199211.0,1,0,0
2019-12-12,yum,2019,4,99.45,100.29,99.03,99.83,1518889.0,1,0,0
2019-12-11,yum,2019,4,99.66,99.91,98.98,99.44,1666070.0,0,0,0
2019-12-10,yum,2019,4,99.26,99.415,98.67,99.24,1775145.0,0,0,0
2019-12-09,yum,2019,4,98.68,99.275,98.53,98.98,1796672.0,1,0,0
2019-12-06,yum,2019,4,99.21,99.59,98.6,98.77,1951250.0,0,0,0
2019-12-05,yum,2019,4,99.24,99.46,98.28,98.52,2184637.0,0,1,0
2019-12-04,yum,2019,4,99.25,99.66,98.79,99.2,1606164.0,0,0,0
2019-12-03,yum,2019,4,100.44,100.87,99.18,99.45,1940998.0,0,1,0
2019-12-02,yum,2019,4,100.71,100.95,99.95,100.56,1412859.0,0,1,0
2019-11-29,yum,2019,4,100.87,101.19,100.14,100.67,980621.0,0,0,0
2019-11-27,yum,2019,4,99.78,101.06,99.57,100.64,2316290.0,1,0,0
2019-11-26,yum,2019,4,98.06,99.77,97.98,99.75,4725384.0,1,1,1
2019-11-25,yum,2019,4,97.49,98.22,97.47,98.01,2056021.0,1,1,1
2019-11-22,yum,2019,4,98.32,98.74,97.35,97.62,1543940.0,0,0,0
2019-11-21,yum,2019,4,98.5,99.15,97.845,97.9,2430624.0,0,1,0
2019-11-20,yum,2019,4,98.0,99.0128,97.69,98.12,2234029.0,1,0,0
2019-11-19,yum,2019,4,98.33,98.53,97.54,98.08,2283837.0,0,0,0
2019-11-18,yum,2019,4,98.64,99.03,97.91,98.28,2485901.0,0,0,0
2019-11-15,yum,2019,4,98.63,98.86,97.85,98.28,2575750.0,0,1,0
2019-11-14,yum,2019,4,98.25,98.77,97.56,98.11,2240493.0,0,1,0
2019-11-13,yum,2019,4,98.71,99.43,98.15,98.38,1905145.0,0,0,0
