actual,estimate,period,symbol
0.89,0.85,2019-12-31,A
0.76,0.72,2019-09-30,A
0.71,0.71,2019-06-30,A
0.76,0.73,2019-03-31,A
0.81,0.73592,2018-12-31,A
0.67,0.62731,2018-09-30,A
0.65,0.64239,2018-06-30,A
0.66,0.58,2018-03-31,A
0.67,0.62433,2017-12-31,A
0.59,0.52167,2017-09-30,A
0.58,0.48357,2017-06-30,A
0.53,0.49,2017-03-31,A
0.59,0.52071,2016-12-31,A
0.49,0.46846,2016-09-30,A
0.44,0.38933,2016-06-30,A
0.46,0.4325,2016-03-31,A
0.5,0.4725,2015-12-31,A
0.44,0.40667,2015-09-30,A
0.38,0.38563,2015-06-30,A
0.41,0.41214,2015-03-31,A
0.88,0.88818,2014-12-31,A
0.78,0.73792,2014-09-30,A
0.72,0.72567,2014-06-30,A
0.67,0.66071,2014-03-31,A
0.81,0.75978,2013-12-31,A
0.68,0.62094,2013-09-30,A
0.77,0.66665,2013-06-30,A
0.63,0.66753,2013-03-31,A
0.86,0.79963,2012-12-31,A
0.79,0.82859,2012-09-30,A
0.78,0.73062,2012-06-30,A
0.69,0.688,2012-03-31,A
0.84,0.80573,2011-12-31,A
0.77,0.72833,2011-09-30,A
0.74,0.64755,2011-06-30,A
0.6,0.575,2011-03-31,A
0.65,0.60058,2010-12-31,A
0.54,0.48125,2010-09-30,A
0.43,0.41375,2010-06-30,A
0.38,0.32067,2010-03-31,A
0.32,0.23289,2009-12-31,A
0.15,0.10638,2009-09-30,A
0.13,0.12743,2009-06-30,A
0.2,0.28286,2009-03-31,A
0.62,0.58875,2008-12-31,A
0.53,0.54143,2008-09-30,A
0.51,0.48143,2008-06-30,A
0.42,0.41286,2008-03-31,A
0.53,0.52143,2007-12-31,A
0.48,0.485,2007-09-30,A
0.43,0.44,2007-06-30,A
0.39,0.38571,2007-03-31,A
0.52,0.535,2006-12-31,A
0.46,0.422,2006-09-30,A
0.4,0.38,2006-06-30,A
0.32,0.3,2006-03-31,A
0.38,0.37011,2005-12-31,A
0.28,0.26,2005-09-30,A
0.2,0.2,2005-06-30,A
0.2,0.187,2005-03-31,A
0.3,0.307,2004-12-31,A
0.3,0.275,2004-09-30,A
0.24,0.238,2004-06-30,A
0.21,0.219,2004-03-31,A
0.15,0.054,2003-12-31,A
-0.02,-0.06727,2003-09-30,A
-0.15,-0.151,2003-06-30,A
-0.23,-0.255,2003-03-31,A
0.0,-0.11933,2002-12-31,A
-0.31,-0.15,2002-09-30,A
-0.31,-0.23125,2002-06-30,A
-0.29,-0.43211,2002-03-31,A
