actual,estimate,period,symbol
4.99,4.55,2019-12-31,AAPL
3.03,2.84,2019-09-30,AAPL
2.18,2.1,2019-06-30,AAPL
2.46,2.36,2019-03-31,AAPL
4.18,4.16694,2018-12-31,AAPL
2.91,2.78306,2018-09-30,AAPL
2.34,2.18136,2018-06-30,AAPL
2.73,2.67285,2018-03-31,AAPL
3.89,3.857,2017-12-31,AAPL
2.07,1.86736,2017-09-30,AAPL
1.67,1.57153,2017-06-30,AAPL
2.1,2.01987,2017-03-31,AAPL
3.36,3.21381,2016-12-31,AAPL
1.67,1.65608,2016-09-30,AAPL
1.42,1.38403,2016-06-30,AAPL
1.9,1.99761,2016-03-31,AAPL
3.28,3.22731,2015-12-31,AAPL
1.96,1.87991,2015-09-30,AAPL
1.85,1.81149,2015-06-30,AAPL
2.33,2.15871,2015-03-31,AAPL
3.06,2.60188,2014-12-31,AAPL
1.42,1.30512,2014-09-30,AAPL
1.28,1.23103,2014-06-30,AAPL
1.66,1.45628,2014-03-31,AAPL
2.07143,2.00952,2013-12-31,AAPL
1.18,1.13656,2013-09-30,AAPL
1.06714,1.04571,2013-06-30,AAPL
1.44143,1.42884,2013-03-31,AAPL
1.97286,1.92437,2012-12-31,AAPL
1.23857,1.25,2012-09-30,AAPL
1.33143,1.48126,2012-06-30,AAPL
1.75714,1.43378,2012-03-31,AAPL
1.98143,1.45205,2011-12-31,AAPL
1.00714,1.05506,2011-09-30,AAPL
1.11286,0.83308,2011-06-30,AAPL
0.91428,0.76771,2011-03-31,AAPL
0.91857,0.77186,2010-12-31,AAPL
0.66286,0.58276,2010-09-30,AAPL
0.50143,0.44499,2010-06-30,AAPL
0.47571,0.34954,2010-03-31,AAPL
0.52429,0.29927,2009-12-31,AAPL
0.26,0.2038,2009-09-30,AAPL
0.19286,0.16793,2009-06-30,AAPL
0.19,0.15588,2009-03-31,AAPL
0.25429,0.19826,2008-12-31,AAPL
0.18,0.15887,2008-09-30,AAPL
0.17,0.15399,2008-06-30,AAPL
0.16571,0.15329,2008-03-31,AAPL
0.25143,0.23097,2007-12-31,AAPL
0.14429,0.1224,2007-09-30,AAPL
0.13143,0.10343,2007-06-30,AAPL
0.12429,0.09143,2007-03-31,AAPL
0.16286,0.11202,2006-12-31,AAPL
0.08857,0.07227,2006-09-30,AAPL
0.07714,0.06279,2006-06-30,AAPL
0.06714,0.06204,2006-03-31,AAPL
0.09286,0.08671,2005-12-31,AAPL
0.05429,0.05314,2005-09-30,AAPL
0.05286,0.04481,2005-06-30,AAPL
0.04857,0.03477,2005-03-31,AAPL
0.05,0.03474,2004-12-31,AAPL
0.01929,0.01306,2004-09-30,AAPL
0.01214,0.01056,2004-06-30,AAPL
0.01,0.00676,2004-03-31,AAPL
0.01143,0.01038,2003-12-31,AAPL
0.00571,0.00474,2003-09-30,AAPL
0.00357,0.00219,2003-06-30,AAPL
0.00286,0.00143,2003-03-31,AAPL
0.00214,0.0041,2002-12-31,AAPL
0.00143,0.00432,2002-09-30,AAPL
0.00643,0.00624,2002-06-30,AAPL
0.00786,0.0071,2002-03-31,AAPL
