actual,estimate,period,symbol
0.95,0.95,2019-12-31,ABT
0.84,0.84,2019-09-30,ABT
0.82,0.8,2019-06-30,ABT
0.63,0.61,2019-03-31,ABT
0.81,0.80986,2018-12-31,ABT
0.75,0.74574,2018-09-30,ABT
0.73,0.70972,2018-06-30,ABT
0.59,0.58011,2018-03-31,ABT
0.74,0.73217,2017-12-31,ABT
0.66,0.65256,2017-09-30,ABT
0.62,0.605,2017-06-30,ABT
0.48,0.43,2017-03-31,ABT
0.65,0.64571,2016-12-31,ABT
0.59,0.58133,2016-09-30,ABT
0.55,0.533,2016-06-30,ABT
0.41,0.39185,2016-03-31,ABT
0.62,0.60979,2015-12-31,ABT
0.54,0.53395,2015-09-30,ABT
0.52,0.50305,2015-06-30,ABT
0.47,0.41769,2015-03-31,ABT
0.71,0.68294,2014-12-31,ABT
0.62,0.59239,2014-09-30,ABT
0.54,0.50621,2014-06-30,ABT
0.41,0.35632,2014-03-31,ABT
0.58,0.582,2013-12-31,ABT
0.55,0.51316,2013-09-30,ABT
0.46,0.44136,2013-06-30,ABT
0.42,0.41177,2013-03-31,ABT
1.51,1.496,2012-12-31,ABT
1.3,1.28235,2012-09-30,ABT
1.23,1.21684,2012-06-30,ABT
1.03,0.99778,2012-03-31,ABT
1.45,1.43611,2011-12-31,ABT
1.18,1.17,2011-09-30,ABT
1.12,1.11059,2011-06-30,ABT
0.91,0.90333,2011-03-31,ABT
1.3,1.29,2010-12-31,ABT
1.05,1.04177,2010-09-30,ABT
1.01,0.99688,2010-06-30,ABT
0.84,0.80188,2010-03-31,ABT
1.18,1.17133,2009-12-31,ABT
0.92,0.89643,2009-09-30,ABT
0.89,0.88667,2009-06-30,ABT
0.73,0.70417,2009-03-31,ABT
1.06,1.06091,2008-12-31,ABT
0.79,0.77429,2008-09-30,ABT
0.84,0.78615,2008-06-30,ABT
0.63,0.62154,2008-03-31,ABT
0.93,0.91846,2007-12-31,ABT
0.67,0.66154,2007-09-30,ABT
0.69,0.676,2007-06-30,ABT
0.55,0.52417,2007-03-31,ABT
0.75,0.74313,2006-12-31,ABT
0.58,0.58125,2006-09-30,ABT
0.62,0.57071,2006-06-30,ABT
0.57,0.57154,2006-03-31,ABT
0.76,0.75769,2005-12-31,ABT
0.58,0.57643,2005-09-30,ABT
0.58,0.57143,2005-06-30,ABT
0.58,0.58,2005-03-31,ABT
0.67,0.66786,2004-12-31,ABT
0.53,0.5275,2004-09-30,ABT
0.54,0.54083,2004-06-30,ABT
0.57,0.56364,2004-03-31,ABT
0.65,0.64875,2003-12-31,ABT
0.53,0.53177,2003-09-30,ABT
0.52,0.51941,2003-06-30,ABT
0.51,0.50813,2003-03-31,ABT
0.55,0.55778,2002-12-31,ABT
0.48,0.48056,2002-09-30,ABT
0.49,0.49471,2002-06-30,ABT
0.54,0.54056,2002-03-31,ABT
