actual,estimate,period,symbol
2.09,1.99,2019-12-31,ACN
1.74,1.71,2019-09-30,ACN
1.93,1.89,2019-06-30,ACN
1.73,1.57,2019-03-31,ACN
1.96,1.85835,2018-12-31,ACN
1.58,1.55541,2018-09-30,ACN
1.79,1.71971,2018-06-30,ACN
1.58,1.48764,2018-03-31,ACN
1.79,1.66596,2017-12-31,ACN
1.48,1.46508,2017-09-30,ACN
1.52,1.51969,2017-06-30,ACN
1.33,1.29907,2017-03-31,ACN
1.58,1.49254,2016-12-31,ACN
1.31,1.29933,2016-09-30,ACN
1.41,1.4075,2016-06-30,ACN
1.34,1.18372,2016-03-31,ACN
1.35,1.31804,2015-12-31,ACN
1.15,1.1185,2015-09-30,ACN
1.3,1.22937,2015-06-30,ACN
1.08,1.07409,2015-03-31,ACN
1.29,1.19717,2014-12-31,ACN
1.08,1.1015,2014-09-30,ACN
1.26,1.207,2014-06-30,ACN
1.03,1.03611,2014-03-31,ACN
1.13,1.09045,2013-12-31,ACN
1.01,1.00605,2013-09-30,ACN
1.14,1.13364,2013-06-30,ACN
1.0,0.971,2013-03-31,ACN
1.06,1.04476,2012-12-31,ACN
0.88,0.87773,2012-09-30,ACN
1.03,0.9936,2012-06-30,ACN
0.97,0.85952,2012-03-31,ACN
0.96,0.94059,2011-12-31,ACN
0.91,0.88471,2011-09-30,ACN
0.93,0.89667,2011-06-30,ACN
0.75,0.7145,2011-03-31,ACN
0.81,0.75211,2010-12-31,ACN
0.66,0.634,2010-09-30,ACN
0.73,0.68762,2010-06-30,ACN
0.6,0.61333,2010-03-31,ACN
0.67,0.65177,2009-12-31,ACN
0.63,0.62733,2009-09-30,ACN
0.68,0.64441,2009-06-30,ACN
0.63,0.61517,2009-03-31,ACN
0.74,0.67844,2008-12-31,ACN
0.67,0.66439,2008-09-30,ACN
0.74,0.69371,2008-06-30,ACN
0.64,0.56158,2008-03-31,ACN
0.6,0.55611,2007-12-31,ACN
0.5,0.4779,2007-09-30,ACN
0.54,0.54556,2007-06-30,ACN
0.47,0.421,2007-03-31,ACN
0.46,0.4165,2006-12-31,ACN
0.39,0.37994,2006-09-30,ACN
0.5,0.45695,2006-06-30,ACN
0.37,0.34771,2006-03-31,ACN
0.36,0.3414,2005-12-31,ACN
0.38,0.36,2005-09-30,ACN
0.44,0.428,2005-06-30,ACN
0.32,0.32111,2005-03-31,ACN
0.32,0.30667,2004-12-31,ACN
0.3,0.28364,2004-09-30,ACN
0.37,0.37,2004-06-30,ACN
0.29,0.25071,2004-03-31,ACN
0.27,0.2775,2003-12-31,ACN
0.25,0.24625,2003-09-30,ACN
0.28,0.24947,2003-06-30,ACN
0.25,0.2375,2003-03-31,ACN
0.27,0.26438,2002-12-31,ACN
0.16,0.16,2002-09-30,ACN
0.27,0.26214,2002-06-30,ACN
0.23,0.223,2002-03-31,ACN
