actual,estimate,period,symbol
2.29,2.26,2019-12-31,ADBE
2.05,1.97,2019-09-30,ADBE
1.83,1.78,2019-06-30,ADBE
1.71,1.62,2019-03-31,ADBE
1.9,1.88171,2018-12-31,ADBE
1.73,1.69085,2018-09-30,ADBE
1.66,1.54215,2018-06-30,ADBE
1.55,1.43779,2018-03-31,ADBE
1.26,1.1574,2017-12-31,ADBE
1.1,1.00603,2017-09-30,ADBE
1.02,0.94586,2017-06-30,ADBE
0.94,0.87039,2017-03-31,ADBE
0.9,0.8615,2016-12-31,ADBE
0.75,0.7232,2016-09-30,ADBE
0.71,0.67941,2016-06-30,ADBE
0.66,0.60663,2016-03-31,ADBE
0.62,0.59917,2015-12-31,ADBE
0.54,0.49757,2015-09-30,ADBE
0.48,0.45268,2015-06-30,ADBE
0.44,0.38638,2015-03-31,ADBE
0.36,0.2968,2014-12-31,ADBE
0.28,0.26367,2014-09-30,ADBE
0.37,0.29774,2014-06-30,ADBE
0.3,0.25164,2014-03-31,ADBE
0.32,0.31938,2013-12-31,ADBE
0.32,0.33804,2013-09-30,ADBE
0.36,0.33568,2013-06-30,ADBE
0.35,0.3135,2013-03-31,ADBE
0.61,0.56521,2012-12-31,ADBE
0.58,0.58373,2012-09-30,ADBE
0.6,0.59208,2012-06-30,ADBE
0.57,0.56862,2012-03-31,ADBE
0.67,0.60084,2011-12-31,ADBE
0.55,0.53758,2011-09-30,ADBE
0.55,0.51292,2011-06-30,ADBE
0.58,0.571,2011-03-31,ADBE
0.56,0.52013,2010-12-31,ADBE
0.54,0.49167,2010-09-30,ADBE
0.44,0.42482,2010-06-30,ADBE
0.4,0.37265,2010-03-31,ADBE
0.39,0.37231,2009-12-31,ADBE
0.35,0.33636,2009-09-30,ADBE
0.35,0.34636,2009-06-30,ADBE
0.45,0.44048,2009-03-31,ADBE
0.6,0.58188,2008-12-31,ADBE
0.5,0.46211,2008-09-30,ADBE
0.5,0.46333,2008-06-30,ADBE
0.48,0.45111,2008-03-31,ADBE
0.49,0.47609,2007-12-31,ADBE
0.45,0.40522,2007-09-30,ADBE
0.37,0.35478,2007-06-30,ADBE
0.3,0.29375,2007-03-31,ADBE
0.33,0.33,2006-12-31,ADBE
0.29,0.2625,2006-09-30,ADBE
0.31,0.30167,2006-06-30,ADBE
0.32,0.29421,2006-03-31,ADBE
0.3,0.28587,2005-12-31,ADBE
0.29,0.26708,2005-09-30,ADBE
0.28,0.26975,2005-06-30,ADBE
0.265,0.24786,2005-03-31,ADBE
0.22,0.20841,2004-12-31,ADBE
0.215,0.1931,2004-09-30,ADBE
0.22,0.21211,2004-06-30,ADBE
0.25,0.20056,2004-03-31,ADBE
0.17,0.16029,2003-12-31,ADBE
0.14,0.12333,2003-09-30,ADBE
0.14,0.13188,2003-06-30,ADBE
0.125,0.10853,2003-03-31,ADBE
0.125,0.11361,2002-12-31,ADBE
0.11,0.09722,2002-09-30,ADBE
0.135,0.12656,2002-06-30,ADBE
0.11,0.10063,2002-03-31,ADBE
