actual,estimate,period,symbol
1.19,1.22,2019-12-31,ADI
1.26,1.22,2019-09-30,ADI
1.36,1.3,2019-06-30,ADI
1.33,1.28,2019-03-31,ADI
1.55,1.52296,2018-12-31,ADI
1.53,1.46041,2018-09-30,ADI
1.45,1.37513,2018-06-30,ADI
1.42,1.2867,2018-03-31,ADI
1.45,1.36338,2017-12-31,ADI
1.26,1.14505,2017-09-30,ADI
1.03,0.835,2017-06-30,ADI
0.94,0.73478,2017-03-31,ADI
1.05,0.89391,2016-12-31,ADI
0.82,0.75554,2016-09-30,ADI
0.64,0.62204,2016-06-30,ADI
0.56,0.53067,2016-03-31,ADI
1.03,0.82873,2015-12-31,ADI
0.77,0.74267,2015-09-30,ADI
0.73,0.71836,2015-06-30,ADI
0.63,0.60632,2015-03-31,ADI
0.69,0.67977,2014-12-31,ADI
0.63,0.6265,2014-09-30,ADI
0.59,0.56156,2014-06-30,ADI
0.49,0.48259,2014-03-31,ADI
0.63,0.58119,2013-12-31,ADI
0.57,0.54263,2013-09-30,ADI
0.51,0.52154,2013-06-30,ADI
0.44,0.44525,2013-03-31,ADI
0.58,0.56492,2012-12-31,ADI
0.56,0.56188,2012-09-30,ADI
0.53,0.51148,2012-06-30,ADI
0.46,0.47717,2012-03-31,ADI
0.6,0.62964,2011-12-31,ADI
0.71,0.73314,2011-09-30,ADI
0.75,0.67861,2011-06-30,ADI
0.66,0.64946,2011-03-31,ADI
0.73,0.69636,2010-12-31,ADI
0.65,0.60195,2010-09-30,ADI
0.55,0.50191,2010-06-30,ADI
0.43,0.38046,2010-03-31,ADI
0.36,0.25952,2009-12-31,ADI
0.22,0.19944,2009-09-30,ADI
0.21,0.0855,2009-06-30,ADI
0.18,0.15611,2009-03-31,ADI
0.49,0.43278,2008-12-31,ADI
0.44,0.44647,2008-09-30,ADI
0.44,0.41263,2008-06-30,ADI
0.4,0.39474,2008-03-31,ADI
0.31,0.385,2007-12-31,ADI
0.37,0.359,2007-09-30,ADI
0.37,0.35158,2007-06-30,ADI
0.44,0.40688,2007-03-31,ADI
0.39,0.40235,2006-12-31,ADI
0.43,0.44563,2006-09-30,ADI
0.41,0.40353,2006-06-30,ADI
0.37,0.35952,2006-03-31,ADI
0.36,0.34488,2005-12-31,ADI
0.32,0.31,2005-09-30,ADI
0.31,0.29962,2005-06-30,ADI
0.28,0.29231,2005-03-31,ADI
0.34,0.33482,2004-12-31,ADI
0.43,0.44667,2004-09-30,ADI
0.39,0.35364,2004-06-30,ADI
0.3,0.28417,2004-03-31,ADI
0.25,0.23191,2003-12-31,ADI
0.21,0.20875,2003-09-30,ADI
0.19,0.1775,2003-06-30,ADI
0.16,0.15933,2003-03-31,ADI
0.16,0.16,2002-12-31,ADI
0.15,0.14882,2002-09-30,ADI
0.13,0.123,2002-06-30,ADI
0.11,0.11,2002-03-31,ADI
