actual,estimate,period,symbol
3.13,3.24,2019-12-31,ALL
2.84,2.64,2019-09-30,ALL
2.18,1.53,2019-06-30,ALL
2.3,2.28,2019-03-31,ALL
1.24,1.09525,2018-12-31,ALL
1.93,2.21084,2018-09-30,ALL
1.9,1.49111,2018-06-30,ALL
2.96,2.60526,2018-03-31,ALL
2.09,1.532,2017-12-31,ALL
1.6,0.86632,2017-09-30,ALL
1.38,0.88233,2017-06-30,ALL
1.64,1.1,2017-03-31,ALL
2.17,1.62738,2016-12-31,ALL
1.26,1.25371,2016-09-30,ALL
0.62,0.57586,2016-06-30,ALL
0.84,0.68344,2016-03-31,ALL
1.6,1.33535,2015-12-31,ALL
1.52,1.31535,2015-09-30,ALL
0.63,0.96738,2015-06-30,ALL
1.46,1.44183,2015-03-31,ALL
1.72,1.67636,2014-12-31,ALL
1.39,1.32662,2014-09-30,ALL
1.01,0.69758,2014-06-30,ALL
1.3,1.19715,2014-03-31,ALL
1.7,1.37523,2013-12-31,ALL
1.53,1.38676,2013-09-30,ALL
1.12,0.97646,2013-06-30,ALL
1.35,1.30274,2013-03-31,ALL
0.59,-0.05212,2012-12-31,ALL
1.46,1.13137,2012-09-30,ALL
0.87,0.5073,2012-06-30,ALL
1.42,1.11672,2012-03-31,ALL
1.48,0.95146,2011-12-31,ALL
0.16,0.08157,2011-09-30,ALL
-1.23,-1.56214,2011-06-30,ALL
0.93,0.68019,2011-03-31,ALL
0.5,0.87757,2010-12-31,ALL
0.83,0.97519,2010-09-30,ALL
0.81,0.69157,2010-06-30,ALL
0.69,0.78737,2010-03-31,ALL
1.09,1.00529,2009-12-31,ALL
0.99,1.01611,2009-09-30,ALL
0.55,1.11842,2009-06-30,ALL
0.84,1.22933,2009-03-31,ALL
0.97,1.36211,2008-12-31,ALL
-0.35,0.7105,2008-09-30,ALL
1.24,1.29053,2008-06-30,ALL
1.33,1.62762,2008-03-31,ALL
1.24,1.32409,2007-12-31,ALL
1.54,1.67409,2007-09-30,ALL
1.76,1.81286,2007-06-30,ALL
1.93,1.86696,2007-03-31,ALL
1.78,1.84208,2006-12-31,ALL
1.88,1.77522,2006-09-30,ALL
2.0,1.61174,2006-06-30,ALL
2.01,1.65857,2006-03-31,ALL
1.49,1.52104,2005-12-31,ALL
-2.52,-0.67786,2005-09-30,ALL
1.66,1.513,2005-06-30,ALL
1.67,1.49053,2005-03-31,ALL
1.42,1.40217,2004-12-31,ALL
0.08,0.08,2004-09-30,ALL
1.47,1.15455,2004-06-30,ALL
1.44,1.40682,2004-03-31,ALL
1.06,1.04333,2003-12-31,ALL
0.91,0.88333,2003-09-30,ALL
0.85,0.74947,2003-06-30,ALL
0.95,0.7845,2003-03-31,ALL
0.87,0.76706,2002-12-31,ALL
0.77,0.68444,2002-09-30,ALL
0.64,0.5825,2002-06-30,ALL
0.68,0.5775,2002-03-31,ALL
