actual,estimate,period,symbol
6.47,4.03,2019-12-31,AMZN
4.23,4.62,2019-09-30,AMZN
5.22,5.57,2019-06-30,AMZN
7.09,4.72,2019-03-31,AMZN
6.04,5.68009,2018-12-31,AMZN
5.75,3.14245,2018-09-30,AMZN
5.07,2.53705,2018-06-30,AMZN
3.27,1.25933,2018-03-31,AMZN
2.16,1.8409,2017-12-31,AMZN
0.52,0.02955,2017-09-30,AMZN
0.4,1.41891,2017-06-30,AMZN
1.48,1.08465,2017-03-31,AMZN
1.54,1.34687,2016-12-31,AMZN
0.52,0.77908,2016-09-30,AMZN
1.78,1.108,2016-06-30,AMZN
1.07,0.58976,2016-03-31,AMZN
1.0,1.57137,2015-12-31,AMZN
0.17,-0.13561,2015-09-30,AMZN
0.19,-0.13847,2015-06-30,AMZN
-0.12,-0.12241,2015-03-31,AMZN
0.45,0.16781,2014-12-31,AMZN
-0.95,-0.74459,2014-09-30,AMZN
-0.27,-0.14557,2014-06-30,AMZN
0.23,0.22806,2014-03-31,AMZN
0.51,0.66185,2013-12-31,AMZN
-0.09,-0.08797,2013-09-30,AMZN
-0.02,0.05359,2013-06-30,AMZN
0.18,0.078,2013-03-31,AMZN
0.21,0.27851,2012-12-31,AMZN
-0.23,-0.07895,2012-09-30,AMZN
0.16,0.02442,2012-06-30,AMZN
0.28,0.07121,2012-03-31,AMZN
0.38,0.16749,2011-12-31,AMZN
0.14,0.24429,2011-09-30,AMZN
0.41,0.34959,2011-06-30,AMZN
0.44,0.60531,2011-03-31,AMZN
0.91,0.88328,2010-12-31,AMZN
0.51,0.47452,2010-09-30,AMZN
0.45,0.53807,2010-06-30,AMZN
0.66,0.606,2010-03-31,AMZN
0.85,0.71939,2009-12-31,AMZN
0.45,0.32714,2009-09-30,AMZN
0.32,0.31148,2009-06-30,AMZN
0.41,0.30929,2009-03-31,AMZN
0.52,0.39037,2008-12-31,AMZN
0.27,0.24619,2008-09-30,AMZN
0.37,0.26046,2008-06-30,AMZN
0.34,0.32348,2008-03-31,AMZN
0.48,0.47682,2007-12-31,AMZN
0.19,0.1813,2007-09-30,AMZN
0.19,0.15773,2007-06-30,AMZN
0.26,0.15429,2007-03-31,AMZN
0.23,0.2113,2006-12-31,AMZN
0.05,0.03322,2006-09-30,AMZN
0.05,0.06476,2006-06-30,AMZN
0.12,0.11722,2006-03-31,AMZN
0.47,0.21278,2005-12-31,AMZN
0.07,0.09917,2005-09-30,AMZN
0.12,0.10539,2005-06-30,AMZN
0.18,0.2275,2005-03-31,AMZN
0.35,0.39864,2004-12-31,AMZN
0.17,0.1775,2004-09-30,AMZN
0.18,0.1895,2004-06-30,AMZN
0.23,0.19684,2004-03-31,AMZN
0.29,0.28938,2003-12-31,AMZN
0.11,0.09769,2003-09-30,AMZN
0.1,0.06077,2003-06-30,AMZN
0.1,0.04214,2003-03-31,AMZN
0.19,0.14308,2002-12-31,AMZN
0.0,-0.04333,2002-09-30,AMZN
-0.01,-0.05563,2002-06-30,AMZN
-0.01,-0.09263,2002-03-31,AMZN
