actual,estimate,period,symbol
2.03,2.01,2019-12-31,AXP
2.08,2.03,2019-09-30,AXP
2.07,2.04,2019-06-30,AXP
2.01,1.98,2019-03-31,AXP
1.74,1.79804,2018-12-31,AXP
1.88,1.76629,2018-09-30,AXP
1.84,1.82331,2018-06-30,AXP
1.86,1.70654,2018-03-31,AXP
1.58,1.53925,2017-12-31,AXP
1.5,1.47631,2017-09-30,AXP
1.47,1.43485,2017-06-30,AXP
1.34,1.27657,2017-03-31,AXP
0.88,0.97759,2016-12-31,AXP
1.2,0.96682,2016-09-30,AXP
2.1,1.94789,2016-06-30,AXP
1.43,1.3473,2016-03-31,AXP
1.23,1.1227,2015-12-31,AXP
1.24,1.311,2015-09-30,AXP
1.42,1.32087,2015-06-30,AXP
1.48,1.36539,2015-03-31,AXP
1.22,1.38186,2014-12-31,AXP
1.4,1.36465,2014-09-30,AXP
1.38,1.37867,2014-06-30,AXP
1.33,1.29572,2014-03-31,AXP
1.25,1.2559,2013-12-31,AXP
1.25,1.22162,2013-09-30,AXP
1.27,1.21904,2013-06-30,AXP
1.15,1.12261,2013-03-31,AXP
1.09,1.08682,2012-12-31,AXP
1.09,1.0872,2012-09-30,AXP
1.15,1.09321,2012-06-30,AXP
1.07,1.00438,2012-03-31,AXP
1.01,0.98462,2011-12-31,AXP
1.03,0.9618,2011-09-30,AXP
1.07,0.988,2011-06-30,AXP
0.97,0.92908,2011-03-31,AXP
0.94,0.96631,2010-12-31,AXP
0.9,0.86422,2010-09-30,AXP
0.84,0.7779,2010-06-30,AXP
0.73,0.63455,2010-03-31,AXP
0.59,0.57391,2009-12-31,AXP
0.54,0.37857,2009-09-30,AXP
0.09,0.26,2009-06-30,AXP
0.32,0.117,2009-03-31,AXP
0.21,0.22277,2008-12-31,AXP
0.74,0.58714,2008-09-30,AXP
0.56,0.82813,2008-06-30,AXP
0.84,0.80688,2008-03-31,AXP
0.71,0.70733,2007-12-31,AXP
0.9,0.84938,2007-09-30,AXP
0.88,0.85647,2007-06-30,AXP
0.88,0.79526,2007-03-31,AXP
0.76,0.76714,2006-12-31,AXP
0.78,0.75737,2006-09-30,AXP
0.78,0.74421,2006-06-30,AXP
0.7,0.69316,2006-03-31,AXP
0.6,0.59005,2005-12-31,AXP
0.69,0.67993,2005-09-30,AXP
0.81,0.77909,2005-06-30,AXP
0.75,0.75087,2005-03-31,AXP
0.71,0.70364,2004-12-31,AXP
0.69,0.6925,2004-09-30,AXP
0.68,0.67111,2004-06-30,AXP
0.66,0.62111,2004-03-31,AXP
0.6,0.58546,2003-12-31,AXP
0.59,0.58136,2003-09-30,AXP
0.59,0.56762,2003-06-30,AXP
0.53,0.51944,2003-03-31,AXP
0.52,0.51263,2002-12-31,AXP
0.52,0.50895,2002-09-30,AXP
0.51,0.5,2002-06-30,AXP
0.46,0.42722,2002-03-31,AXP
