actual,estimate,period,symbol
8.34,7.69,2019-12-31,BLK
7.15,6.96,2019-09-30,BLK
6.41,6.5,2019-06-30,BLK
6.61,6.13,2019-03-31,BLK
6.08,6.27208,2018-12-31,BLK
7.52,6.84315,2018-09-30,BLK
6.66,6.55192,2018-06-30,BLK
6.7,6.38662,2018-03-31,BLK
6.24,6.02164,2017-12-31,BLK
5.92,5.55714,2017-09-30,BLK
5.24,5.39731,2017-06-30,BLK
4.76,4.894,2017-03-31,BLK
5.14,5.02207,2016-12-31,BLK
5.14,4.99719,2016-09-30,BLK
4.78,4.7755,2016-06-30,BLK
4.25,4.29206,2016-03-31,BLK
4.75,4.80132,2015-12-31,BLK
5.0,4.56774,2015-09-30,BLK
4.96,4.79978,2015-06-30,BLK
4.89,4.52294,2015-03-31,BLK
4.82,4.67468,2014-12-31,BLK
5.21,4.66,2014-09-30,BLK
4.89,4.4634,2014-06-30,BLK
4.43,4.10926,2014-03-31,BLK
4.92,4.3325,2013-12-31,BLK
3.88,3.88215,2013-09-30,BLK
4.15,3.81896,2013-06-30,BLK
3.65,3.57625,2013-03-31,BLK
3.96,3.7292,2012-12-31,BLK
3.47,3.31632,2012-09-30,BLK
3.1,3.00789,2012-06-30,BLK
3.16,3.0355,2012-03-31,BLK
3.06,2.98618,2011-12-31,BLK
2.83,2.60623,2011-09-30,BLK
3.0,2.87575,2011-06-30,BLK
2.96,2.76767,2011-03-31,BLK
3.42,2.90477,2010-12-31,BLK
2.75,2.45767,2010-09-30,BLK
2.37,2.2944,2010-06-30,BLK
2.4,2.4475,2010-03-31,BLK
2.39,2.104,2009-12-31,BLK
2.1,1.933,2009-09-30,BLK
1.75,1.5825,2009-06-30,BLK
0.81,0.805,2009-03-31,BLK
0.68,0.987,2008-12-31,BLK
1.71,1.87556,2008-09-30,BLK
2.14,1.966,2008-06-30,BLK
1.9,2.00111,2008-03-31,BLK
2.52,2.14667,2007-12-31,BLK
2.29,1.91333,2007-09-30,BLK
1.8,1.675,2007-06-30,BLK
1.59,1.61714,2007-03-31,BLK
1.61,1.54,2006-12-31,BLK
1.06,1.145,2006-09-30,BLK
1.19,1.16667,2006-06-30,BLK
1.23,1.116,2006-03-31,BLK
1.21,1.05743,2005-12-31,BLK
1.03,0.97,2005-09-30,BLK
0.91,0.90333,2005-06-30,BLK
0.89,0.805,2005-03-31,BLK
0.75,0.72429,2004-12-31,BLK
0.56,0.56,2004-09-30,BLK
0.71,0.702,2004-06-30,BLK
0.71,0.752,2004-03-31,BLK
0.63,0.628,2003-12-31,BLK
0.61,0.6,2003-09-30,BLK
0.58,0.572,2003-06-30,BLK
0.54,0.53667,2003-03-31,BLK
0.52,0.51429,2002-12-31,BLK
0.51,0.50571,2002-09-30,BLK
0.53,0.49286,2002-06-30,BLK
0.48,0.46167,2002-03-31,BLK
