actual,estimate,period,symbol
0.73,0.73,2019-12-31,CL
0.71,0.7,2019-09-30,CL
0.72,0.72,2019-06-30,CL
0.67,0.66,2019-03-31,CL
0.74,0.73322,2018-12-31,CL
0.72,0.72329,2018-09-30,CL
0.77,0.77053,2018-06-30,CL
0.74,0.7245,2018-03-31,CL
0.75,0.75405,2017-12-31,CL
0.73,0.73259,2017-09-30,CL
0.72,0.72056,2017-06-30,CL
0.67,0.66,2017-03-31,CL
0.75,0.75071,2016-12-31,CL
0.73,0.72888,2016-09-30,CL
0.7,0.68665,2016-06-30,CL
0.63,0.63058,2016-03-31,CL
0.73,0.7221,2015-12-31,CL
0.72,0.72105,2015-09-30,CL
0.7,0.70416,2015-06-30,CL
0.66,0.65833,2015-03-31,CL
0.76,0.74419,2014-12-31,CL
0.76,0.75519,2014-09-30,CL
0.73,0.73435,2014-06-30,CL
0.68,0.68239,2014-03-31,CL
0.75,0.73841,2013-12-31,CL
0.73,0.72679,2013-09-30,CL
0.7,0.7014,2013-06-30,CL
0.66,0.65867,2013-03-31,CL
0.705,0.7005,2012-12-31,CL
0.69,0.69075,2012-09-30,CL
0.665,0.66595,2012-06-30,CL
0.62,0.6195,2012-03-31,CL
0.65,0.64659,2011-12-31,CL
0.655,0.65095,2011-09-30,CL
0.63,0.62386,2011-06-30,CL
0.58,0.57977,2011-03-31,CL
0.62,0.61565,2010-12-31,CL
0.605,0.59333,2010-09-30,CL
0.585,0.5825,2010-06-30,CL
0.58,0.59321,2010-03-31,CL
0.605,0.5875,2009-12-31,CL
0.56,0.55531,2009-09-30,CL
0.535,0.52433,2009-06-30,CL
0.485,0.48133,2009-03-31,CL
0.5,0.48893,2008-12-31,CL
0.495,0.49133,2008-09-30,CL
0.49,0.47094,2008-06-30,CL
0.45,0.44344,2008-03-31,CL
0.455,0.44563,2007-12-31,CL
0.43,0.42368,2007-09-30,CL
0.42,0.4175,2007-06-30,CL
0.385,0.38611,2007-03-31,CL
0.39,0.38444,2006-12-31,CL
0.365,0.36059,2006-09-30,CL
0.36,0.36081,2006-06-30,CL
0.34,0.33028,2006-03-31,CL
0.345,0.341,2005-12-31,CL
0.335,0.33441,2005-09-30,CL
0.335,0.33471,2005-06-30,CL
0.305,0.30677,2005-03-31,CL
0.295,0.29294,2004-12-31,CL
0.29,0.29147,2004-09-30,CL
0.33,0.33235,2004-06-30,CL
0.295,0.29382,2004-03-31,CL
0.325,0.31677,2003-12-31,CL
0.315,0.31625,2003-09-30,CL
0.31,0.30923,2003-06-30,CL
0.28,0.27333,2003-03-31,CL
0.295,0.28955,2002-12-31,CL
0.285,0.28458,2002-09-30,CL
0.275,0.27,2002-06-30,CL
0.245,0.24667,2002-03-31,CL
