actual,estimate,period,symbol
1.53,1.44,2019-12-31,DIS
1.07,0.95,2019-09-30,DIS
1.35,1.75,2019-06-30,DIS
1.61,1.58,2019-03-31,DIS
1.84,1.54642,2018-12-31,DIS
1.48,1.336,2018-09-30,DIS
1.87,1.95081,2018-06-30,DIS
1.84,1.69516,2018-03-31,DIS
1.89,1.6078,2017-12-31,DIS
1.07,1.12593,2017-09-30,DIS
1.58,1.55355,2017-06-30,DIS
1.5,1.41176,2017-03-31,DIS
1.55,1.4906,2016-12-31,DIS
1.1,1.15545,2016-09-30,DIS
1.62,1.60771,2016-06-30,DIS
1.36,1.39747,2016-03-31,DIS
1.63,1.44853,2015-12-31,DIS
1.2,1.14079,2015-09-30,DIS
1.45,1.41738,2015-06-30,DIS
1.23,1.10535,2015-03-31,DIS
1.27,1.06959,2014-12-31,DIS
0.89,0.88623,2014-09-30,DIS
1.28,1.16693,2014-06-30,DIS
1.11,0.95878,2014-03-31,DIS
1.04,0.91532,2013-12-31,DIS
0.77,0.75725,2013-09-30,DIS
1.03,1.01197,2013-06-30,DIS
0.79,0.76859,2013-03-31,DIS
0.79,0.76088,2012-12-31,DIS
0.68,0.67937,2012-09-30,DIS
1.01,0.92778,2012-06-30,DIS
0.58,0.55262,2012-03-31,DIS
0.8,0.71464,2011-12-31,DIS
0.59,0.54393,2011-09-30,DIS
0.78,0.7276,2011-06-30,DIS
0.49,0.56783,2011-03-31,DIS
0.68,0.55723,2010-12-31,DIS
0.45,0.4637,2010-09-30,DIS
0.67,0.58244,2010-06-30,DIS
0.48,0.4548,2010-03-31,DIS
0.47,0.38286,2009-12-31,DIS
0.46,0.40654,2009-09-30,DIS
0.52,0.50344,2009-06-30,DIS
0.43,0.40408,2009-03-31,DIS
0.41,0.51,2008-12-31,DIS
0.43,0.49,2008-09-30,DIS
0.62,0.60957,2008-06-30,DIS
0.58,0.50692,2008-03-31,DIS
0.63,0.52238,2007-12-31,DIS
0.42,0.408,2007-09-30,DIS
0.58,0.54833,2007-06-30,DIS
0.43,0.37591,2007-03-31,DIS
0.49,0.39318,2006-12-31,DIS
0.36,0.33737,2006-09-30,DIS
0.53,0.44046,2006-06-30,DIS
0.37,0.30826,2006-03-31,DIS
0.35,0.29722,2005-12-31,DIS
0.23,0.17788,2005-09-30,DIS
0.42,0.384,2005-06-30,DIS
0.32,0.31674,2005-03-31,DIS
0.34,0.28952,2004-12-31,DIS
0.19,0.175,2004-09-30,DIS
0.31,0.26667,2004-06-30,DIS
0.26,0.2068,2004-03-31,DIS
0.33,0.22905,2003-12-31,DIS
0.17,0.1532,2003-09-30,DIS
0.19,0.16177,2003-06-30,DIS
0.11,0.11304,2003-03-31,DIS
0.17,0.155,2002-12-31,DIS
0.11,0.10625,2002-09-30,DIS
0.17,0.16619,2002-06-30,DIS
0.13,0.10429,2002-03-31,DIS
