actual,estimate,period,symbol
2.52,2.51,2019-12-31,EA
0.97,0.86,2019-09-30,EA
0.25,0.01,2019-06-30,EA
1.31,0.98,2019-03-31,EA
1.95,1.93693,2018-12-31,EA
0.86,0.58431,2018-09-30,EA
0.13,0.05935,2018-06-30,EA
1.31,1.1617,2018-03-31,EA
2.18,2.19115,2017-12-31,EA
0.65,0.54139,2017-09-30,EA
0.36,0.26959,2017-06-30,EA
0.85,0.74677,2017-03-31,EA
2.48,2.2993,2016-12-31,EA
0.56,0.43121,2016-09-30,EA
0.07,-0.02385,2016-06-30,EA
0.5,0.42233,2016-03-31,EA
1.83,1.80815,2015-12-31,EA
0.65,0.44895,2015-09-30,EA
0.15,0.02633,2015-06-30,EA
0.39,0.2523,2015-03-31,EA
1.22,0.92359,2014-12-31,EA
0.73,0.52959,2014-09-30,EA
0.19,-0.03622,2014-06-30,EA
0.48,0.107,2014-03-31,EA
1.26,1.23204,2013-12-31,EA
0.33,0.12038,2013-09-30,EA
-0.4,-0.59732,2013-06-30,EA
0.55,0.57458,2013-03-31,EA
0.57,0.55954,2012-12-31,EA
0.15,0.10692,2012-09-30,EA
-0.41,-0.42148,2012-06-30,EA
0.17,0.16121,2012-03-31,EA
0.99,0.92626,2011-12-31,EA
0.05,-0.04044,2011-09-30,EA
-0.37,-0.3895,2011-06-30,EA
0.25,0.21739,2011-03-31,EA
0.59,0.56435,2010-12-31,EA
0.1,-0.10375,2010-09-30,EA
-0.24,-0.35042,2010-06-30,EA
0.07,0.05077,2010-03-31,EA
0.33,0.30963,2009-12-31,EA
0.06,0.07154,2009-09-30,EA
-0.02,-0.13,2009-06-30,EA
-0.37,-0.42522,2009-03-31,EA
0.56,0.88217,2008-12-31,EA
-0.06,-0.0555,2008-09-30,EA
-0.42,-0.3395,2008-06-30,EA
0.09,0.00714,2008-03-31,EA
0.9,0.89636,2007-12-31,EA
0.27,0.19739,2007-09-30,EA
-0.22,-0.34625,2007-06-30,EA
0.06,0.015,2007-03-31,EA
0.63,0.56926,2006-12-31,EA
0.21,0.01762,2006-09-30,EA
-0.12,-0.24455,2006-06-30,EA
0.14,0.08926,2006-03-31,EA
0.86,0.9,2005-12-31,EA
0.15,0.0487,2005-09-30,EA
-0.18,-0.23652,2005-06-30,EA
0.09,0.09381,2005-03-31,EA
1.23,1.18083,2004-12-31,EA
0.31,0.34571,2004-09-30,EA
0.08,0.04762,2004-06-30,EA
0.25,0.2087,2004-03-31,EA
1.26,1.20391,2003-12-31,EA
0.25,0.2215,2003-09-30,EA
0.065,0.01167,2003-06-30,EA
0.2,0.1695,2003-03-31,EA
0.895,0.78587,2002-12-31,EA
0.17,0.08432,2002-09-30,EA
0.03,-0.04079,2002-06-30,EA
0.195,0.14026,2002-03-31,EA
