actual,estimate,period,symbol
2.11,1.9,2019-12-31,EL
1.67,1.6,2019-09-30,EL
0.64,0.53,2019-06-30,EL
1.55,1.3,2019-03-31,EL
1.74,1.54592,2018-12-31,EL
1.41,1.22367,2018-09-30,EL
0.61,0.56104,2018-06-30,EL
1.17,1.06632,2018-03-31,EL
1.52,1.44136,2017-12-31,EL
1.21,0.96919,2017-09-30,EL
0.51,0.43095,2017-06-30,EL
0.91,0.7281,2017-03-31,EL
1.22,1.17105,2016-12-31,EL
0.84,0.802,2016-09-30,EL
0.43,0.39835,2016-06-30,EL
0.73,0.60943,2016-03-31,EL
1.22,1.10671,2015-12-31,EL
0.82,0.69681,2015-09-30,EL
0.4,0.34225,2015-06-30,EL
0.72,0.5107,2015-03-31,EL
1.13,1.04586,2014-12-31,EL
0.59,0.55248,2014-09-30,EL
0.66,0.56033,2014-06-30,EL
0.64,0.549,2014-03-31,EL
1.09,1.06282,2013-12-31,EL
0.76,0.73158,2013-09-30,EL
0.28,0.21256,2013-06-30,EL
0.45,0.33805,2013-03-31,EL
1.02,1.04542,2012-12-31,EL
0.79,0.76667,2012-09-30,EL
0.17,0.16059,2012-06-30,EL
0.38,0.33353,2012-03-31,EL
1.01,1.01158,2011-12-31,EL
0.705,0.59059,2011-09-30,EL
0.125,0.12167,2011-06-30,EL
0.355,0.285,2011-03-31,EL
0.885,0.72237,2010-12-31,EL
0.485,0.385,2010-09-30,EL
0.145,0.14765,2010-06-30,EL
0.17,0.16235,2010-03-31,EL
0.64,0.60618,2009-12-31,EL
0.425,0.16912,2009-09-30,EL
0.1,0.09971,2009-06-30,EL
0.08,0.024,2009-03-31,EL
0.4,0.38458,2008-12-31,EL
0.13,0.11143,2008-09-30,EL
0.305,0.28167,2008-06-30,EL
0.23,0.233,2008-03-31,EL
0.57,0.568,2007-12-31,EL
0.1,0.05118,2007-09-30,EL
0.225,0.24938,2007-06-30,EL
0.225,0.22969,2007-03-31,EL
0.495,0.37844,2006-12-31,EL
0.135,0.09333,2006-09-30,EL
0.255,0.23923,2006-06-30,EL
0.22,0.19375,2006-03-31,EL
0.35,0.27964,2005-12-31,EL
0.14,0.15815,2005-09-30,EL
0.21,0.20682,2005-06-30,EL
0.23,0.25333,2005-03-31,EL
0.3,0.2865,2004-12-31,EL
0.205,0.18556,2004-09-30,EL
0.155,0.16063,2004-06-30,EL
0.215,0.17625,2004-03-31,EL
0.27,0.2425,2003-12-31,EL
0.165,0.16167,2003-09-30,EL
0.13,0.13167,2003-06-30,EL
0.165,0.14071,2003-03-31,EL
0.22,0.20214,2002-12-31,EL
0.14,0.13,2002-09-30,EL
0.095,0.09,2002-06-30,EL
0.095,0.09546,2002-03-31,EL
