actual,estimate,period,symbol
1.3,1.67,2019-12-31,GILD
1.75,1.74,2019-09-30,GILD
1.82,1.72,2019-06-30,GILD
1.76,1.61,2019-03-31,GILD
1.44,1.69955,2018-12-31,GILD
1.84,1.63333,2018-09-30,GILD
1.91,1.563,2018-06-30,GILD
1.48,1.66805,2018-03-31,GILD
1.78,1.67359,2017-12-31,GILD
2.27,2.12581,2017-09-30,GILD
2.56,2.15447,2017-06-30,GILD
2.23,2.28077,2017-03-31,GILD
2.7,2.60587,2016-12-31,GILD
2.75,2.85548,2016-09-30,GILD
3.08,3.01846,2016-06-30,GILD
3.03,3.14757,2016-03-31,GILD
3.32,2.99605,2015-12-31,GILD
3.22,2.86778,2015-09-30,GILD
3.15,2.71105,2015-06-30,GILD
2.94,2.32319,2015-03-31,GILD
2.43,2.22279,2014-12-31,GILD
2.05,1.91904,2014-09-30,GILD
2.36,1.79036,2014-06-30,GILD
1.48,0.9144,2014-03-31,GILD
0.55,0.50286,2013-12-31,GILD
0.52,0.48194,2013-09-30,GILD
0.5,0.4996,2013-06-30,GILD
0.48,0.495,2013-03-31,GILD
0.5,0.47556,2012-12-31,GILD
0.5,0.46923,2012-09-30,GILD
0.495,0.47539,2012-06-30,GILD
0.455,0.4674,2012-03-31,GILD
0.485,0.52346,2011-12-31,GILD
0.51,0.5025,2011-09-30,GILD
0.5,0.4972,2011-06-30,GILD
0.435,0.48453,2011-03-31,GILD
0.475,0.47328,2010-12-31,GILD
0.45,0.43688,2010-09-30,GILD
0.425,0.43316,2010-06-30,GILD
0.495,0.47975,2010-03-31,GILD
0.465,0.42318,2009-12-31,GILD
0.39,0.3365,2009-09-30,GILD
0.345,0.30818,2009-06-30,GILD
0.33,0.29733,2009-03-31,GILD
0.3,0.27182,2008-12-31,GILD
0.26,0.24524,2008-09-30,GILD
0.23,0.23975,2008-06-30,GILD
0.255,0.23917,2008-03-31,GILD
0.205,0.19878,2007-12-31,GILD
0.21,0.19712,2007-09-30,GILD
0.21,0.195,2007-06-30,GILD
0.2125,0.19929,2007-03-31,GILD
0.195,0.17029,2006-12-31,GILD
0.16,0.1406,2006-09-30,GILD
0.14,0.13477,2006-06-30,GILD
0.1375,0.13462,2006-03-31,GILD
0.135,0.13188,2005-12-31,GILD
0.095,0.09131,2005-09-30,GILD
0.1025,0.09036,2005-06-30,GILD
0.085,0.07296,2005-03-31,GILD
0.0625,0.0581,2004-12-31,GILD
0.0625,0.05403,2004-09-30,GILD
0.06125,0.04413,2004-06-30,GILD
0.05625,0.04141,2004-03-31,GILD
0.0525,0.05191,2003-12-31,GILD
0.035,0.0437,2003-09-30,GILD
0.0575,0.05507,2003-06-30,GILD
0.03,0.01934,2003-03-31,GILD
0.02125,0.01867,2002-12-31,GILD
0.0225,0.00867,2002-09-30,GILD
0.0125,0.00521,2002-06-30,GILD
-0.0025,-0.00745,2002-03-31,GILD
