actual,estimate,period,symbol
2.53,2.52,2019-12-31,HD
3.17,3.08,2019-09-30,HD
2.27,2.18,2019-06-30,HD
2.25,2.16,2019-03-31,HD
2.51,2.2612,2018-12-31,HD
3.05,2.84053,2018-09-30,HD
2.08,2.04952,2018-06-30,HD
1.69,1.64077,2018-03-31,HD
1.87,1.82224,2017-12-31,HD
2.25,2.21585,2017-09-30,HD
1.67,1.61752,2017-06-30,HD
1.44,1.33579,2017-03-31,HD
1.6,1.57892,2016-12-31,HD
1.97,1.97139,2016-09-30,HD
1.44,1.35584,2016-06-30,HD
1.17,1.10348,2016-03-31,HD
1.36,1.32054,2015-12-31,HD
1.71,1.70663,2015-09-30,HD
1.16,1.14937,2015-06-30,HD
1.0,0.89237,2015-03-31,HD
1.11,1.13219,2014-12-31,HD
1.52,1.44782,2014-09-30,HD
0.96,0.985,2014-06-30,HD
0.73,0.71159,2014-03-31,HD
0.95,0.89535,2013-12-31,HD
1.24,1.20912,2013-09-30,HD
0.83,0.765,2013-06-30,HD
0.67,0.644,2013-03-31,HD
0.74,0.70296,2012-12-31,HD
1.01,0.97385,2012-09-30,HD
0.65,0.65039,2012-06-30,HD
0.5,0.42231,2012-03-31,HD
0.6,0.58333,2011-12-31,HD
0.86,0.8284,2011-09-30,HD
0.5,0.49391,2011-06-30,HD
0.36,0.3052,2011-03-31,HD
0.51,0.4788,2010-12-31,HD
0.72,0.70522,2010-09-30,HD
0.45,0.40192,2010-06-30,HD
0.24,0.165,2010-03-31,HD
0.41,0.35759,2009-12-31,HD
0.64,0.59041,2009-09-30,HD
0.35,0.28667,2009-06-30,HD
0.19,0.15435,2009-03-31,HD
0.45,0.38417,2008-12-31,HD
0.71,0.6081,2008-09-30,HD
0.41,0.36952,2008-06-30,HD
0.4,0.43,2008-03-31,HD
0.59,0.59556,2007-12-31,HD
0.77,0.71938,2007-09-30,HD
0.48,0.591,2007-06-30,HD
0.5,0.5005,2007-03-31,HD
0.73,0.75182,2006-12-31,HD
0.9,0.92053,2006-09-30,HD
0.7,0.67,2006-06-30,HD
0.6,0.55909,2006-03-31,HD
0.72,0.67783,2005-12-31,HD
0.82,0.79455,2005-09-30,HD
0.57,0.55227,2005-06-30,HD
0.47,0.47458,2005-03-31,HD
0.6,0.56539,2004-12-31,HD
0.7,0.6432,2004-09-30,HD
0.49,0.43261,2004-06-30,HD
0.42,0.39077,2004-03-31,HD
0.5,0.46231,2003-12-31,HD
0.56,0.5436,2003-09-30,HD
0.39,0.36577,2003-06-30,HD
0.3,0.2713,2003-03-31,HD
0.4,0.40044,2002-12-31,HD
0.5,0.4715,2002-09-30,HD
0.36,0.3305,2002-06-30,HD
0.3,0.28476,2002-03-31,HD
