actual,estimate,period,symbol
4.71,4.68,2019-12-31,IBM
2.68,2.67,2019-09-30,IBM
3.17,3.07,2019-06-30,IBM
2.25,2.22,2019-03-31,IBM
4.87,4.81706,2018-12-31,IBM
3.42,3.39678,2018-09-30,IBM
3.08,3.04206,2018-06-30,IBM
2.45,2.41653,2018-03-31,IBM
5.18,5.17437,2017-12-31,IBM
3.3,3.27614,2017-09-30,IBM
2.79,2.74182,2017-06-30,IBM
2.38,2.35,2017-03-31,IBM
5.01,4.8795,2016-12-31,IBM
3.29,3.234,2016-09-30,IBM
2.95,2.88568,2016-06-30,IBM
2.35,2.09379,2016-03-31,IBM
4.84,4.81142,2015-12-31,IBM
3.34,3.30247,2015-09-30,IBM
3.84,3.78342,2015-06-30,IBM
2.91,2.79967,2015-03-31,IBM
5.81,5.40975,2014-12-31,IBM
3.68,4.31484,2014-09-30,IBM
4.32,4.29222,2014-06-30,IBM
2.46,2.5386,2014-03-31,IBM
6.13,5.99036,2013-12-31,IBM
3.99,3.9563,2013-09-30,IBM
3.91,3.76733,2013-06-30,IBM
3.0,3.04891,2013-03-31,IBM
5.39,5.24978,2012-12-31,IBM
3.62,3.61332,2012-09-30,IBM
3.51,3.42286,2012-06-30,IBM
2.78,2.65405,2012-03-31,IBM
4.71,4.62163,2011-12-31,IBM
3.28,3.22073,2011-09-30,IBM
3.09,3.0287,2011-06-30,IBM
2.41,2.29727,2011-03-31,IBM
4.18,4.07909,2010-12-31,IBM
2.82,2.748,2010-09-30,IBM
2.61,2.58579,2010-06-30,IBM
1.97,1.93387,2010-03-31,IBM
3.59,3.46909,2009-12-31,IBM
2.4,2.38136,2009-09-30,IBM
2.32,2.01952,2009-06-30,IBM
1.7,1.66111,2009-03-31,IBM
3.28,3.03,2008-12-31,IBM
2.05,2.02556,2008-09-30,IBM
1.98,1.81824,2008-06-30,IBM
1.65,1.44533,2008-03-31,IBM
2.8,2.68188,2007-12-31,IBM
1.68,1.67294,2007-09-30,IBM
1.5,1.47,2007-06-30,IBM
1.21,1.207,2007-03-31,IBM
2.26,2.18909,2006-12-31,IBM
1.45,1.35278,2006-09-30,IBM
1.3,1.29056,2006-06-30,IBM
1.08,1.046,2006-03-31,IBM
2.11,1.93864,2005-12-31,IBM
1.26,1.1344,2005-09-30,IBM
1.12,1.03118,2005-06-30,IBM
0.85,0.89722,2005-03-31,IBM
1.81,1.7565,2004-12-31,IBM
1.17,1.14286,2004-09-30,IBM
1.16,1.12191,2004-06-30,IBM
0.93,0.93286,2004-03-31,IBM
1.56,1.495,2003-12-31,IBM
1.02,1.02,2003-09-30,IBM
0.97,0.97909,2003-06-30,IBM
0.79,0.79684,2003-03-31,IBM
1.34,1.30182,2002-12-31,IBM
0.99,0.96191,2002-09-30,IBM
0.89,0.827,2002-06-30,IBM
0.68,0.6765,2002-03-31,IBM
