actual,estimate,period,symbol
0.41,0.25,2019-12-31,INTU
-0.09,-0.14,2019-09-30,INTU
5.55,5.4,2019-06-30,INTU
1.0,0.86,2019-03-31,INTU
0.29,0.11161,2018-12-31,INTU
0.32,0.23016,2018-09-30,INTU
4.82,4.67595,2018-06-30,INTU
0.35,0.34,2018-03-31,INTU
0.11,0.04533,2017-12-31,INTU
0.2,0.16788,2017-09-30,INTU
3.9,3.87335,2017-06-30,INTU
0.26,0.24692,2017-03-31,INTU
0.06,0.02995,2016-12-31,INTU
0.08,-0.01811,2016-09-30,INTU
3.43,3.21075,2016-06-30,INTU
0.25,0.19118,2016-03-31,INTU
0.09,-0.03667,2015-12-31,INTU
-0.05,-0.11471,2015-09-30,INTU
2.85,2.73529,2015-06-30,INTU
-0.06,-0.12647,2015-03-31,INTU
-0.1,-0.20438,2014-12-31,INTU
-0.01,0.0725,2014-09-30,INTU
3.53,3.49977,2014-06-30,INTU
0.02,0.01623,2014-03-31,INTU
-0.06,-0.09479,2013-12-31,INTU
0.0,-0.00443,2013-09-30,INTU
2.97,2.92763,2013-06-30,INTU
0.33,0.30159,2013-03-31,INTU
-0.03,-0.06253,2012-12-31,INTU
0.03,0.06065,2012-09-30,INTU
2.51,2.47929,2012-06-30,INTU
0.51,0.45376,2012-03-31,INTU
-0.1,-0.12211,2011-12-31,INTU
0.02,0.00155,2011-09-30,INTU
2.33,2.27482,2011-06-30,INTU
0.32,0.30352,2011-03-31,INTU
-0.12,-0.117,2010-12-31,INTU
-0.05,-0.09965,2010-09-30,INTU
1.89,1.81765,2010-06-30,INTU
0.38,0.315,2010-03-31,INTU
-0.1,-0.15688,2009-12-31,INTU
-0.1,-0.12,2009-09-30,INTU
1.68,1.60714,2009-06-30,INTU
0.34,0.26833,2009-03-31,INTU
-0.09,-0.12,2008-12-31,INTU
-0.08,-0.07833,2008-09-30,INTU
1.39,1.333,2008-06-30,INTU
0.4,0.36333,2008-03-31,INTU
-0.1,-0.12167,2007-12-31,INTU
-0.02,-0.05417,2007-09-30,INTU
1.13,1.07833,2007-06-30,INTU
0.45,0.42222,2007-03-31,INTU
-0.12,-0.125,2006-12-31,INTU
-0.03,-0.03778,2006-09-30,INTU
0.895,0.88167,2006-06-30,INTU
0.485,0.476,2006-03-31,INTU
-0.13,-0.1525,2005-12-31,INTU
-0.04,-0.05,2005-09-30,INTU
0.775,0.77346,2005-06-30,INTU
0.41,0.378,2005-03-31,INTU
-0.115,-0.1325,2004-12-31,INTU
-0.03,-0.03735,2004-09-30,INTU
0.6,0.57824,2004-06-30,INTU
0.385,0.34867,2004-03-31,INTU
-0.12,-0.1325,2003-12-31,INTU
-0.025,-0.03731,2003-09-30,INTU
3.15,0.5075,2003-06-30,INTU
1.83,0.285,2003-03-31,INTU
-0.63,-0.11546,2002-12-31,INTU
-0.045,-0.06,2002-09-30,INTU
0.375,0.35955,2002-06-30,INTU
0.305,0.28714,2002-03-31,INTU
