actual,estimate,period,symbol
1.09,1.02,2019-12-31,IP
1.09,0.99,2019-09-30,IP
1.15,0.99,2019-06-30,IP
1.11,0.91,2019-03-31,IP
1.65,1.59057,2018-12-31,IP
1.56,1.48071,2018-09-30,IP
1.19,1.09013,2018-06-30,IP
0.94,0.88857,2018-03-31,IP
1.27,1.1886,2017-12-31,IP
1.08,1.05654,2017-09-30,IP
0.65,0.64627,2017-06-30,IP
0.6,0.56164,2017-03-31,IP
0.73,0.71194,2016-12-31,IP
0.91,0.93394,2016-09-30,IP
0.92,0.84231,2016-06-30,IP
0.8,0.69213,2016-03-31,IP
0.87,0.81881,2015-12-31,IP
0.97,0.90833,2015-09-30,IP
0.97,0.92361,2015-06-30,IP
0.84,0.80095,2015-03-31,IP
0.53,0.53276,2014-12-31,IP
0.95,0.90021,2014-09-30,IP
0.95,0.83219,2014-06-30,IP
0.61,0.54906,2014-03-31,IP
0.83,0.86894,2013-12-31,IP
1.05,0.92535,2013-09-30,IP
0.64,0.55941,2013-06-30,IP
0.65,0.73659,2013-03-31,IP
0.69,0.65214,2012-12-31,IP
0.75,0.77,2012-09-30,IP
0.46,0.45867,2012-06-30,IP
0.57,0.49929,2012-03-31,IP
0.66,0.60833,2011-12-31,IP
0.92,0.79818,2011-09-30,IP
0.8,0.66917,2011-06-30,IP
0.74,0.58615,2011-03-31,IP
0.68,0.65385,2010-12-31,IP
0.91,0.78583,2010-09-30,IP
0.42,0.40846,2010-06-30,IP
0.04,0.04231,2010-03-31,IP
0.24,0.22857,2009-12-31,IP
0.37,0.23786,2009-09-30,IP
0.2,0.00333,2009-06-30,IP
0.08,-0.03818,2009-03-31,IP
0.21,0.19182,2008-12-31,IP
0.84,0.76917,2008-09-30,IP
0.56,0.391,2008-06-30,IP
0.41,0.50462,2008-03-31,IP
0.69,0.64786,2007-12-31,IP
0.57,0.57214,2007-09-30,IP
0.52,0.54071,2007-06-30,IP
0.45,0.404,2007-03-31,IP
0.47,0.35,2006-12-31,IP
0.39,0.4325,2006-09-30,IP
0.41,0.33462,2006-06-30,IP
0.19,0.15385,2006-03-31,IP
0.12,0.07077,2005-12-31,IP
0.33,0.23567,2005-09-30,IP
0.31,0.27188,2005-06-30,IP
0.34,0.30286,2005-03-31,IP
0.42,0.43267,2004-12-31,IP
0.43,0.45267,2004-09-30,IP
0.41,0.37933,2004-06-30,IP
0.16,0.14733,2004-03-31,IP
0.23,0.18286,2003-12-31,IP
0.24,0.25231,2003-09-30,IP
0.19,0.16909,2003-06-30,IP
0.14,0.12222,2003-03-31,IP
0.33,0.268,2002-12-31,IP
0.32,0.30818,2002-09-30,IP
0.35,0.204,2002-06-30,IP
0.12,0.07182,2002-03-31,IP
