actual,estimate,period,symbol
1.88,1.87,2019-12-31,JNJ
2.12,2.01,2019-09-30,JNJ
2.58,2.46,2019-06-30,JNJ
2.1,2.03,2019-03-31,JNJ
1.97,1.95181,2018-12-31,JNJ
2.05,2.02856,2018-09-30,JNJ
2.1,2.07011,2018-06-30,JNJ
2.06,2.01829,2018-03-31,JNJ
1.74,1.72342,2017-12-31,JNJ
1.9,1.8017,2017-09-30,JNJ
1.83,1.79526,2017-06-30,JNJ
1.83,1.77228,2017-03-31,JNJ
1.58,1.5641,2016-12-31,JNJ
1.68,1.657,2016-09-30,JNJ
1.74,1.6803,2016-06-30,JNJ
1.68,1.64635,2016-03-31,JNJ
1.44,1.41905,2015-12-31,JNJ
1.49,1.45167,2015-09-30,JNJ
1.71,1.6706,2015-06-30,JNJ
1.56,1.54,2015-03-31,JNJ
1.27,1.25512,2014-12-31,JNJ
1.5,1.44513,2014-09-30,JNJ
1.66,1.5485,2014-06-30,JNJ
1.54,1.47669,2014-03-31,JNJ
1.24,1.20088,2013-12-31,JNJ
1.36,1.32324,2013-09-30,JNJ
1.48,1.392,2013-06-30,JNJ
1.44,1.4,2013-03-31,JNJ
1.19,1.1685,2012-12-31,JNJ
1.25,1.21167,2012-09-30,JNJ
1.3,1.29048,2012-06-30,JNJ
1.37,1.35313,2012-03-31,JNJ
1.13,1.09316,2011-12-31,JNJ
1.24,1.20824,2011-09-30,JNJ
1.28,1.24211,2011-06-30,JNJ
1.35,1.26125,2011-03-31,JNJ
1.03,1.02625,2010-12-31,JNJ
1.23,1.14889,2010-09-30,JNJ
1.21,1.2075,2010-06-30,JNJ
1.29,1.27353,2010-03-31,JNJ
1.02,0.97375,2009-12-31,JNJ
1.2,1.13294,2009-09-30,JNJ
1.15,1.11588,2009-06-30,JNJ
1.26,1.22231,2009-03-31,JNJ
0.94,0.92071,2008-12-31,JNJ
1.17,1.11267,2008-09-30,JNJ
1.18,1.12357,2008-06-30,JNJ
1.26,1.20375,2008-03-31,JNJ
0.88,0.86263,2007-12-31,JNJ
1.06,0.99471,2007-09-30,JNJ
1.05,1.0,2007-06-30,JNJ
1.16,1.05091,2007-03-31,JNJ
0.81,0.79476,2006-12-31,JNJ
0.98,0.92773,2006-09-30,JNJ
0.98,0.97227,2006-06-30,JNJ
0.99,0.98294,2006-03-31,JNJ
0.73,0.72579,2005-12-31,JNJ
0.87,0.858,2005-09-30,JNJ
0.93,0.909,2005-06-30,JNJ
0.97,0.92177,2005-03-31,JNJ
0.67,0.64,2004-12-31,JNJ
0.78,0.75778,2004-09-30,JNJ
0.82,0.79,2004-06-30,JNJ
0.83,0.79647,2004-03-31,JNJ
0.57,0.563,2003-12-31,JNJ
0.69,0.68316,2003-09-30,JNJ
0.7,0.69333,2003-06-30,JNJ
0.69,0.67588,2003-03-31,JNJ
0.46,0.47143,2002-12-31,JNJ
0.57,0.59111,2002-09-30,JNJ
0.6,0.58222,2002-06-30,JNJ
0.59,0.57889,2002-03-31,JNJ
