actual,estimate,period,symbol
0.91,0.85,2019-12-31,K
1.03,0.91,2019-09-30,K
0.99,0.92,2019-06-30,K
1.01,0.95,2019-03-31,K
0.91,0.88328,2018-12-31,K
1.06,1.06432,2018-09-30,K
1.14,1.04926,2018-06-30,K
1.23,1.07879,2018-03-31,K
0.96,0.9569,2017-12-31,K
1.05,0.94044,2017-09-30,K
0.97,0.91822,2017-06-30,K
1.06,0.99182,2017-03-31,K
0.92,0.84806,2016-12-31,K
0.96,0.87194,2016-09-30,K
0.91,0.907,2016-06-30,K
0.97,0.94172,2016-03-31,K
0.79,0.74461,2015-12-31,K
0.85,0.83561,2015-09-30,K
0.92,0.91771,2015-06-30,K
0.98,0.91463,2015-03-31,K
0.84,0.92567,2014-12-31,K
0.94,0.92053,2014-09-30,K
1.02,1.01806,2014-06-30,K
1.01,0.97235,2014-03-31,K
0.83,0.82137,2013-12-31,K
0.95,0.89426,2013-09-30,K
1.0,0.97484,2013-06-30,K
0.99,1.02111,2013-03-31,K
0.65,0.65571,2012-12-31,K
0.82,0.8,2012-09-30,K
0.84,0.84273,2012-06-30,K
0.95,0.99167,2012-03-31,K
0.64,0.62421,2011-12-31,K
0.8,0.888,2011-09-30,K
0.94,0.9105,2011-06-30,K
1.0,1.03684,2011-03-31,K
0.51,0.51105,2010-12-31,K
0.9,0.89737,2010-09-30,K
0.79,0.94412,2010-06-30,K
1.09,0.93941,2010-03-31,K
0.46,0.48438,2009-12-31,K
0.94,0.83722,2009-09-30,K
0.92,0.82722,2009-06-30,K
0.84,0.78588,2009-03-31,K
0.47,0.50188,2008-12-31,K
0.89,0.80353,2008-09-30,K
0.82,0.81188,2008-06-30,K
0.81,0.76059,2008-03-31,K
0.44,0.436,2007-12-31,K
0.76,0.72765,2007-09-30,K
0.75,0.70316,2007-06-30,K
0.8,0.683,2007-03-31,K
0.45,0.46474,2006-12-31,K
0.7,0.65313,2006-09-30,K
0.67,0.65059,2006-06-30,K
0.68,0.63067,2006-03-31,K
0.47,0.45769,2005-12-31,K
0.66,0.63813,2005-09-30,K
0.62,0.6175,2005-06-30,K
0.61,0.6,2005-03-31,K
0.45,0.45,2004-12-31,K
0.59,0.55286,2004-09-30,K
0.57,0.53563,2004-06-30,K
0.53,0.52071,2004-03-31,K
0.46,0.46,2003-12-31,K
0.56,0.515,2003-09-30,K
0.5,0.46765,2003-06-30,K
0.4,0.38933,2003-03-31,K
0.47,0.46929,2002-12-31,K
0.49,0.48077,2002-09-30,K
0.42,0.42308,2002-06-30,K
0.35,0.34714,2002-03-31,K
