actual,estimate,period,symbol
0.44,0.44,2019-12-31,KO
0.56,0.56,2019-09-30,KO
0.63,0.61,2019-06-30,KO
0.48,0.46,2019-03-31,KO
0.43,0.42821,2018-12-31,KO
0.58,0.5507,2018-09-30,KO
0.61,0.60115,2018-06-30,KO
0.47,0.45743,2018-03-31,KO
0.39,0.38482,2017-12-31,KO
0.5,0.48752,2017-09-30,KO
0.59,0.57452,2017-06-30,KO
0.43,0.43655,2017-03-31,KO
0.37,0.36611,2016-12-31,KO
0.49,0.48241,2016-09-30,KO
0.6,0.58389,2016-06-30,KO
0.45,0.44285,2016-03-31,KO
0.38,0.37243,2015-12-31,KO
0.51,0.5006,2015-09-30,KO
0.63,0.6013,2015-06-30,KO
0.48,0.4239,2015-03-31,KO
0.44,0.42163,2014-12-31,KO
0.53,0.52635,2014-09-30,KO
0.64,0.63286,2014-06-30,KO
0.44,0.44221,2014-03-31,KO
0.46,0.46265,2013-12-31,KO
0.53,0.53269,2013-09-30,KO
0.63,0.63038,2013-06-30,KO
0.46,0.44643,2013-03-31,KO
0.45,0.43577,2012-12-31,KO
0.51,0.50571,2012-09-30,KO
0.61,0.59429,2012-06-30,KO
0.445,0.43679,2012-03-31,KO
0.395,0.38643,2011-12-31,KO
0.515,0.50769,2011-09-30,KO
0.585,0.58067,2011-06-30,KO
0.43,0.434,2011-03-31,KO
0.36,0.35781,2010-12-31,KO
0.46,0.44615,2010-09-30,KO
0.53,0.51458,2010-06-30,KO
0.4,0.37292,2010-03-31,KO
0.33,0.33227,2009-12-31,KO
0.41,0.40727,2009-09-30,KO
0.46,0.4455,2009-06-30,KO
0.325,0.3235,2009-03-31,KO
0.32,0.3065,2008-12-31,KO
0.415,0.38409,2008-09-30,KO
0.505,0.47909,2008-06-30,KO
0.335,0.3125,2008-03-31,KO
0.29,0.275,2007-12-31,KO
0.355,0.34167,2007-09-30,KO
0.425,0.40923,2007-06-30,KO
0.28,0.26536,2007-03-31,KO
0.26,0.25033,2006-12-31,KO
0.31,0.29594,2006-09-30,KO
0.37,0.35853,2006-06-30,KO
0.245,0.24088,2006-03-31,KO
0.23,0.2228,2005-12-31,KO
0.285,0.26294,2005-09-30,KO
0.34,0.32125,2005-06-30,KO
0.235,0.21618,2005-03-31,KO
0.23,0.19912,2004-12-31,KO
0.25,0.23382,2004-09-30,KO
0.32,0.31706,2004-06-30,KO
0.23,0.217,2004-03-31,KO
0.23,0.22263,2003-12-31,KO
0.275,0.26118,2003-09-30,KO
0.285,0.27,2003-06-30,KO
0.185,0.18611,2003-03-31,KO
0.2,0.19794,2002-12-31,KO
0.24,0.23933,2002-09-30,KO
0.26,0.26,2002-06-30,KO
0.185,0.18958,2002-03-31,KO
