actual,estimate,period,symbol
1.73,1.52,2019-12-31,LLY
1.48,1.4,2019-09-30,LLY
1.5,1.45,2019-06-30,LLY
1.33,1.31,2019-03-31,LLY
1.33,1.33942,2018-12-31,LLY
1.39,1.35008,2018-09-30,LLY
1.5,1.29567,2018-06-30,LLY
1.34,1.13281,2018-03-31,LLY
1.14,1.07394,2017-12-31,LLY
1.05,1.02756,2017-09-30,LLY
1.11,1.053,2017-06-30,LLY
0.98,0.96306,2017-03-31,LLY
0.95,0.97825,2016-12-31,LLY
0.88,0.95779,2016-09-30,LLY
0.86,0.85779,2016-06-30,LLY
0.83,0.84753,2016-03-31,LLY
0.78,0.77968,2015-12-31,LLY
0.89,0.75917,2015-09-30,LLY
0.9,0.73778,2015-06-30,LLY
0.87,0.76638,2015-03-31,LLY
0.75,0.73479,2014-12-31,LLY
0.66,0.66906,2014-09-30,LLY
0.68,0.6522,2014-06-30,LLY
0.7,0.7046,2014-03-31,LLY
0.74,0.74112,2013-12-31,LLY
1.11,1.037,2013-09-30,LLY
1.16,1.00438,2013-06-30,LLY
1.14,1.05131,2013-03-31,LLY
0.85,0.78438,2012-12-31,LLY
0.79,0.82933,2012-09-30,LLY
0.83,0.77177,2012-06-30,LLY
0.92,0.78188,2012-03-31,LLY
0.87,0.80765,2011-12-31,LLY
1.13,1.1275,2011-09-30,LLY
1.18,1.18353,2011-06-30,LLY
1.24,1.16778,2011-03-31,LLY
1.11,1.09706,2010-12-31,LLY
1.21,1.15158,2010-09-30,LLY
1.24,1.10316,2010-06-30,LLY
37.76,1.10353,2010-03-31,LLY
0.91,0.91889,2009-12-31,LLY
1.2,1.0175,2009-09-30,LLY
1.12,1.0225,2009-06-30,LLY
1.2,0.99267,2009-03-31,LLY
1.07,1.04714,2008-12-31,LLY
1.04,1.02231,2008-09-30,LLY
0.99,0.995,2008-06-30,LLY
0.92,0.958,2008-03-31,LLY
0.9,0.89235,2007-12-31,LLY
0.91,0.87389,2007-09-30,LLY
0.9,0.82474,2007-06-30,LLY
0.84,0.78737,2007-03-31,LLY
0.85,0.81684,2006-12-31,LLY
0.8,0.79,2006-09-30,LLY
0.76,0.75304,2006-06-30,LLY
0.77,0.74909,2006-03-31,LLY
0.8,0.78042,2005-12-31,LLY
0.73,0.70958,2005-09-30,LLY
0.67,0.665,2005-06-30,LLY
0.68,0.65875,2005-03-31,LLY
0.75,0.735,2004-12-31,LLY
0.69,0.67957,2004-09-30,LLY
0.68,0.67739,2004-06-30,LLY
0.7,0.66053,2004-03-31,LLY
0.67,0.67042,2003-12-31,LLY
0.66,0.66217,2003-09-30,LLY
0.64,0.60435,2003-06-30,LLY
0.61,0.57565,2003-03-31,LLY
0.68,0.68292,2002-12-31,LLY
0.68,0.68417,2002-09-30,LLY
0.61,0.61318,2002-06-30,LLY
0.58,0.57591,2002-03-31,LLY
