actual,estimate,period,symbol
5.29,5.03,2019-12-31,LMT
5.66,5.02,2019-09-30,LMT
5.0,4.77,2019-06-30,LMT
5.99,4.34,2019-03-31,LMT
4.39,4.40047,2018-12-31,LMT
5.14,4.30689,2018-09-30,LMT
4.31,3.92344,2018-06-30,LMT
4.02,3.39589,2018-03-31,LMT
3.87,4.06522,2017-12-31,LMT
3.24,3.2605,2017-09-30,LMT
3.23,3.11144,2017-06-30,LMT
3.0,2.79016,2017-03-31,LMT
3.25,3.05461,2016-12-31,LMT
3.27,2.87469,2016-09-30,LMT
3.28,2.92613,2016-06-30,LMT
2.58,2.59078,2016-03-31,LMT
2.87,2.94039,2015-12-31,LMT
2.84,2.72111,2015-09-30,LMT
2.94,2.6635,2015-06-30,LMT
2.74,2.50059,2015-03-31,LMT
3.01,2.84667,2014-12-31,LMT
2.76,2.71171,2014-09-30,LMT
2.76,2.66024,2014-06-30,LMT
2.87,2.5333,2014-03-31,LMT
2.04,1.9521,2013-12-31,LMT
2.57,2.26279,2013-09-30,LMT
2.64,2.2026,2013-06-30,LMT
2.33,2.038,2013-03-31,LMT
1.91,1.821,2012-12-31,LMT
2.21,1.84682,2012-09-30,LMT
2.38,1.91273,2012-06-30,LMT
2.02,1.70333,2012-03-31,LMT
2.14,1.94261,2011-12-31,LMT
1.99,1.81182,2011-09-30,LMT
2.14,1.92591,2011-06-30,LMT
1.55,1.50762,2011-03-31,LMT
2.3,2.10957,2010-12-31,LMT
1.55,1.5315,2010-09-30,LMT
1.96,1.78048,2010-06-30,LMT
1.42,1.34,2010-03-31,LMT
2.17,1.98714,2009-12-31,LMT
2.07,1.83091,2009-09-30,LMT
1.88,1.8095,2009-06-30,LMT
1.68,1.642,2009-03-31,LMT
2.05,1.91722,2008-12-31,LMT
1.92,1.89053,2008-09-30,LMT
2.15,1.882,2008-06-30,LMT
1.75,1.63167,2008-03-31,LMT
1.89,1.69238,2007-12-31,LMT
1.8,1.6395,2007-09-30,LMT
1.82,1.5265,2007-06-30,LMT
1.6,1.37476,2007-03-31,LMT
1.68,1.45524,2006-12-31,LMT
1.46,1.23952,2006-09-30,LMT
1.34,1.16,2006-06-30,LMT
1.34,1.13889,2006-03-31,LMT
1.29,1.14947,2005-12-31,LMT
0.96,0.902,2005-09-30,LMT
1.02,0.82833,2005-06-30,LMT
0.83,0.7525,2005-03-31,LMT
0.83,0.74533,2004-12-31,LMT
0.69,0.65474,2004-09-30,LMT
0.66,0.61294,2004-06-30,LMT
0.65,0.52714,2004-03-31,LMT
0.77,0.75588,2003-12-31,LMT
0.48,0.575,2003-09-30,LMT
0.54,0.52444,2003-06-30,LMT
0.55,0.42353,2003-03-31,LMT
0.85,0.80923,2002-12-31,LMT
0.66,0.65231,2002-09-30,LMT
0.58,0.56571,2002-06-30,LMT
0.5,0.472,2002-03-31,LMT
