actual,estimate,period,symbol
1.41,1.35,2019-12-31,LOW
2.15,2.01,2019-09-30,LOW
1.22,1.33,2019-06-30,LOW
0.8,0.77,2019-03-31,LOW
1.04,0.975,2018-12-31,LOW
2.07,2.01671,2018-09-30,LOW
1.19,1.2159,2018-06-30,LOW
0.74,0.87421,2018-03-31,LOW
1.05,1.02457,2017-12-31,LOW
1.57,1.61304,2017-09-30,LOW
1.03,1.06086,2017-06-30,LOW
0.86,0.78611,2017-03-31,LOW
0.88,0.95996,2016-12-31,LOW
1.37,1.41537,2016-09-30,LOW
0.87,0.84775,2016-06-30,LOW
0.59,0.5934,2016-03-31,LOW
0.8,0.77704,2015-12-31,LOW
1.2,1.23542,2015-09-30,LOW
0.7,0.73963,2015-06-30,LOW
0.46,0.43452,2015-03-31,LOW
0.59,0.58178,2014-12-31,LOW
1.04,1.02329,2014-09-30,LOW
0.58,0.59811,2014-06-30,LOW
0.31,0.30777,2014-03-31,LOW
0.47,0.48169,2013-12-31,LOW
0.88,0.78962,2013-09-30,LOW
0.49,0.50615,2013-06-30,LOW
0.26,0.2316,2013-03-31,LOW
0.4,0.35192,2012-12-31,LOW
0.65,0.7,2012-09-30,LOW
0.44,0.4212,2012-06-30,LOW
0.29,0.235,2012-03-31,LOW
0.35,0.32682,2011-12-31,LOW
0.68,0.66292,2011-09-30,LOW
0.34,0.3613,2011-06-30,LOW
0.21,0.17708,2011-03-31,LOW
0.31,0.2996,2010-12-31,LOW
0.58,0.58577,2010-09-30,LOW
0.34,0.308,2010-06-30,LOW
0.14,0.12148,2010-03-31,LOW
0.24,0.23964,2009-12-31,LOW
0.53,0.53654,2009-09-30,LOW
0.32,0.25273,2009-06-30,LOW
0.11,0.12091,2009-03-31,LOW
0.33,0.28333,2008-12-31,LOW
0.64,0.5581,2008-09-30,LOW
0.41,0.396,2008-06-30,LOW
0.28,0.2515,2008-03-31,LOW
0.43,0.41444,2007-12-31,LOW
0.67,0.61053,2007-09-30,LOW
0.48,0.492,2007-06-30,LOW
0.4,0.36667,2007-03-31,LOW
0.46,0.43286,2006-12-31,LOW
0.6,0.60526,2006-09-30,LOW
0.53,0.4685,2006-06-30,LOW
0.435,0.39819,2006-03-31,LOW
0.405,0.38614,2005-12-31,LOW
0.525,0.5081,2005-09-30,LOW
0.37,0.37783,2005-06-30,LOW
0.32,0.2966,2005-03-31,LOW
0.33,0.32604,2004-12-31,LOW
0.445,0.45289,2004-09-30,LOW
0.285,0.27125,2004-06-30,LOW
0.25,0.248,2004-03-31,LOW
0.28,0.2664,2003-12-31,LOW
0.375,0.3452,2003-09-30,LOW
0.265,0.26063,2003-06-30,LOW
0.2,0.1658,2003-03-31,LOW
0.215,0.20109,2002-12-31,LOW
0.295,0.27095,2002-09-30,LOW
0.22,0.18091,2002-06-30,LOW
0.14,0.12652,2002-03-31,LOW
