actual,estimate,period,symbol
1.97,1.96,2019-12-31,MCD
2.11,2.21,2019-09-30,MCD
2.05,2.05,2019-06-30,MCD
1.72,1.75,2019-03-31,MCD
1.97,1.88792,2018-12-31,MCD
2.1,1.99333,2018-09-30,MCD
1.99,1.92197,2018-06-30,MCD
1.79,1.67118,2018-03-31,MCD
1.71,1.5869,2017-12-31,MCD
1.76,1.77,2017-09-30,MCD
1.73,1.61714,2017-06-30,MCD
1.47,1.33444,2017-03-31,MCD
1.43,1.41207,2016-12-31,MCD
1.62,1.48446,2016-09-30,MCD
1.45,1.38441,2016-06-30,MCD
1.23,1.16367,2016-03-31,MCD
1.31,1.2326,2015-12-31,MCD
1.4,1.2748,2015-09-30,MCD
1.29,1.23452,2015-06-30,MCD
1.01,1.05775,2015-03-31,MCD
1.13,1.218,2014-12-31,MCD
1.36,1.366,2014-09-30,MCD
1.4,1.43772,2014-06-30,MCD
1.21,1.23783,2014-03-31,MCD
1.4,1.39329,2013-12-31,MCD
1.52,1.507,2013-09-30,MCD
1.38,1.40307,2013-06-30,MCD
1.26,1.26593,2013-03-31,MCD
1.38,1.33071,2012-12-31,MCD
1.43,1.47385,2012-09-30,MCD
1.32,1.37462,2012-06-30,MCD
1.23,1.23,2012-03-31,MCD
1.33,1.296,2011-12-31,MCD
1.45,1.42769,2011-09-30,MCD
1.35,1.28435,2011-06-30,MCD
1.15,1.1413,2011-03-31,MCD
1.16,1.15522,2010-12-31,MCD
1.29,1.24524,2010-09-30,MCD
1.13,1.11857,2010-06-30,MCD
1.03,0.96316,2010-03-31,MCD
1.03,1.017,2009-12-31,MCD
1.15,1.10947,2009-09-30,MCD
0.97,0.96667,2009-06-30,MCD
0.83,0.81765,2009-03-31,MCD
0.87,0.82933,2008-12-31,MCD
1.05,0.97667,2008-09-30,MCD
0.94,0.85667,2008-06-30,MCD
0.81,0.69667,2008-03-31,MCD
0.73,0.70688,2007-12-31,MCD
0.83,0.82857,2007-09-30,MCD
0.71,0.70933,2007-06-30,MCD
0.62,0.61556,2007-03-31,MCD
0.61,0.60944,2006-12-31,MCD
0.68,0.68067,2006-09-30,MCD
0.67,0.61563,2006-06-30,MCD
0.49,0.49313,2006-03-31,MCD
0.48,0.48235,2005-12-31,MCD
0.58,0.57964,2005-09-30,MCD
0.42,0.42,2005-06-30,MCD
0.56,0.43,2005-03-31,MCD
0.45,0.45722,2004-12-31,MCD
0.61,0.61,2004-09-30,MCD
0.47,0.46556,2004-06-30,MCD
0.4,0.4,2004-03-31,MCD
0.35,0.3495,2003-12-31,MCD
0.43,0.40222,2003-09-30,MCD
0.37,0.37067,2003-06-30,MCD
0.29,0.28067,2003-03-31,MCD
0.25,0.25267,2002-12-31,MCD
0.38,0.39,2002-09-30,MCD
0.39,0.38056,2002-06-30,MCD
0.31,0.29333,2002-03-31,MCD
