actual,estimate,period,symbol
1.31,1.28,2019-12-31,MDT
1.26,1.18,2019-09-30,MDT
1.54,1.46,2019-06-30,MDT
1.29,1.24,2019-03-31,MDT
1.22,1.1467,2018-12-31,MDT
1.17,1.11232,2018-09-30,MDT
1.42,1.38538,2018-06-30,MDT
1.17,1.16557,2018-03-31,MDT
1.07,0.9831,2017-12-31,MDT
1.12,1.08409,2017-09-30,MDT
1.33,1.31286,2017-06-30,MDT
1.12,1.10652,2017-03-31,MDT
1.12,1.11044,2016-12-31,MDT
1.03,1.01179,2016-09-30,MDT
1.27,1.26413,2016-06-30,MDT
1.06,1.05955,2016-03-31,MDT
1.03,1.0003,2015-12-31,MDT
1.02,1.012,2015-09-30,MDT
1.16,1.10832,2015-06-30,MDT
1.01,0.969,2015-03-31,MDT
0.96,0.96045,2014-12-31,MDT
0.93,0.92142,2014-09-30,MDT
1.12,1.12248,2014-06-30,MDT
0.91,0.91205,2014-03-31,MDT
0.91,0.90165,2013-12-31,MDT
0.88,0.8807,2013-09-30,MDT
1.1,1.03044,2013-06-30,MDT
0.93,0.914,2013-03-31,MDT
0.88,0.88292,2012-12-31,MDT
0.85,0.85,2012-09-30,MDT
0.99,0.97958,2012-06-30,MDT
0.84,0.84077,2012-03-31,MDT
0.84,0.81862,2011-12-31,MDT
0.79,0.79231,2011-09-30,MDT
0.9,0.92462,2011-06-30,MDT
0.86,0.83577,2011-03-31,MDT
0.82,0.8131,2010-12-31,MDT
0.8,0.80474,2010-09-30,MDT
0.9,0.88179,2010-06-30,MDT
0.77,0.75704,2010-03-31,MDT
0.77,0.74179,2009-12-31,MDT
0.79,0.78458,2009-09-30,MDT
0.82,0.82391,2009-06-30,MDT
0.71,0.6981,2009-03-31,MDT
0.67,0.70783,2008-12-31,MDT
0.72,0.69227,2008-09-30,MDT
0.78,0.72539,2008-06-30,MDT
0.63,0.6128,2008-03-31,MDT
0.58,0.56333,2007-12-31,MDT
0.62,0.61952,2007-09-30,MDT
0.66,0.62261,2007-06-30,MDT
0.61,0.57931,2007-03-31,MDT
0.59,0.55969,2006-12-31,MDT
0.55,0.54212,2006-09-30,MDT
0.62,0.6215,2006-06-30,MDT
0.55,0.55323,2006-03-31,MDT
0.54,0.54231,2005-12-31,MDT
0.5,0.49387,2005-09-30,MDT
0.53,0.53182,2005-06-30,MDT
0.46,0.45543,2005-03-31,MDT
0.44,0.45171,2004-12-31,MDT
0.43,0.4303,2004-09-30,MDT
0.48,0.46097,2004-06-30,MDT
0.4,0.39969,2004-03-31,MDT
0.39,0.391,2003-12-31,MDT
0.37,0.37067,2003-09-30,MDT
0.4,0.39893,2003-06-30,MDT
0.35,0.35107,2003-03-31,MDT
0.34,0.34087,2002-12-31,MDT
0.32,0.32091,2002-09-30,MDT
0.34,0.33962,2002-06-30,MDT
0.3,0.30077,2002-03-31,MDT
