actual,estimate,period,symbol
1.19,1.18,2019-12-31,MMC
0.77,0.7,2019-09-30,MMC
1.18,1.13,2019-06-30,MMC
1.52,1.45,2019-03-31,MMC
1.09,1.04444,2018-12-31,MMC
0.78,0.74559,2018-09-30,MMC
1.1,1.11242,2018-06-30,MMC
1.38,1.30205,2018-03-31,MMC
1.05,0.9439,2017-12-31,MMC
0.79,0.78111,2017-09-30,MMC
1.0,1.00478,2017-06-30,MMC
1.0,0.98247,2017-03-31,MMC
0.89,0.83691,2016-12-31,MMC
0.69,0.6821,2016-09-30,MMC
0.91,0.90324,2016-06-30,MMC
0.92,0.88321,2016-03-31,MMC
0.71,0.70564,2015-12-31,MMC
0.63,0.59696,2015-09-30,MMC
0.8,0.79429,2015-06-30,MMC
0.91,0.85813,2015-03-31,MMC
0.66,0.65913,2014-12-31,MMC
0.56,0.52186,2014-09-30,MMC
0.79,0.74646,2014-06-30,MMC
0.81,0.80218,2014-03-31,MMC
0.57,0.561,2013-12-31,MMC
0.46,0.45891,2013-09-30,MMC
0.72,0.67252,2013-06-30,MMC
0.73,0.69215,2013-03-31,MMC
0.52,0.52295,2012-12-31,MMC
0.39,0.3789,2012-09-30,MMC
0.61,0.58445,2012-06-30,MMC
0.63,0.6111,2012-03-31,MMC
0.46,0.4519,2011-12-31,MMC
0.24,0.23089,2011-09-30,MMC
0.5,0.48059,2011-06-30,MMC
0.56,0.56412,2011-03-31,MMC
0.41,0.38941,2010-12-31,MMC
0.27,0.27738,2010-09-30,MMC
0.46,0.44308,2010-06-30,MMC
0.51,0.50563,2010-03-31,MMC
0.38,0.368,2009-12-31,MMC
0.48,0.25813,2009-09-30,MMC
0.33,0.32067,2009-06-30,MMC
0.4,0.43357,2009-03-31,MMC
0.37,0.32,2008-12-31,MMC
0.21,0.32286,2008-09-30,MMC
0.41,0.34857,2008-06-30,MMC
0.46,0.45438,2008-03-31,MMC
0.26,0.305,2007-12-31,MMC
0.18,0.32,2007-09-30,MMC
0.29,0.364,2007-06-30,MMC
0.46,0.50412,2007-03-31,MMC
0.39,0.35647,2006-12-31,MMC
0.38,0.3475,2006-09-30,MMC
0.36,0.435,2006-06-30,MMC
0.43,0.52267,2006-03-31,MMC
0.03,0.31314,2005-12-31,MMC
0.35,0.3775,2005-09-30,MMC
0.43,0.41,2005-06-30,MMC
0.52,0.48706,2005-03-31,MMC
-1.28,-0.602,2004-12-31,MMC
0.04,0.6675,2004-09-30,MMC
0.73,0.7175,2004-06-30,MMC
0.94,0.9,2004-03-31,MMC
0.7,0.64938,2003-12-31,MMC
0.65,0.6525,2003-09-30,MMC
0.66,0.638,2003-06-30,MMC
0.81,0.78571,2003-03-31,MMC
0.57,0.57278,2002-12-31,MMC
0.55,0.55235,2002-09-30,MMC
0.6,0.5675,2002-06-30,MMC
0.735,0.73324,2002-03-31,MMC
