actual,estimate,period,symbol
2.15,2.1,2019-12-31,MMM
2.58,2.49,2019-09-30,MMM
2.13,2.05,2019-06-30,MMM
2.23,2.49,2019-03-31,MMM
2.31,2.28014,2018-12-31,MMM
2.58,2.70227,2018-09-30,MMM
2.59,2.58285,2018-06-30,MMM
2.5,2.5035,2018-03-31,MMM
2.1,2.0088,2017-12-31,MMM
2.33,2.20785,2017-09-30,MMM
2.25,2.54308,2017-06-30,MMM
2.16,2.06433,2017-03-31,MMM
1.88,1.87194,2016-12-31,MMM
2.15,2.13913,2016-09-30,MMM
2.08,2.06688,2016-06-30,MMM
2.05,1.92356,2016-03-31,MMM
1.66,1.62527,2015-12-31,MMM
2.05,2.00193,2015-09-30,MMM
2.02,1.99569,2015-06-30,MMM
1.95,1.92493,2015-03-31,MMM
1.81,1.79533,2014-12-31,MMM
1.98,1.96385,2014-09-30,MMM
1.91,1.90792,2014-06-30,MMM
1.79,1.79521,2014-03-31,MMM
1.62,1.61569,2013-12-31,MMM
1.78,1.7542,2013-09-30,MMM
1.71,1.70467,2013-06-30,MMM
1.61,1.652,2013-03-31,MMM
1.41,1.40857,2012-12-31,MMM
1.65,1.65,2012-09-30,MMM
1.66,1.65267,2012-06-30,MMM
1.63,1.48563,2012-03-31,MMM
1.35,1.30563,2011-12-31,MMM
1.52,1.60625,2011-09-30,MMM
1.6,1.59563,2011-06-30,MMM
1.49,1.43533,2011-03-31,MMM
1.28,1.268,2010-12-31,MMM
1.53,1.51357,2010-09-30,MMM
1.54,1.47615,2010-06-30,MMM
1.4,1.21,2010-03-31,MMM
1.3,1.21143,2009-12-31,MMM
1.37,1.17154,2009-09-30,MMM
1.2,0.94333,2009-06-30,MMM
0.81,0.85583,2009-03-31,MMM
0.97,0.934,2008-12-31,MMM
1.42,1.37769,2008-09-30,MMM
1.39,1.35083,2008-06-30,MMM
1.38,1.35,2008-03-31,MMM
1.19,1.17077,2007-12-31,MMM
1.29,1.28333,2007-09-30,MMM
1.23,1.18154,2007-06-30,MMM
1.28,1.11643,2007-03-31,MMM
1.1,1.14429,2006-12-31,MMM
1.17,1.12286,2006-09-30,MMM
1.05,1.07167,2006-06-30,MMM
1.17,1.14385,2006-03-31,MMM
1.04,1.03357,2005-12-31,MMM
1.1,1.07813,2005-09-30,MMM
1.09,1.08857,2005-06-30,MMM
1.03,1.01067,2005-03-31,MMM
0.91,0.90571,2004-12-31,MMM
0.97,0.97571,2004-09-30,MMM
0.97,0.96286,2004-06-30,MMM
0.9,0.87308,2004-03-31,MMM
0.77,0.75867,2003-12-31,MMM
0.83,0.794,2003-09-30,MMM
0.78,0.75313,2003-06-30,MMM
0.71,0.70067,2003-03-31,MMM
0.645,0.64,2002-12-31,MMM
0.69,0.68818,2002-09-30,MMM
0.68,0.66833,2002-06-30,MMM
0.615,0.59318,2002-03-31,MMM
