actual,estimate,period,symbol
1.16,1.15,2019-12-31,MRK
1.51,1.24,2019-09-30,MRK
1.3,1.16,2019-06-30,MRK
1.22,1.06,2019-03-31,MRK
1.04,1.03373,2018-12-31,MRK
1.19,1.14039,2018-09-30,MRK
1.06,1.03046,2018-06-30,MRK
1.05,0.99938,2018-03-31,MRK
0.98,0.93524,2017-12-31,MRK
1.11,1.032,2017-09-30,MRK
1.01,0.87444,2017-06-30,MRK
0.88,0.83113,2017-03-31,MRK
0.89,0.88872,2016-12-31,MRK
1.07,0.98853,2016-09-30,MRK
0.93,0.9109,2016-06-30,MRK
0.89,0.854,2016-03-31,MRK
0.93,0.911,2015-12-31,MRK
0.96,0.91472,2015-09-30,MRK
0.86,0.811,2015-06-30,MRK
0.85,0.74567,2015-03-31,MRK
0.87,0.85488,2014-12-31,MRK
0.9,0.879,2014-09-30,MRK
0.85,0.80981,2014-06-30,MRK
0.88,0.78587,2014-03-31,MRK
0.88,0.88681,2013-12-31,MRK
0.92,0.87571,2013-09-30,MRK
0.84,0.82625,2013-06-30,MRK
0.85,0.78913,2013-03-31,MRK
0.83,0.81067,2012-12-31,MRK
0.95,0.92333,2012-09-30,MRK
1.05,1.01158,2012-06-30,MRK
0.99,0.97588,2012-03-31,MRK
0.97,0.95118,2011-12-31,MRK
0.94,0.90778,2011-09-30,MRK
0.95,0.94632,2011-06-30,MRK
0.92,0.84444,2011-03-31,MRK
0.88,0.833,2010-12-31,MRK
0.85,0.82412,2010-09-30,MRK
0.86,0.825,2010-06-30,MRK
0.83,0.7475,2010-03-31,MRK
0.79,0.786,2009-12-31,MRK
0.9,0.82308,2009-09-30,MRK
0.83,0.77071,2009-06-30,MRK
0.74,0.77429,2009-03-31,MRK
0.87,0.74231,2008-12-31,MRK
0.8,0.78833,2008-09-30,MRK
0.86,0.82923,2008-06-30,MRK
0.89,0.8625,2008-03-31,MRK
0.8,0.73632,2007-12-31,MRK
0.75,0.68722,2007-09-30,MRK
0.82,0.71947,2007-06-30,MRK
0.84,0.83778,2007-03-31,MRK
0.5,0.50474,2006-12-31,MRK
0.51,0.50053,2006-09-30,MRK
0.73,0.65286,2006-06-30,MRK
0.78,0.723,2006-03-31,MRK
0.64,0.6213,2005-12-31,MRK
0.65,0.62261,2005-09-30,MRK
0.62,0.62318,2005-06-30,MRK
0.62,0.586,2005-03-31,MRK
0.5,0.5024,2004-12-31,MRK
0.6,0.7092,2004-09-30,MRK
0.79,0.7916,2004-06-30,MRK
0.73,0.72211,2004-03-31,MRK
0.62,0.61696,2003-12-31,MRK
0.83,0.84353,2003-09-30,MRK
0.83,0.83708,2003-06-30,MRK
0.76,0.75524,2003-03-31,MRK
0.83,0.82792,2002-12-31,MRK
0.83,0.82652,2002-09-30,MRK
0.77,0.76522,2002-06-30,MRK
0.71,0.7075,2002-03-31,MRK
