actual,estimate,period,symbol
1.51,1.32,2019-12-31,MSFT
1.38,1.24,2019-09-30,MSFT
1.37,1.21,2019-06-30,MSFT
1.14,1.0,2019-03-31,MSFT
1.1,1.09239,2018-12-31,MSFT
1.14,0.96307,2018-09-30,MSFT
1.13,1.07596,2018-06-30,MSFT
0.95,0.84927,2018-03-31,MSFT
0.96,0.86487,2017-12-31,MSFT
0.84,0.72069,2017-09-30,MSFT
0.98,0.70538,2017-06-30,MSFT
0.73,0.69748,2017-03-31,MSFT
0.84,0.79094,2016-12-31,MSFT
0.76,0.68303,2016-09-30,MSFT
0.69,0.58073,2016-06-30,MSFT
0.62,0.63738,2016-03-31,MSFT
0.78,0.7127,2015-12-31,MSFT
0.67,0.58761,2015-09-30,MSFT
0.6,0.563,2015-06-30,MSFT
0.61,0.50643,2015-03-31,MSFT
0.75,0.71333,2014-12-31,MSFT
0.54,0.4855,2014-09-30,MSFT
0.55,0.60209,2014-06-30,MSFT
0.68,0.62952,2014-03-31,MSFT
0.78,0.67764,2013-12-31,MSFT
0.62,0.53897,2013-09-30,MSFT
0.66,0.74966,2013-06-30,MSFT
0.72,0.67941,2013-03-31,MSFT
0.76,0.74558,2012-12-31,MSFT
0.53,0.56035,2012-09-30,MSFT
0.67,0.6176,2012-06-30,MSFT
0.6,0.57483,2012-03-31,MSFT
0.78,0.75781,2011-12-31,MSFT
0.68,0.67769,2011-09-30,MSFT
0.69,0.57556,2011-06-30,MSFT
0.56,0.55586,2011-03-31,MSFT
0.77,0.684,2010-12-31,MSFT
0.62,0.54875,2010-09-30,MSFT
0.51,0.46438,2010-06-30,MSFT
0.45,0.42077,2010-03-31,MSFT
0.74,0.593,2009-12-31,MSFT
0.4,0.31807,2009-09-30,MSFT
0.36,0.3592,2009-06-30,MSFT
0.39,0.38893,2009-03-31,MSFT
0.47,0.49393,2008-12-31,MSFT
0.48,0.47133,2008-09-30,MSFT
0.46,0.47,2008-06-30,MSFT
0.47,0.44033,2008-03-31,MSFT
0.5,0.45733,2007-12-31,MSFT
0.45,0.39,2007-09-30,MSFT
0.39,0.38882,2007-06-30,MSFT
0.49,0.45853,2007-03-31,MSFT
0.26,0.23323,2006-12-31,MSFT
0.35,0.30968,2006-09-30,MSFT
0.31,0.30207,2006-06-30,MSFT
0.32,0.32967,2006-03-31,MSFT
0.33,0.33028,2005-12-31,MSFT
0.31,0.29767,2005-09-30,MSFT
0.32,0.3125,2005-06-30,MSFT
0.32,0.31704,2005-03-31,MSFT
0.35,0.32769,2004-12-31,MSFT
0.31,0.30129,2004-09-30,MSFT
0.28,0.28533,2004-06-30,MSFT
0.34,0.28548,2004-03-31,MSFT
0.34,0.29967,2003-12-31,MSFT
0.3,0.28968,2003-09-30,MSFT
0.23,0.23673,2003-06-30,MSFT
0.27,0.2386,2003-03-31,MSFT
0.265,0.232,2002-12-31,MSFT
0.275,0.21308,2002-09-30,MSFT
0.21,0.20833,2002-06-30,MSFT
0.245,0.25404,2002-03-31,MSFT
