actual,estimate,period,symbol
1.44,1.48,2019-12-31,NEE
2.39,2.29,2019-09-30,NEE
2.35,2.31,2019-06-30,NEE
2.2,2.05,2019-03-31,NEE
1.49,1.53514,2018-12-31,NEE
2.18,2.1465,2018-09-30,NEE
2.11,2.06321,2018-06-30,NEE
1.94,1.83709,2018-03-31,NEE
1.25,1.3085,2017-12-31,NEE
1.85,1.76791,2017-09-30,NEE
1.86,1.75673,2017-06-30,NEE
1.75,1.56231,2017-03-31,NEE
1.21,1.29591,2016-12-31,NEE
1.74,1.6746,2016-09-30,NEE
1.67,1.57392,2016-06-30,NEE
1.55,1.39408,2016-03-31,NEE
1.17,1.08981,2015-12-31,NEE
1.6,1.64867,2015-09-30,NEE
1.56,1.49671,2015-06-30,NEE
1.41,1.26539,2015-03-31,NEE
1.03,1.07407,2014-12-31,NEE
1.55,1.53987,2014-09-30,NEE
1.43,1.43987,2014-06-30,NEE
1.26,1.06967,2014-03-31,NEE
0.95,0.96725,2013-12-31,NEE
1.43,1.39563,2013-09-30,NEE
1.46,1.28394,2013-06-30,NEE
1.12,1.01818,2013-03-31,NEE
1.03,0.95219,2012-12-31,NEE
1.26,1.39813,2012-09-30,NEE
1.26,1.16277,2012-06-30,NEE
1.02,0.97569,2012-03-31,NEE
0.93,0.90536,2011-12-31,NEE
1.31,1.41087,2011-09-30,NEE
1.18,1.08671,2011-06-30,NEE
0.94,0.95207,2011-03-31,NEE
0.8,0.86761,2010-12-31,NEE
1.45,1.42836,2010-09-30,NEE
1.11,1.05747,2010-06-30,NEE
0.94,0.86929,2010-03-31,NEE
0.79,0.75664,2009-12-31,NEE
1.38,1.41214,2009-09-30,NEE
0.99,0.9785,2009-06-30,NEE
0.9,0.775,2009-03-31,NEE
0.9,0.89186,2008-12-31,NEE
1.25,1.3517,2008-09-30,NEE
0.93,0.93111,2008-06-30,NEE
0.76,0.802,2008-03-31,NEE
0.71,0.66818,2007-12-31,NEE
1.23,1.22636,2007-09-30,NEE
0.86,0.79182,2007-06-30,NEE
0.7,0.60583,2007-03-31,NEE
0.63,0.52286,2006-12-31,NEE
1.15,1.06417,2006-09-30,NEE
0.66,0.739,2006-06-30,NEE
0.58,0.485,2006-03-31,NEE
0.46,0.4,2005-12-31,NEE
1.01,0.94706,2005-09-30,NEE
0.66,0.69367,2005-06-30,NEE
0.44,0.428,2005-03-31,NEE
1.9,0.48567,2004-12-31,NEE
0.895,0.93033,2004-09-30,NEE
0.7,0.67708,2004-06-30,NEE
0.39,0.4295,2004-03-31,NEE
0.37,0.36563,2003-12-31,NEE
0.915,0.90033,2003-09-30,NEE
0.675,0.67321,2003-06-30,NEE
0.485,0.41654,2003-03-31,NEE
0.375,0.35364,2002-12-31,NEE
0.895,0.88182,2002-09-30,NEE
0.725,0.64458,2002-06-30,NEE
0.4,0.39539,2002-03-31,NEE
