actual,estimate,period,symbol
0.7,0.58,2019-12-31,NKE
0.86,0.7,2019-09-30,NKE
0.62,0.66,2019-06-30,NKE
0.68,0.65,2019-03-31,NKE
0.52,0.46022,2018-12-31,NKE
0.67,0.62623,2018-09-30,NKE
0.69,0.64067,2018-06-30,NKE
0.68,0.52961,2018-03-31,NKE
0.46,0.4037,2017-12-31,NKE
0.57,0.47969,2017-09-30,NKE
0.6,0.50053,2017-06-30,NKE
0.68,0.52647,2017-03-31,NKE
0.5,0.43067,2016-12-31,NKE
0.73,0.55892,2016-09-30,NKE
0.49,0.48007,2016-06-30,NKE
0.55,0.48479,2016-03-31,NKE
0.45,0.42809,2015-12-31,NKE
0.67,0.59539,2015-09-30,NKE
0.49,0.41641,2015-06-30,NKE
0.445,0.42187,2015-03-31,NKE
0.37,0.35056,2014-12-31,NKE
0.545,0.43864,2014-09-30,NKE
0.39,0.3757,2014-06-30,NKE
0.38,0.35985,2014-03-31,NKE
0.295,0.28904,2013-12-31,NKE
0.43,0.38975,2013-09-30,NKE
0.38,0.3718,2013-06-30,NKE
0.365,0.33475,2013-03-31,NKE
0.285,0.25028,2012-12-31,NKE
0.3075,0.28059,2012-09-30,NKE
0.2925,0.34171,2012-06-30,NKE
0.3,0.29125,2012-03-31,NKE
0.25,0.24162,2011-12-31,NKE
0.34,0.30356,2011-09-30,NKE
0.31,0.29042,2011-06-30,NKE
0.27,0.28054,2011-03-31,NKE
0.235,0.21907,2010-12-31,NKE
0.285,0.25147,2010-09-30,NKE
0.265,0.26389,2010-06-30,NKE
0.2525,0.22236,2010-03-31,NKE
0.19,0.17844,2009-12-31,NKE
0.26,0.24284,2009-09-30,NKE
0.2475,0.23929,2009-06-30,NKE
0.2475,0.19729,2009-03-31,NKE
0.2,0.19425,2008-12-31,NKE
0.2575,0.23056,2008-09-30,NKE
0.245,0.24111,2008-06-30,NKE
0.23,0.20146,2008-03-31,NKE
0.1775,0.16481,2007-12-31,NKE
0.28,0.21789,2007-09-30,NKE
0.215,0.21376,2007-06-30,NKE
0.17125,0.16596,2007-03-31,NKE
0.16,0.14048,2006-12-31,NKE
0.18375,0.1767,2006-09-30,NKE
0.17375,0.17462,2006-06-30,NKE
0.155,0.13729,2006-03-31,NKE
0.1425,0.12834,2005-12-31,NKE
0.20125,0.1775,2005-09-30,NKE
0.1625,0.15902,2005-06-30,NKE
0.12625,0.12346,2005-03-31,NKE
0.12125,0.10813,2004-12-31,NKE
0.15125,0.13837,2004-09-30,NKE
0.14125,0.13539,2004-06-30,NKE
0.0925,0.09115,2004-03-31,NKE
0.0825,0.07673,2003-12-31,NKE
0.1225,0.10982,2003-09-30,NKE
0.115,0.11573,2003-06-30,NKE
0.05875,0.05782,2003-03-31,NKE
0.07125,0.07,2002-12-31,NKE
0.10125,0.09971,2002-09-30,NKE
0.09625,0.09308,2002-06-30,NKE
0.0575,0.05837,2002-03-31,NKE
