actual,estimate,period,symbol
0.9,0.88,2019-12-31,ORCL
0.81,0.81,2019-09-30,ORCL
1.16,1.07,2019-06-30,ORCL
0.87,0.84,2019-03-31,ORCL
0.8,0.78181,2018-12-31,ORCL
0.71,0.68578,2018-09-30,ORCL
0.99,0.94031,2018-06-30,ORCL
0.83,0.72341,2018-03-31,ORCL
0.7,0.68148,2017-12-31,ORCL
0.62,0.60403,2017-09-30,ORCL
0.89,0.78375,2017-06-30,ORCL
0.69,0.61775,2017-03-31,ORCL
0.61,0.6,2016-12-31,ORCL
0.55,0.57878,2016-09-30,ORCL
0.81,0.81484,2016-06-30,ORCL
0.64,0.61918,2016-03-31,ORCL
0.63,0.59697,2015-12-31,ORCL
0.53,0.52169,2015-09-30,ORCL
0.78,0.86431,2015-06-30,ORCL
0.68,0.68271,2015-03-31,ORCL
0.69,0.68318,2014-12-31,ORCL
0.62,0.63912,2014-09-30,ORCL
0.92,0.95463,2014-06-30,ORCL
0.68,0.70109,2014-03-31,ORCL
0.69,0.67168,2013-12-31,ORCL
0.59,0.56091,2013-09-30,ORCL
0.87,0.87355,2013-06-30,ORCL
0.65,0.66389,2013-03-31,ORCL
0.64,0.60968,2012-12-31,ORCL
0.53,0.5306,2012-09-30,ORCL
0.82,0.78165,2012-06-30,ORCL
0.62,0.56081,2012-03-31,ORCL
0.54,0.5699,2011-12-31,ORCL
0.48,0.46465,2011-09-30,ORCL
0.75,0.71261,2011-06-30,ORCL
0.54,0.49546,2011-03-31,ORCL
0.51,0.45749,2010-12-31,ORCL
0.42,0.36515,2010-09-30,ORCL
0.6,0.53953,2010-06-30,ORCL
0.38,0.37464,2010-03-31,ORCL
0.39,0.35759,2009-12-31,ORCL
0.3,0.30107,2009-09-30,ORCL
0.46,0.44231,2009-06-30,ORCL
0.35,0.31609,2009-03-31,ORCL
0.34,0.34208,2008-12-31,ORCL
0.29,0.26682,2008-09-30,ORCL
0.47,0.4395,2008-06-30,ORCL
0.3,0.303,2008-03-31,ORCL
0.31,0.27,2007-12-31,ORCL
0.22,0.2116,2007-09-30,ORCL
0.37,0.34704,2007-06-30,ORCL
0.25,0.2252,2007-03-31,ORCL
0.22,0.22321,2006-12-31,ORCL
0.18,0.16143,2006-09-30,ORCL
0.29,0.2816,2006-06-30,ORCL
0.19,0.18,2006-03-31,ORCL
0.19,0.18972,2005-12-31,ORCL
0.14,0.14029,2005-09-30,ORCL
0.26,0.234,2005-06-30,ORCL
0.16,0.15094,2005-03-31,ORCL
0.16,0.13515,2004-12-31,ORCL
0.1,0.09091,2004-09-30,ORCL
0.19,0.17917,2004-06-30,ORCL
0.12,0.11846,2004-03-31,ORCL
0.12,0.10921,2003-12-31,ORCL
0.08,0.08194,2003-09-30,ORCL
0.16,0.14,2003-06-30,ORCL
0.11,0.09879,2003-03-31,ORCL
0.1,0.08357,2002-12-31,ORCL
0.07,0.07152,2002-09-30,ORCL
0.14,0.11686,2002-06-30,ORCL
0.09,0.09162,2002-03-31,ORCL
