actual,estimate,period,symbol
1.42,1.37,2019-12-31,PG
1.37,1.24,2019-09-30,PG
1.1,1.05,2019-06-30,PG
1.06,1.03,2019-03-31,PG
1.25,1.20965,2018-12-31,PG
1.12,1.09221,2018-09-30,PG
0.94,0.89995,2018-06-30,PG
1.0,0.9828,2018-03-31,PG
1.19,1.14205,2017-12-31,PG
1.09,1.0763,2017-09-30,PG
0.85,0.78263,2017-06-30,PG
0.96,0.9395,2017-03-31,PG
1.08,1.06311,2016-12-31,PG
1.03,0.97718,2016-09-30,PG
0.79,0.744,2016-06-30,PG
0.86,0.81633,2016-03-31,PG
1.04,0.9785,2015-12-31,PG
0.98,0.94588,2015-09-30,PG
1.0,0.9456,2015-06-30,PG
0.92,0.92379,2015-03-31,PG
1.06,1.13032,2014-12-31,PG
1.07,1.07238,2014-09-30,PG
0.95,0.90809,2014-06-30,PG
1.04,1.01491,2014-03-31,PG
1.21,1.19838,2013-12-31,PG
1.05,1.05255,2013-09-30,PG
0.79,0.77,2013-06-30,PG
0.99,0.95663,2013-03-31,PG
1.22,1.1113,2012-12-31,PG
1.06,0.95909,2012-09-30,PG
0.82,0.77,2012-06-30,PG
0.94,0.92895,2012-03-31,PG
1.1,1.08048,2011-12-31,PG
1.03,1.02762,2011-09-30,PG
0.84,0.82409,2011-06-30,PG
0.96,0.96792,2011-03-31,PG
1.13,1.09909,2010-12-31,PG
1.02,0.99571,2010-09-30,PG
0.71,0.7315,2010-06-30,PG
0.89,0.816,2010-03-31,PG
1.49,1.42462,2009-12-31,PG
1.06,0.98733,2009-09-30,PG
0.8,0.78643,2009-06-30,PG
0.84,0.80214,2009-03-31,PG
1.58,1.58308,2008-12-31,PG
1.03,0.98273,2008-09-30,PG
0.92,0.77813,2008-06-30,PG
0.82,0.8075,2008-03-31,PG
0.98,0.96625,2007-12-31,PG
0.92,0.89471,2007-09-30,PG
0.67,0.66063,2007-06-30,PG
0.74,0.74125,2007-03-31,PG
0.84,0.83438,2006-12-31,PG
0.79,0.78,2006-09-30,PG
0.55,0.53588,2006-06-30,PG
0.63,0.6075,2006-03-31,PG
0.72,0.68625,2005-12-31,PG
0.77,0.75833,2005-09-30,PG
0.56,0.55412,2005-06-30,PG
0.63,0.61438,2005-03-31,PG
0.74,0.72,2004-12-31,PG
0.73,0.71867,2004-09-30,PG
0.5,0.48429,2004-06-30,PG
0.545,0.53857,2004-03-31,PG
0.65,0.64233,2003-12-31,PG
0.63,0.62542,2003-09-30,PG
0.43,0.43,2003-06-30,PG
0.48,0.47889,2003-03-31,PG
0.565,0.5585,2002-12-31,PG
0.56,0.551,2002-09-30,PG
0.38,0.37273,2002-06-30,PG
0.42,0.41455,2002-03-31,PG
