actual,estimate,period,symbol
0.59,0.38,2019-12-31,PLD
0.69,0.48,2019-09-30,PLD
0.59,0.36,2019-06-30,PLD
0.53,0.33,2019-03-31,PLD
0.94,0.42,2018-12-31,PLD
0.6,0.345,2018-09-30,PLD
0.62,0.37857,2018-06-30,PLD
0.68,0.37429,2018-03-31,PLD
0.55,0.33714,2017-12-31,PLD
0.57,0.366,2017-09-30,PLD
0.5,0.452,2017-06-30,PLD
0.38,0.23833,2017-03-31,PLD
0.82,0.264,2016-12-31,PLD
0.52,0.30571,2016-09-30,PLD
0.52,0.14871,2016-06-30,PLD
0.39,0.09833,2016-03-31,PLD
0.23,0.13443,2015-12-31,PLD
0.49,0.19029,2015-09-30,PLD
0.27,0.13129,2015-06-30,PLD
0.65,0.1174,2015-03-31,PLD
0.81,0.09,2014-12-31,PLD
0.23,0.0875,2014-09-30,PLD
0.13,0.09833,2014-06-30,PLD
0.01,0.0575,2014-03-31,PLD
0.12,0.04,2013-12-31,PLD
-0.02,0.01667,2013-09-30,PLD
0.0,0.02,2013-06-30,PLD
-0.03,0.025,2013-03-31,PLD
0.02,-0.02667,2012-12-31,PLD
-0.1,0.01333,2012-09-30,PLD
-0.02,-0.04,2012-06-30,PLD
-0.06,-0.1,2012-03-31,PLD
-0.1,-0.04,2011-12-31,PLD
0.12,-0.12,2011-09-30,PLD
-0.15,0.03667,2011-06-30,PLD
-0.03,0.01,2011-03-31,PLD
0.0,-0.01,2010-12-31,PLD
-0.02,-0.01,2010-09-30,PLD
-0.01,-0.02,2010-06-30,PLD
-0.03,-0.09,2010-03-31,PLD
-0.05,-0.02,2009-12-31,PLD
0.43,0.002,2009-09-30,PLD
0.12,0.006,2009-06-30,PLD
-1.24,-1.16,2009-03-31,PLD
-2.07,-1.1305,2008-12-31,PLD
0.24,0.34,2008-09-30,PLD
0.73,0.685,2008-06-30,PLD
0.39,0.3075,2008-03-31,PLD
0.92,0.88,2007-12-31,PLD
0.69,0.53,2007-09-30,PLD
1.1,0.38,2007-06-30,PLD
0.23,0.3125,2007-03-31,PLD
0.91,0.615,2006-12-31,PLD
0.33,0.44,2006-09-30,PLD
0.8,0.445,2006-06-30,PLD
0.26,0.17333,2006-03-31,PLD
1.56,0.73,2005-12-31,PLD
0.31,0.18,2005-09-30,PLD
0.45,0.25,2005-06-30,PLD
0.52,0.155,2005-03-31,PLD
0.65,0.43,2004-12-31,PLD
0.35,0.285,2004-09-30,PLD
0.22,0.18,2004-06-30,PLD
0.19,0.165,2004-03-31,PLD
0.32,0.22667,2003-12-31,PLD
0.26,0.25,2003-09-30,PLD
0.19,0.0,2003-06-30,PLD
0.69,0.52,2003-03-31,PLD
0.43,0.4,2002-12-31,PLD
0.3,0.47,2002-09-30,PLD
0.31,0.61,2002-06-30,PLD
0.34,0.0,2002-03-31,PLD
