actual,estimate,period,symbol
0.99,0.85,2019-12-31,QCOM
0.78,0.71,2019-09-30,QCOM
0.8,0.75,2019-06-30,QCOM
0.77,0.71,2019-03-31,QCOM
1.2,1.08947,2018-12-31,QCOM
0.9,0.82562,2018-09-30,QCOM
0.75,0.70789,2018-06-30,QCOM
0.8,0.69739,2018-03-31,QCOM
0.98,0.91317,2017-12-31,QCOM
0.92,0.81148,2017-09-30,QCOM
0.83,0.80577,2017-06-30,QCOM
1.34,1.19491,2017-03-31,QCOM
1.19,1.18095,2016-12-31,QCOM
1.28,1.12636,2016-09-30,QCOM
1.16,0.96696,2016-06-30,QCOM
1.04,0.96428,2016-03-31,QCOM
0.97,0.90403,2015-12-31,QCOM
0.91,0.86171,2015-09-30,QCOM
0.99,0.9457,2015-06-30,QCOM
1.4,1.32948,2015-03-31,QCOM
1.34,1.25397,2014-12-31,QCOM
1.26,1.31239,2014-09-30,QCOM
1.44,1.21585,2014-06-30,QCOM
1.31,1.22128,2014-03-31,QCOM
1.01,1.17727,2013-12-31,QCOM
1.05,1.08226,2013-09-30,QCOM
1.03,1.03079,2013-06-30,QCOM
1.17,1.16817,2013-03-31,QCOM
1.26,1.12531,2012-12-31,QCOM
0.89,0.81583,2012-09-30,QCOM
0.85,0.86059,2012-06-30,QCOM
1.01,0.95559,2012-03-31,QCOM
0.97,0.90286,2011-12-31,QCOM
0.8,0.78091,2011-09-30,QCOM
0.73,0.71105,2011-06-30,QCOM
0.86,0.80242,2011-03-31,QCOM
0.82,0.71844,2010-12-31,QCOM
0.68,0.58803,2010-09-30,QCOM
0.57,0.53697,2010-06-30,QCOM
0.59,0.565,2010-03-31,QCOM
0.62,0.55967,2009-12-31,QCOM
0.64,0.51908,2009-09-30,QCOM
0.54,0.52386,2009-06-30,QCOM
0.41,0.41053,2009-03-31,QCOM
0.31,0.472,2008-12-31,QCOM
0.63,0.60123,2008-09-30,QCOM
0.55,0.54933,2008-06-30,QCOM
0.54,0.52118,2008-03-31,QCOM
0.52,0.528,2007-12-31,QCOM
0.54,0.52778,2007-09-30,QCOM
0.55,0.51522,2007-06-30,QCOM
0.5,0.48304,2007-03-31,QCOM
0.43,0.42087,2006-12-31,QCOM
0.42,0.41148,2006-09-30,QCOM
0.42,0.41539,2006-06-30,QCOM
0.41,0.39963,2006-03-31,QCOM
0.39,0.38214,2005-12-31,QCOM
0.32,0.3269,2005-09-30,QCOM
0.28,0.253,2005-06-30,QCOM
0.29,0.2725,2005-03-31,QCOM
0.28,0.26556,2004-12-31,QCOM
0.29,0.29103,2004-09-30,QCOM
0.285,0.26345,2004-06-30,QCOM
0.265,0.2437,2004-03-31,QCOM
0.255,0.23826,2003-12-31,QCOM
0.145,0.145,2003-09-30,QCOM
0.165,0.15179,2003-06-30,QCOM
0.19,0.18019,2003-03-31,QCOM
0.21,0.18731,2002-12-31,QCOM
0.155,0.1374,2002-09-30,QCOM
0.12,0.11065,2002-06-30,QCOM
0.1,0.1015,2002-03-31,QCOM
