actual,estimate,period,symbol
4.27,4.39,2019-12-31,SHW
6.65,6.48,2019-09-30,SHW
6.57,6.37,2019-06-30,SHW
3.6,3.66,2019-03-31,SHW
3.54,3.55268,2018-12-31,SHW
5.68,5.744,2018-09-30,SHW
5.73,5.65683,2018-06-30,SHW
3.57,3.13446,2018-03-31,SHW
3.16,3.11073,2017-12-31,SHW
4.75,4.65363,2017-09-30,SHW
4.52,4.56846,2017-06-30,SHW
2.27,2.083,2017-03-31,SHW
2.42,2.20765,2016-12-31,SHW
4.23,4.32242,2016-09-30,SHW
4.06,4.15653,2016-06-30,SHW
1.81,1.61656,2016-03-31,SHW
2.12,1.87221,2015-12-31,SHW
3.97,3.86244,2015-09-30,SHW
3.7,3.81189,2015-06-30,SHW
1.38,1.4389,2015-03-31,SHW
1.37,1.3746,2014-12-31,SHW
3.35,3.20295,2014-09-30,SHW
2.94,2.93005,2014-06-30,SHW
1.26,1.09437,2014-03-31,SHW
1.27,1.34725,2013-12-31,SHW
2.68,2.6389,2013-09-30,SHW
2.54,2.58485,2013-06-30,SHW
1.11,1.09925,2013-03-31,SHW
1.12,1.15389,2012-12-31,SHW
2.24,2.20368,2012-09-30,SHW
2.17,2.12588,2012-06-30,SHW
0.95,0.87688,2012-03-31,SHW
0.84,0.83177,2011-12-31,SHW
1.71,1.69177,2011-09-30,SHW
1.66,1.76143,2011-06-30,SHW
0.63,0.51692,2011-03-31,SHW
0.71,0.654,2010-12-31,SHW
1.6,1.675,2010-09-30,SHW
1.72,1.63917,2010-06-30,SHW
0.4,0.3975,2010-03-31,SHW
0.71,0.52375,2009-12-31,SHW
1.51,1.35188,2009-09-30,SHW
1.35,1.30714,2009-06-30,SHW
0.32,0.212,2009-03-31,SHW
0.6,0.52818,2008-12-31,SHW
1.5,1.27083,2008-09-30,SHW
1.57,1.38417,2008-06-30,SHW
0.64,0.59444,2008-03-31,SHW
0.8,0.84375,2007-12-31,SHW
1.55,1.505,2007-09-30,SHW
1.52,1.43667,2007-06-30,SHW
0.83,0.83,2007-03-31,SHW
0.73,0.67286,2006-12-31,SHW
1.3,1.272,2006-09-30,SHW
1.33,1.25429,2006-06-30,SHW
0.82,0.74556,2006-03-31,SHW
0.54,0.53444,2005-12-31,SHW
1.07,1.09667,2005-09-30,SHW
1.08,1.03,2005-06-30,SHW
0.58,0.55125,2005-03-31,SHW
0.57,0.5575,2004-12-31,SHW
0.92,0.9075,2004-09-30,SHW
0.87,0.8575,2004-06-30,SHW
0.35,0.34,2004-03-31,SHW
0.48,0.447,2003-12-31,SHW
0.82,0.782,2003-09-30,SHW
0.75,0.74778,2003-06-30,SHW
0.21,0.21125,2003-03-31,SHW
0.38,0.39222,2002-12-31,SHW
0.73,0.702,2002-09-30,SHW
0.7,0.68625,2002-06-30,SHW
0.23,0.21,2002-03-31,SHW
