actual,estimate,period,symbol
1.66,1.56,2019-12-31,SPG
1.77,1.69,2019-09-30,SPG
1.6,1.65,2019-06-30,SPG
1.78,1.67,2019-03-31,SPG
2.3,1.9,2018-12-31,SPG
1.8,1.73,2018-09-30,SPG
1.77,1.64333,2018-06-30,SPG
1.62,1.516,2018-03-31,SPG
1.84,1.7725,2017-12-31,SPG
1.65,1.632,2017-09-30,SPG
1.23,1.23833,2017-06-30,SPG
1.53,1.47875,2017-03-31,SPG
1.64,1.45,2016-12-31,SPG
1.61,1.49444,2016-09-30,SPG
1.45,1.43143,2016-06-30,SPG
1.55,1.28263,2016-03-31,SPG
1.6,1.22014,2015-12-31,SPG
1.36,1.29138,2015-09-30,SPG
1.52,1.224,2015-06-30,SPG
1.16,1.05738,2015-03-31,SPG
1.3,1.32225,2014-12-31,SPG
1.16,0.82913,2014-09-30,SPG
1.43,0.96014,2014-06-30,SPG
1.1,0.99571,2014-03-31,SPG
1.23,1.15571,2013-12-31,SPG
1.0,0.95143,2013-09-30,SPG
1.1,0.88375,2013-06-30,SPG
0.91,0.76571,2013-03-31,SPG
1.01,1.082,2012-12-31,SPG
0.84,0.78333,2012-09-30,SPG
0.71,0.92629,2012-06-30,SPG
2.18,0.8355,2012-03-31,SPG
1.24,0.90288,2011-12-31,SPG
0.93,0.68317,2011-09-30,SPG
0.7,0.61033,2011-06-30,SPG
0.61,0.5428,2011-03-31,SPG
0.74,0.77075,2010-12-31,SPG
0.79,0.39333,2010-09-30,SPG
0.52,0.4575,2010-06-30,SPG
0.03,-0.22,2010-03-31,SPG
0.32,0.457,2009-12-31,SPG
0.38,0.3505,2009-09-30,SPG
-0.08,0.3145,2009-06-30,SPG
0.45,0.2526,2009-03-31,SPG
0.64,0.7878,2008-12-31,SPG
0.5,0.45833,2008-09-30,SPG
0.34,0.385,2008-06-30,SPG
0.39,0.34667,2008-03-31,SPG
0.6,0.6125,2007-12-31,SPG
0.74,0.43333,2007-09-30,SPG
0.27,0.41,2007-06-30,SPG
0.44,0.328,2007-03-31,SPG
0.92,0.684,2006-12-31,SPG
0.43,0.318,2006-09-30,SPG
0.37,0.28,2006-06-30,SPG
0.47,0.21,2006-03-31,SPG
0.44,0.5925,2005-12-31,SPG
0.3,0.155,2005-09-30,SPG
0.27,0.22667,2005-06-30,SPG
0.26,0.12,2005-03-31,SPG
0.49,0.69667,2004-12-31,SPG
0.36,0.0,2004-09-30,SPG
0.34,0.34,2004-06-30,SPG
0.24,0.36,2004-03-31,SPG
0.64,0.64,2003-12-31,SPG
0.29,0.36,2003-09-30,SPG
0.33,0.0,2003-06-30,SPG
0.29,0.26,2003-03-31,SPG
0.52,0.0,2002-12-31,SPG
0.33,0.33,2002-09-30,SPG
0.91,0.28,2002-06-30,SPG
0.17,0.0,2002-03-31,SPG
