actual,estimate,period,symbol
1.98,1.69,2019-12-31,STT
1.51,1.39,2019-09-30,STT
1.45,1.39,2019-06-30,STT
1.24,1.19,2019-03-31,STT
1.68,1.66778,2018-12-31,STT
1.87,1.89272,2018-09-30,STT
2.05,2.00572,2018-06-30,STT
1.62,1.59206,2018-03-31,STT
1.83,1.70188,2017-12-31,STT
1.71,1.61529,2017-09-30,STT
1.67,1.57375,2017-06-30,STT
1.21,1.10313,2017-03-31,STT
1.35,1.32141,2016-12-31,STT
1.35,1.25271,2016-09-30,STT
1.46,1.26383,2016-06-30,STT
0.98,0.90006,2016-03-31,STT
1.21,1.18305,2015-12-31,STT
1.16,1.23344,2015-09-30,STT
1.37,1.36739,2015-06-30,STT
1.17,1.05006,2015-03-31,STT
1.37,1.25977,2014-12-31,STT
1.35,1.20706,2014-09-30,STT
1.39,1.25594,2014-06-30,STT
0.99,0.99758,2014-03-31,STT
1.15,1.192,2013-12-31,STT
1.19,1.18375,2013-09-30,STT
1.24,1.18695,2013-06-30,STT
0.96,0.93381,2013-03-31,STT
1.11,1.00127,2012-12-31,STT
0.99,0.95927,2012-09-30,STT
1.01,0.97325,2012-06-30,STT
0.84,0.86309,2012-03-31,STT
0.93,0.93743,2011-12-31,STT
0.96,0.8828,2011-09-30,STT
0.96,0.96355,2011-06-30,STT
0.88,0.85582,2011-03-31,STT
0.87,0.8555,2010-12-31,STT
0.86,0.8279,2010-09-30,STT
0.93,0.93273,2010-06-30,STT
0.75,0.74611,2010-03-31,STT
0.99,0.96941,2009-12-31,STT
1.05,1.03813,2009-09-30,STT
1.04,0.96909,2009-06-30,STT
1.04,1.01692,2009-03-31,STT
1.18,1.14083,2008-12-31,STT
1.24,1.19467,2008-09-30,STT
1.4,1.35,2008-06-30,STT
1.39,1.3025,2008-03-31,STT
1.38,1.34867,2007-12-31,STT
1.15,0.93813,2007-09-30,STT
1.07,1.01,2007-06-30,STT
0.93,0.90875,2007-03-31,STT
0.86,0.84105,2006-12-31,STT
0.8,0.79474,2006-09-30,STT
0.93,0.834,2006-06-30,STT
0.84,0.77167,2006-03-31,STT
0.74,0.73029,2005-12-31,STT
0.75,0.67276,2005-09-30,STT
0.66,0.684,2005-06-30,STT
0.67,0.618,2005-03-31,STT
0.57,0.58222,2004-12-31,STT
0.55,0.65,2004-09-30,STT
0.68,0.68063,2004-06-30,STT
0.67,0.66,2004-03-31,STT
0.71,0.65556,2003-12-31,STT
0.8,0.56842,2003-09-30,STT
0.52,0.47467,2003-06-30,STT
0.44,0.45667,2003-03-31,STT
0.56,0.55706,2002-12-31,STT
0.56,0.55438,2002-09-30,STT
0.54,0.52235,2002-06-30,STT
0.54,0.54111,2002-03-31,STT
