actual,estimate,period,symbol
2.49,2.46,2019-12-31,SYK
1.91,1.9,2019-09-30,SYK
1.98,1.94,2019-06-30,SYK
1.88,1.84,2019-03-31,SYK
2.18,2.15267,2018-12-31,SYK
1.69,1.6785,2018-09-30,SYK
1.76,1.72816,2018-06-30,SYK
1.68,1.6005,2018-03-31,SYK
1.96,1.95312,2017-12-31,SYK
1.52,1.49623,2017-09-30,SYK
1.53,1.50846,2017-06-30,SYK
1.48,1.42792,2017-03-31,SYK
1.78,1.76375,2016-12-31,SYK
1.39,1.37375,2016-09-30,SYK
1.39,1.36596,2016-06-30,SYK
1.24,1.20048,2016-03-31,SYK
1.56,1.55211,2015-12-31,SYK
1.25,1.2256,2015-09-30,SYK
1.2,1.16829,2015-06-30,SYK
1.11,1.08391,2015-03-31,SYK
1.44,1.45444,2014-12-31,SYK
1.15,1.13846,2014-09-30,SYK
1.08,1.08152,2014-06-30,SYK
1.06,1.08427,2014-03-31,SYK
1.23,1.22172,2013-12-31,SYK
0.98,0.99471,2013-09-30,SYK
1.0,1.0274,2013-06-30,SYK
1.03,1.008,2013-03-31,SYK
1.14,1.12469,2012-12-31,SYK
0.97,0.98138,2012-09-30,SYK
0.98,0.98536,2012-06-30,SYK
0.99,0.99,2012-03-31,SYK
1.02,1.02448,2011-12-31,SYK
0.91,0.88903,2011-09-30,SYK
0.9,0.89875,2011-06-30,SYK
0.9,0.894,2011-03-31,SYK
0.93,0.90839,2010-12-31,SYK
0.8,0.77036,2010-09-30,SYK
0.8,0.79846,2010-06-30,SYK
0.8,0.7775,2010-03-31,SYK
0.82,0.81577,2009-12-31,SYK
0.69,0.69039,2009-09-30,SYK
0.73,0.71739,2009-06-30,SYK
0.71,0.71167,2009-03-31,SYK
0.74,0.7415,2008-12-31,SYK
0.66,0.66682,2008-09-30,SYK
0.73,0.725,2008-06-30,SYK
0.7,0.68857,2008-03-31,SYK
0.66,0.66048,2007-12-31,SYK
0.55,0.55167,2007-09-30,SYK
0.61,0.61083,2007-06-30,SYK
0.59,0.58191,2007-03-31,SYK
0.55,0.5508,2006-12-31,SYK
0.46,0.46261,2006-09-30,SYK
0.52,0.50913,2006-06-30,SYK
0.49,0.48333,2006-03-31,SYK
0.48,0.48058,2005-12-31,SYK
0.4,0.40667,2005-09-30,SYK
0.45,0.44217,2005-06-30,SYK
0.42,0.40375,2005-03-31,SYK
0.4,0.4008,2004-12-31,SYK
0.33,0.32792,2004-09-30,SYK
0.37,0.33544,2004-06-30,SYK
0.33,0.31455,2004-03-31,SYK
0.33,0.3292,2003-12-31,SYK
0.265,0.25913,2003-09-30,SYK
0.265,0.26,2003-06-30,SYK
0.255,0.2413,2003-03-31,SYK
0.26,0.25071,2002-12-31,SYK
0.205,0.18444,2002-09-30,SYK
0.21,0.19972,2002-06-30,SYK
0.2,0.19917,2002-03-31,SYK
