actual,estimate,period,symbol
0.89,0.87,2019-12-31,T
0.94,0.93,2019-09-30,T
0.89,0.89,2019-06-30,T
0.86,0.86,2019-03-31,T
0.86,0.86222,2018-12-31,T
0.9,0.9394,2018-09-30,T
0.91,0.84675,2018-06-30,T
0.85,0.8713,2018-03-31,T
0.78,0.65005,2017-12-31,T
0.74,0.74509,2017-09-30,T
0.79,0.73344,2017-06-30,T
0.74,0.73896,2017-03-31,T
0.66,0.6601,2016-12-31,T
0.74,0.73822,2016-09-30,T
0.72,0.71756,2016-06-30,T
0.72,0.69119,2016-03-31,T
0.63,0.6325,2015-12-31,T
0.74,0.68457,2015-09-30,T
0.69,0.62932,2015-06-30,T
0.63,0.61667,2015-03-31,T
0.55,0.54181,2014-12-31,T
0.63,0.63744,2014-09-30,T
0.62,0.62804,2014-06-30,T
0.71,0.69842,2014-03-31,T
0.53,0.50219,2013-12-31,T
0.66,0.65179,2013-09-30,T
0.67,0.68274,2013-06-30,T
0.64,0.64104,2013-03-31,T
0.44,0.45453,2012-12-31,T
0.63,0.60012,2012-09-30,T
0.66,0.62618,2012-06-30,T
0.6,0.57277,2012-03-31,T
0.42,0.42972,2011-12-31,T
0.61,0.60915,2011-09-30,T
0.6,0.59417,2011-06-30,T
0.57,0.56882,2011-03-31,T
0.55,0.54287,2010-12-31,T
0.55,0.54893,2010-09-30,T
0.61,0.56703,2010-06-30,T
0.59,0.54483,2010-03-31,T
0.51,0.51063,2009-12-31,T
0.54,0.49815,2009-09-30,T
0.54,0.50769,2009-06-30,T
0.53,0.48264,2009-03-31,T
0.64,0.64976,2008-12-31,T
0.67,0.70917,2008-09-30,T
0.76,0.76167,2008-06-30,T
0.74,0.7408,2008-03-31,T
0.71,0.7112,2007-12-31,T
0.71,0.71,2007-09-30,T
0.7,0.67077,2007-06-30,T
0.65,0.61231,2007-03-31,T
0.61,0.59539,2006-12-31,T
0.63,0.58039,2006-09-30,T
0.58,0.53039,2006-06-30,T
0.52,0.485,2006-03-31,T
0.48,0.44762,2005-12-31,T
0.47,0.4125,2005-09-30,T
0.43,0.36846,2005-06-30,T
0.34,0.33167,2005-03-31,T
0.34,0.33091,2004-12-31,T
0.38,0.38161,2004-09-30,T
0.4,0.36185,2004-06-30,T
0.37,0.32346,2004-03-31,T
0.34,0.34118,2003-12-31,T
0.37,0.39,2003-09-30,T
0.42,0.40964,2003-06-30,T
0.42,0.36179,2003-03-31,T
0.62,0.61704,2002-12-31,T
0.51,0.53609,2002-09-30,T
0.61,0.58526,2002-06-30,T
0.51,0.50833,2002-03-31,T
