actual,estimate,period,symbol
1.36,1.19,2019-12-31,TGT
1.82,1.62,2019-09-30,TGT
1.53,1.43,2019-06-30,TGT
1.53,1.52,2019-03-31,TGT
1.09,1.11526,2018-12-31,TGT
1.47,1.39819,2018-09-30,TGT
1.32,1.38691,2018-06-30,TGT
1.37,1.37508,2018-03-31,TGT
0.91,0.85929,2017-12-31,TGT
1.23,1.18876,2017-09-30,TGT
1.21,0.914,2017-06-30,TGT
1.45,1.50613,2017-03-31,TGT
1.04,0.82952,2016-12-31,TGT
1.23,1.12109,2016-09-30,TGT
1.29,1.19364,2016-06-30,TGT
1.52,1.53818,2016-03-31,TGT
0.86,0.85909,2015-12-31,TGT
1.22,1.11317,2015-09-30,TGT
1.1,1.03182,2015-06-30,TGT
1.5,1.45979,2015-03-31,TGT
0.54,0.47317,2014-12-31,TGT
0.78,0.79436,2014-09-30,TGT
0.7,0.71477,2014-06-30,TGT
0.9,0.79278,2014-03-31,TGT
0.56,0.6279,2013-12-31,TGT
0.97,0.95778,2013-09-30,TGT
0.82,0.8475,2013-06-30,TGT
1.47,1.47762,2013-03-31,TGT
0.81,0.77467,2012-12-31,TGT
1.06,1.00682,2012-09-30,TGT
1.04,1.00952,2012-06-30,TGT
1.43,1.40111,2012-03-31,TGT
0.82,0.73955,2011-12-31,TGT
1.03,0.96636,2011-09-30,TGT
0.99,0.94318,2011-06-30,TGT
1.38,1.39565,2011-03-31,TGT
0.68,0.68273,2010-12-31,TGT
0.92,0.91864,2010-09-30,TGT
0.9,0.8645,2010-06-30,TGT
1.17,1.1635,2010-03-31,TGT
0.58,0.5015,2009-12-31,TGT
0.79,0.66211,2009-09-30,TGT
0.69,0.59611,2009-06-30,TGT
0.81,0.82882,2009-03-31,TGT
0.49,0.4845,2008-12-31,TGT
0.82,0.755,2008-09-30,TGT
0.74,0.70526,2008-06-30,TGT
1.23,1.22368,2008-03-31,TGT
0.56,0.61636,2007-12-31,TGT
0.8,0.80053,2007-09-30,TGT
0.75,0.7095,2007-06-30,TGT
1.29,1.27227,2007-03-31,TGT
0.59,0.55,2006-12-31,TGT
0.7,0.6935,2006-09-30,TGT
0.63,0.63591,2006-06-30,TGT
1.06,1.0493,2006-03-31,TGT
0.49,0.45395,2005-12-31,TGT
0.61,0.59091,2005-09-30,TGT
0.55,0.53458,2005-06-30,TGT
0.9,0.88962,2005-03-31,TGT
0.37,0.37577,2004-12-31,TGT
0.4,0.4676,2004-09-30,TGT
0.48,0.4736,2004-06-30,TGT
0.91,0.87296,2004-03-31,TGT
0.33,0.32704,2003-12-31,TGT
0.39,0.39846,2003-09-30,TGT
0.38,0.38913,2003-06-30,TGT
0.75,0.74739,2003-03-31,TGT
0.3,0.28174,2002-12-31,TGT
0.38,0.3715,2002-09-30,TGT
0.38,0.35727,2002-06-30,TGT
0.73,0.72391,2002-03-31,TGT
