actual,estimate,period,symbol
3.9,3.77,2019-12-31,UNH
3.88,3.75,2019-09-30,UNH
3.6,3.45,2019-06-30,UNH
3.73,3.6,2019-03-31,UNH
3.28,3.20857,2018-12-31,UNH
3.41,3.29255,2018-09-30,UNH
3.14,3.03519,2018-06-30,UNH
3.04,2.89444,2018-03-31,UNH
2.59,2.51476,2017-12-31,UNH
2.66,2.56278,2017-09-30,UNH
2.46,2.3783,2017-06-30,UNH
2.37,2.16795,2017-03-31,UNH
2.11,2.07315,2016-12-31,UNH
2.17,2.07929,2016-09-30,UNH
1.96,1.88705,2016-06-30,UNH
1.75,1.72208,2016-03-31,UNH
1.4,1.3768,2015-12-31,UNH
1.65,1.63524,2015-09-30,UNH
1.64,1.5845,2015-06-30,UNH
1.46,1.34764,2015-03-31,UNH
1.55,1.49841,2014-12-31,UNH
1.63,1.52852,2014-09-30,UNH
1.42,1.25646,2014-06-30,UNH
1.1,1.08727,2014-03-31,UNH
1.41,1.40267,2013-12-31,UNH
1.53,1.5267,2013-09-30,UNH
1.4,1.25273,2013-06-30,UNH
1.16,1.1413,2013-03-31,UNH
1.2,1.19476,2012-12-31,UNH
1.5,1.35059,2012-09-30,UNH
1.27,1.19046,2012-06-30,UNH
1.31,1.16813,2012-03-31,UNH
1.17,1.03524,2011-12-31,UNH
1.17,1.11952,2011-09-30,UNH
1.16,0.93824,2011-06-30,UNH
1.34,0.88917,2011-03-31,UNH
1.05,0.83905,2010-12-31,UNH
1.14,0.8415,2010-09-30,UNH
0.99,0.75,2010-06-30,UNH
1.03,0.6879,2010-03-31,UNH
0.81,0.7335,2009-12-31,UNH
0.89,0.76286,2009-09-30,UNH
0.73,0.70381,2009-06-30,UNH
0.81,0.67611,2009-03-31,UNH
0.78,0.77688,2008-12-31,UNH
0.73,0.72813,2008-09-30,UNH
0.67,0.64,2008-06-30,UNH
0.78,0.78929,2008-03-31,UNH
0.92,0.92389,2007-12-31,UNH
0.95,0.92222,2007-09-30,UNH
0.87,0.81167,2007-06-30,UNH
0.74,0.71316,2007-03-31,UNH
0.86,0.848,2006-12-31,UNH
0.79,0.7635,2006-09-30,UNH
0.7,0.68,2006-06-30,UNH
0.63,0.64056,2006-03-31,UNH
0.65,0.65579,2005-12-31,UNH
0.64,0.63306,2005-09-30,UNH
0.61,0.58553,2005-06-30,UNH
0.58,0.56425,2005-03-31,UNH
0.545,0.54,2004-12-31,UNH
0.52,0.5,2004-09-30,UNH
0.465,0.45813,2004-06-30,UNH
0.44,0.43421,2004-03-31,UNH
0.415,0.39639,2003-12-31,UNH
0.385,0.36921,2003-09-30,UNH
0.355,0.33139,2003-06-30,UNH
0.3225,0.3085,2003-03-31,UNH
0.3,0.28891,2002-12-31,UNH
0.28,0.26102,2002-09-30,UNH
0.2525,0.23675,2002-06-30,UNH
0.23,0.21368,2002-03-31,UNH
