actual,estimate,period,symbol
2.11,2.11,2019-12-31,UPS
2.07,2.06,2019-09-30,UPS
1.96,1.92,2019-06-30,UPS
1.39,1.41,2019-03-31,UPS
1.94,1.90148,2018-12-31,UPS
1.82,1.817,2018-09-30,UPS
1.94,1.92782,2018-06-30,UPS
1.55,1.54233,2018-03-31,UPS
1.67,1.66286,2017-12-31,UPS
1.45,1.44776,2017-09-30,UPS
1.58,1.46771,2017-06-30,UPS
1.32,1.28776,2017-03-31,UPS
1.63,1.69009,2016-12-31,UPS
1.44,1.44005,2016-09-30,UPS
1.43,1.42695,2016-06-30,UPS
1.27,1.21774,2016-03-31,UPS
1.57,1.41771,2015-12-31,UPS
1.39,1.36928,2015-09-30,UPS
1.35,1.26468,2015-06-30,UPS
1.12,1.08608,2015-03-31,UPS
1.25,1.24995,2014-12-31,UPS
1.32,1.2844,2014-09-30,UPS
1.21,1.24692,2014-06-30,UPS
0.98,1.07789,2014-03-31,UPS
1.25,1.24926,2013-12-31,UPS
1.16,1.14885,2013-09-30,UPS
1.13,1.12963,2013-06-30,UPS
1.04,1.00719,2013-03-31,UPS
1.32,1.37715,2012-12-31,UPS
1.06,1.05978,2012-09-30,UPS
1.15,1.172,2012-06-30,UPS
1.0,1.01391,2012-03-31,UPS
1.28,1.26389,2011-12-31,UPS
1.06,1.052,2011-09-30,UPS
1.05,1.04385,2011-06-30,UPS
0.88,0.84523,2011-03-31,UPS
1.08,1.05228,2010-12-31,UPS
0.93,0.88109,2010-09-30,UPS
0.84,0.76862,2010-06-30,UPS
0.71,0.57714,2010-03-31,UPS
0.75,0.73556,2009-12-31,UPS
0.55,0.51895,2009-09-30,UPS
0.49,0.48529,2009-06-30,UPS
0.52,0.55853,2009-03-31,UPS
0.83,0.85125,2008-12-31,UPS
0.96,0.89133,2008-09-30,UPS
0.85,0.84643,2008-06-30,UPS
0.87,0.865,2008-03-31,UPS
1.13,1.125,2007-12-31,UPS
1.05,1.01688,2007-09-30,UPS
1.04,1.02875,2007-06-30,UPS
0.96,0.96,2007-03-31,UPS
1.04,1.04059,2006-12-31,UPS
0.96,0.89529,2006-09-30,UPS
0.97,0.99667,2006-06-30,UPS
0.89,0.878,2006-03-31,UPS
0.95,0.95667,2005-12-31,UPS
0.86,0.85563,2005-09-30,UPS
0.88,0.85727,2005-06-30,UPS
0.78,0.73,2005-03-31,UPS
0.76,0.75615,2004-12-31,UPS
0.7,0.71882,2004-09-30,UPS
0.72,0.70647,2004-06-30,UPS
0.67,0.615,2004-03-31,UPS
0.7,0.69105,2003-12-31,UPS
0.62,0.60053,2003-09-30,UPS
0.61,0.593,2003-06-30,UPS
0.52,0.51105,2003-03-31,UPS
0.59,0.56667,2002-12-31,UPS
0.51,0.5355,2002-09-30,UPS
0.54,0.53667,2002-06-30,UPS
0.5,0.46647,2002-03-31,UPS
